Field Listing :: Military and security forces :: The World Factbook

This entry lists the military and security forces subordinate to defense ministries or the equivalent (typically ground, naval, air, and marine forces), as well as those belonging to interior ministries or the equivalent (typically gendarmeries, border/coast guards, paramilitary police, and other internal security forces).

| Country | Military and security forces |
| **Malawi** | *Malawi Defense Force (MDF):* Army (includes Air Wing, Marine Unit); note - a 2017 amendment to Malawiâ€™s Defense Force Act established a separate Army, Air Force, and Maritime Force within the MDF, but these services have yet to develop independent budgets, chains of command, and training institutions (2019) |
| **Malaysia** | Malaysian Armed Forces (Angkatan Tentera Malaysia, ATM): Malaysian Army (Tentera Darat Malaysia), Royal Malaysian Navy (Tentera Laut Diraja Malaysia, TLDM), Royal Malaysian Air Force (Tentera Udara Diraja Malaysia, TUDM); Ministry of Home Affairs: the Royal Malaysian Police (PRMD, includes the General Operations Force, a paramilitary force with a variety of roles, including patrolling borders, counter-terrorism, maritime security, and counterinsurgency) (2019) |
| | *note:* Malaysia created a National Special Operations Force in 2016 for combating terrorism threats; the force is comprised of personnel from the Armed Forces, the Royal Malaysian Police, and the Malaysian Maritime Enforcement Agency (Malaysian Coast Guard, MMEA) |
| **Maldives** | the Republic of Maldives has no distinct army, navy, or air force but a single security unit called the Maldives National Defence Force (MNDF) comprised of ground forces, an air element, a coastguard, a presidential security division, and a special protection group (2020) |
| | *note:*Â the MNDF is primarily tasked to reinforce the Maldives Police Service (MPS) and ensure security in the country's exclusive economic zone |
| **Mali** | *Malian Armed Forces (FAMa):* Army (Armee de Terre), Republic of Mali Air Force (Force Aerienne de la Republique du Mali, FARM); National Gendarmerie; National Guard (Garde National du Mali) (2019) |
| | *note(s):* the Gendarmerie and the National Guard are under the authority of the Ministry of Defense and Veterans Affairs (Ministere De La Defense Et Des Anciens Combattants, MDAC), but operational control is shared between the MDAC and the Ministry of Internal Security and Civil Protection |
| | the Gendarmerie's primary mission is internal security and public order; its duties also include territorial defense, humanitarian operations, intelligence gathering, and protecting private property, mainly in rural areas |
| | the National Guard is a military force responsible for providing security to government facilities and institutions, prison service, public order, humanitarian operations, some border security, and intelligence gathering; it has special units on camels (the Camel Corps) for patrolling the deserts and borders of northern Mali |
| **Malta** | Armed Forces of Malta (AFM, includes land, maritime, and air elements, plus a Volunteer Reserve Force) (2020) |
| **Marshall Islands** | no regular military forces; Marshall Islands Police Department (2019) |
| **Mauritania** | *Mauritanian Armed Forces:* Army, Mauritanian Navy (Marine Mauritanienne), Islamic Republic of Mauritania Air Group (Groupement Aerienne Islamique de Mauritanie, GAIM); Ministry of Interior: Gendarmerie, National Guard (2019) |
| **Mauritius** | no regular military forces; Mauritius Police Force includes a Special Mobile Force (a paramilitary force formed as a mobile infantry battalion) and the National Coast Guard (2019) |
| **Mexico** | Secretariat of National Defense (Secretaria de Defensa Nacional, SEDENA): Army (Ejercito), Mexican Air Force (Fuerza Aerea Mexicana, FAM); Secretariat of the Navy (Secretaria de Marina, SEMAR): Mexican Navy (Armada de Mexico (ARM), includes Naval Air Force (FAN), Mexican Naval Infantry Corps (Cuerpo de Infanteria de Marina, Mexmar or CIM)); Ministry of Security and Citizen Protection: Federal Police (includes Gendarmerie), National Guard (2019) |
| | *note:* the National Guard was formed in 2019 and consists of personnel from the Federal Police and military police units of the Army and Navy |
| **Micronesia, Federated States of** | no military forces; Federated States of Micronesia National Police (2019) |
| **Moldova** | *National Army:* Land Forces Command, Air Forces Command (includes air defense unit); Carabinieri Troops (a component of the Ministry of Internal Affairs that also has official status as a service of the Armed Forces during wartime) (2020) |
| **Monaco** | *no regular military forces; Ministry of Interior:* Compagnie des Carabiniers du Prince (Princeâ€™s Company of Carabiniers (Palace Guard)), Corps des Sapeurs-pompiers de Monaco (Fire and Emergency), Police Department (2019) |
| **Mongolia** | Mongolian Armed Forces (Mongol ulsyn zevsegt huchin): Mongolian Army (includes Border Troops), Mongolian Air Force, National Center for Emergency and Disaster Relief (coordinates the military's efforts as first-responders for earthquakes, wildfires, and forest fires; contagious diseases; and snow and dust storms as well as severe winters (known as zud)); paramilitary forces: Internal Security Troops (2019) |
| **Montenegro** | *Armed Forces of the Republic of Montenegro:* Army of Montenegro (includes Ground Troops (Kopnena Vojska), Montenegrin Navy (Mornarica Crne Gore, MCG)), Air Force (2019) |
| **Montserrat** | no regular military forces; Royal Montserrat Defence Force (ceremonial, civil defense duties),Â  Montserrat Police Force (2019) |
| **Morocco** | *Royal Armed Forces:* Royal Moroccan Army, Royal Moroccan Navy (includes Coast Guard, marines), Royal Moroccan Air Force, Royal Morroccan Gendarmerie, Morroccan Royal Guard (provides security for the royal family; officially part of the Royal Army); Force Auxiliaire (a paramilitary force under the Ministry of Interior that supplements the military and the police as needed) (2019) |
| **Mozambique** | *Armed Defense Forces of Mozambique (Forcas Armadas de Defesa de Mocambique, FADM):* Mozambique Army, Mozambique Navy (Marinha de Guerra de Mocambique, MGM), Mozambique Air Force (Forca Aerea de Mocambique, FAM) |
| | *Ministry of Interior:* National Police (PRM), the National Criminal Investigation Service (SERNIC), Rapid Intervention Unit (UIR; police special forces), Border Security Force (2019) |
| | *note:* the FADM and Ministry of Interior forces are referred to collectively as the Defense and Security Forces (DFS) |
| **Namibia** | Namibian Defense Force (NDF): Army, Navy, Air Force; Namibian Police Force: Special Field Force (paramilitary unit responsible for protecting borders and government installations) (2019) |
| **Nauru** | no regular military forces (2019) |
| **Nepal** | Nepal Army (includes Air Wing); Nepal Armed Police Force (under the Ministry of Home Affairs; paramilitary force responsible for border and internal security, including counter-insurgency, and assisting the Army in the event of an external invasion) (2019) |
| **Netherlands** | Royal Netherlands Army, Royal Netherlands Navy (includes Naval Air Service and Marine Corps), Royal Netherlands Air Force (Koninklijke Luchtmacht, KLu), Royal Netherlands Marechaussee (Military Constabulary) (2019) |
| | *note:* the Netherlands Coast Guard and the Dutch Caribbean Coast Guard are civilian in nature, but managed by the Royal Netherlands Navy |
| **New Caledonia** | no regular military forces; France bases land, air, and naval forces on New Caledonia (Forces ArmÃ©es de la Nouvelle-CalÃ©donie, FANC) (2019) |
| **New Zealand** | *New Zealand Defence Force (NZDF):* New Zealand Army, Royal New Zealand Navy, Royal New Zealand Air Force (2020) |
| **Nicaragua** | Army of Nicaragua (Ejercito de Nicaragua, EN; includes Navy, Air Force) (2020) |
| **Niger** | Nigerien Armed Forces (Forces Armees Nigeriennes, FAN): Army, Nigerien Air Force, Niger Gendarmerie (GN); Ministry of Interior: Niger National Guard (GNN), National Police (includes the Directorate of Territorial Surveillance, which is charged with border management) (2020) |
| | *note:* the Gendarmerie is subordinate to the Ministry of Defense and has primary responsibility for rural security; the National Guard is responsible for domestic security and the protection of high-level officials and government buildings |
| **Nigeria** | *Nigerian Armed Forces:* Army, Navy (includes Coast Guard), Air Force; Ministry of Interior: Nigeria Security and Civil Defence Corps (NSCDC, a paramilitary agency commissioned to assist the military in the management of threats to internal security, including attacks and natural disasters) (2020) |
| **Niue** | no regular indigenous military forces; Police Force (2019) |
| **North Macedonia** | Army of the Republic of North Macedonia (ARSM; includes a General Staff and subordinate Operations Command, Logistic Support Command, Training and Doctrine Command, and Center for Electronic Reconnaissance) (2020) |
| | *note:* the Operations Command includes air, ground, special operations, support, and reserve forces |
| **Norway** | *Norwegian Armed Forces:*Â  Norwegian Army (Haeren), Royal Norwegian Navy (Kongelige Norske Sjoeforsvaret; includes Coastal Rangers and Coast Guard (Kystvakt)), Royal Norwegian Air Force (Kongelige Norske Luftforsvaret), Home Guard (Heimevernet, HV) (2020) |
| **Oman** | *Sultan's Armed Forces (SAF):* Royal Army of Oman (RAO), Royal Navy of Oman (RNO), Royal Air Force of Oman (RAFO), Royal Guard of Oman (RGO); Royal Oman Police Coast Guard; Tribal Home Guard (2020) |
| **Pakistan** | *Pakistan Army (includes National Guard), Pakistan Navy (includes marines, Maritime Security Agency), Pakistan Air Force (Pakistan Fizaia); Ministry of Interior paramilitary forces:* Frontier Corps, Pakistan Rangers (2019) |
| | *note:*Â  the National Guard is a paramilitary force and one of the Army's reserve forces, along with the Pakistan Army Reserve, the Frontier Corps, and the Pakistan Rangers |
| **Palau** | no regular military forces; the Ministry of Justice includes divisions/bureaus for public security, police functions, and maritime law enforcement. (2019) |
| **Panama** | no regular military forces; Panamanian Public Security Forces (subordinate to the Ministry of Public Security), comprising the National Police (PNP), National Air-Naval Service (SENAN), National Border Service (SENAFRONT) (2020) |
| | *note:*Â on 10 February 1990, the government of then President Guillermo ENDARA abolished Panama's military and reformed the security apparatus by creating the Panamanian Public Forces; in October 1994, Panama's National Assembly approved a constitutional amendment prohibiting the creation of a standing military force but allowing the temporary establishment of special police units to counter acts of "external aggression" |
| **Papua New Guinea** | Papua New Guinea Defense Force (PNGDF, includes land, maritime, and air elements) (2019) |
| **Paraguay** | *Armed Forces Command (Commando de las Fuerzas Militares):* Army, National Navy (Armada Nacional, includes marines), Paraguayan Air Force (Fuerza Aerea Paraguay, FAP) (2020) |
| **Peru** | *Joint Command of the Armed Forces of Peru:* Peruvian Army (Ejercito del Peru), Peruvian Navy (Marina de Guerra del Peru, MGP, includes naval air, naval infantry, and Coast Guard), Air Force of Peru (Fuerza Aerea del Peru, FAP); Ministry of the Interior (Ministerio del Interior): Peruvian National Police (PolicÃ­a Nacional del PerÃº, PNP) (2020) |
| **Philippines** | *Armed Forces of the Philippines (AFP):* Army, Navy (includes Marine Corps), Air Force (2020) |
| | *note:* the Philippine Coast Guard is an armed and uniformed service under the Department of Transportation; it would be attached to the AFP in wartime; the Philippine National Police Force (PNP) falls under the Ministry of Interior and Local Government |
| **Poland** | *Polish Armed Forces:* Land Forces (Wojska Ladowe), Navy (Marynarka Wojenna), Air Force (Sily Powietrzne), Special Forces (Wojska Specjalne), Territorial Defense Force (Wojska Obrony Terytorialnej); Ministry of the Interior: Border Guard (includes coast guard duties) (2019) |
| **Portugal** | *Portuguese Armed Forces:* Portuguese Army (Exercito Portuguesa), Portuguese Navy (Marinha Portuguesa; includes Marine Corps), Portuguese Air Force (Forca Aerea Portuguesa, FAP); Portuguese National Republican Guard (Guarda Nacional Republicana, GNR) (2019) |
| | *note:* the GNR is a national gendarmerie force comprised of military personnel with law enforcement, internal security, civil defense, disaster response, and coast guard duties; it is responsible to the Minister of Internal Administration and to the Minister of National Defense; in the event of war or crisis, it may be placed under the Chief of the General Staff of the Armed Forces |
| **Puerto Rico** | no regular indigenous military forces; National Guard, State Guard, Police Force |
| **Qatar** | *Qatari Amiri Land Force (QALF, includes Emiri Guard), Qatari Amiri Navy (QAN, includes Coast Guard), Qatari Amiri Air Force (QAAF); Internal Security Forces:* Mobile Gendarmerie |
| | (2019) |
| **Romania** | *Romanian Armed Forces:* Land Forces, Naval Forces, Air Force; Ministry of Internal Affairs: Romanian Gendarmerie (2019) |
| **Russia** | *Armed Forces of the Russian Federation:* Ground Troops (Sukhoputnyye Voyskia, SV), Navy (Voyenno-Morskoy Flot, VMF), Aerospace Forces (Vozdushno-Kosmicheskiye Sily, VKS); Airborne Troops (Vozdushno-Desantnyye Voyska, VDV), and Missile Troops of Strategic Purpose (Raketnyye Voyska Strategicheskogo Naznacheniya, RVSN) referred to commonly as Strategic Rocket Forces, are independent "combat arms," not subordinate to any of the three branches |
| | *Federal National Guard Troops Service of the Russian Federation (National Guard, Russian Guard, or Rosgvardiya):* created in 2016 as an independent agency for internal/regime security, combating terrorism and narcotics trafficking, protecting important state facilities and government personnel, and supporting border security; forces include Interior Troops that formerly belong to the Interior Ministry, special police units, rapid response units, and other air, ground, maritime, and police forces |
| | Federal Security Services Border Troops (includes land and maritime forces) (2019) |
| **Rwanda** | *Rwanda Defense Force (RDF):* Rwanda Army (Rwanda Land Force), Rwanda Air Force (Force Aerienne Rwandaise, FAR), Rwanda Reserve Force (2020) |
| **Saint Kitts and Nevis** | *Ministry of Foreign Affairs, National Security, Labour, Immigration, and Social Security:* Royal Saint Kitts and Nevis Defense Force (includes Coast Guard), Royal Saint Kitts and Nevis Police Force (2013) |
| **Saint Lucia** | no regular military forces; Royal Saint Lucia Police Force (includes Special Service Unit, Marine Unit) (2018) |
| **Saint Vincent and the Grenadines** | no regular military forces; the Special Services Unit (SSU) is the paramilitary arm of the Royal Saint Vincent and the Grenadines Police Force (RSVPF) (2019) |
| **Samoa** | no regular military forces; Samoa Police Force (2019) |
| **San Marino** | No regular military forces; Voluntary Military Corps (Corpi Militari), which includes a Uniformed Militia (performs ceremonial duties and limited police support functions) and Guard of the Great and General Council (defends the Captains Regent and the Great and General Council, participates in official ceremonies, cooperates with the maintenance of public order on special occasions, and performs guard duties during parliamentary sittings); the Police Corps includes the Gendarmerie, which is responsible for maintaining public order, protecting citizens and their property, and providing assistance during disasters (2019) |
| **Sao Tome and Principe** | *Armed Forces of Sao Tome and Principe (Forcas Armadas de Sao Tome e Principe, FASTP):* Army, Coast Guard of Sao Tome e Principe (Guarda Costeira de Sao Tome e Principe, GCSTP; also called "Navy"), Presidential Guard, National Guard (2019) |
| **Saudi Arabia** | *Ministry of Defense:* Royal Saudi Land Forces, Royal Saudi Naval Forces (includes marines, special forces, naval aviation), Royal Saudi Air Force, Royal Saudi Air Defense Forces, Royal Saudi Strategic Missiles Force; Ministry of the National Guard (SANG); Ministry of Interior: Border Guard, Facilities Security Force (2020) |
| | *note:* SANG (also known as the White Army) is a land force separate from the Ministry of Defense that is responsible for internal security, protecting the royal family, and external defense |
| **Senegal** | *Senegalese Armed Forces:* Army, Senegalese National Navy (Marine Senegalaise, MNS), Senegalese Air Force (Armee de l'Air du Senegal), National Gendarmerie (includes Territorial and Mobile components) (2020) |
| **Serbia** | Serbian Armed Forces (Vojska Srbije, VS): Land Forces (includes Riverine Component, consisting of a river flotilla on the Danube), Air and Air Defense Forces, Serbian Guard; Ministry of Interior: Gendarmerie (2019) |
| | *note:* the Guard is a brigade-sized unit that is directly subordinate to the Serbian Armed Forces Chief of General Staff |
| **Seychelles** | *Seychelles Peopleâ€™s Defence Forces (SPDF):* Army (includes infantry, Special Forces (Tazar), and Presidential Security Unit), Coast Guard, and Air Force (2019) |
| **Sierra Leone** | *Republic of Sierra Leone Armed Forces (RSLAF):* Army (includes Maritime Wing and Air Wing) (2019) |
| **Singapore** | *Singapore Armed Forces:* Singapore Army, Republic of Singapore Navy, Republic of Singapore Air Force (includes air defense);Â  Police Coast Guard (subordinate to the Singapore Police Force) (2019) |
| **Sint Maarten** | no regular military forces; Police Department for local law enforcement, supported by the Royal Netherlands Marechaussee (Gendarmerie), the Dutch Caribbean Police Force (Korps Politie Caribisch Nederland or KPCN), and the Dutch Caribbean Coast Guard (Kustwacht Caribisch Gebied or KWCARIB0)) (2019) |
| **Slovakia** | *Armed Forces of the Slovak Republic (Ozbrojene Sily Slovenskej Republiky):* Land Forces, Air and Air Defense Forces, and a Joint Training and Support Command (2019) |
| **Slovenia** | *Slovenian Armed Forces (Slovenska Vojska, SV):* structured as a combined Force Command with air, land, logistical, maritime, support, and training components (2019) |
| **Solomon Islands** | no regular military forces; Royal Solomon Islands Police Force (2019) |
| **Somalia** | *Somali National Security Forces:* Somali National Army (SNA), Somali National Police (SNP, includes a maritime unit), National Intelligence and Security Agency (NISA) (2019) |
| **South Africa** | *South African National Defence Force (SANDF):* South African Army (includes Reserve Force), South African Navy (SAN), South African Air Force (SAAF), South African Military Health Services (2019) |
| **South Sudan** | *South Sudan Peopleâ€™s Defence Force (SSPDF):* Ground Force, Air Force, Air Defense Forces, Presidential Guard (2019) |
| **Spain** | *Spanish Armed Forces:* Army (Ejercito de Tierra), Spanish Navy (Armada Espanola, AE, includes Marine Corps), Spanish Air Force (Ejercito del Aire Espanola, EdA); Civil Guard (Guardia Civil) (2019) |
| | *note:*Â the Civil Guard is a military force with police duties (including coast guard) under both the Ministry of Defence and the Ministry of the Interior; it also responds to the needs of the Ministry of Finance |
| **Sri Lanka** | *Sri Lanka Army (includes National Guard and the Volunteer Force), Sri Lanka Navy (includes Marine Corps), Sri Lanka Air Force, Sri Lanka Coast Guard; Civil Security Department (Home Guard); Sri Lanka National Police:* Special Task Force (counter-terrorism and counter-insurgency) (2019) |
| **Sudan** | *Sudanese Armed Forces (SAF):* Ground Force, Navy, Sudanese Air Force; Rapid Support Forces (RSF, paramilitary); Reserve Department (formerly the paramilitary Popular Defense Forces) (2020) |
| | the RSF is an autonomous paramilitary force formed in 2013 to fight armed rebel groups in Sudan, with Mohammed Hamdan DAGALLO (aka Hemeti) as its commander (he is also Deputy Chairman of the Sovereignty Council), from the remnants of the Janjaweed militia that participated in suppressing the Darfur rebellion; it was initially commanded by the National Intelligence and Security Service, then came under the direct command of former president Omar al-BASHIR, who boosted the RSF as his own personal security force; the RSF has been accused of committing rights abuses against civilians; it is also reportedly involved in business enterprises, such as gold mining; in late 2019, Sovereignty Council Chairman and SAF Commander-in-Chief General Abd-al-Fatah al-BURHAN said the RSF would be fully integrated into the SAF, but did not give a timeline |
| **Suriname** | *Suriname Army (National Leger, NL):* Army, Navy, Air Force, Military Police (2020) |
| **Svalbard** | no regular military forces; military installations prohibited by treaty |
| **Sweden** | *Swedish Armed Forces (Forsvarsmakten):* Army, Navy, Air Force; Home Guard (2019) |
| **Switzerland** | *Swiss Armed Forces:* Land Forces, Swiss Air Force (Schweizer Luftwaffe) (2019) |
| **Syria** | *Syrian Armed Forces:* Syrian Arab Army, Syrian Naval Forces, Syrian Air Forces, Syrian Air Defense Forces, National Defense Forces (pro-government militia and auxiliary forces) (2019) |
| | *note:* the Syrian government is working to demobilize militias or integrate them into its regular forces |
| **Taiwan** | *Taiwan Armed Forces:* Army, Navy (includes Marine Corps), Air Force, Military Police Command, Armed Forces Reserve Command; Taiwan Coast Guard Administration (a law enforcement organization with homeland security functions during peacetime and national defense missions during wartime) (2020) |
| **Tajikistan** | *Armed Forces of the Republic of Tajikistan:* Land Forces, Mobile Forces, Air and Air Defense Forces; National Guard; Ministry of Internal Affairs: Internal Troops (reserves for Armed Forces in wartime); State Committee on National Security: Border Guard Forces (2019) |
| **Tanzania** | *Tanzania People's Defense Forces (TPDF or Jeshi la Wananchi la Tanzania, JWTZ):* Land Forces Command, Naval Forces Command, Air Force Command, National Building Army (Jeshi la Kujenga Taifa, JKT), People's Militia (Reserves) (2019) |
| | *note:* the National Building Army is a paramilitary organization under the Defense Forces that provides six months of military and vocational training to individuals as part of their two years of public service; after completion of training, some graduates join the regular Defense Forces while the remainder become part of the People's Militia |
| **Thailand** | Royal Thai Armed Forces (Kongthap Thai, RTARF): Royal Thai Army (Kongthap Bok Thai, RTA; includes Thai Rangers (Thahan Phrahan)), Royal Thai Navy (Kongthap Ruea Thai, RTN; includes Royal Thai Marine Corps), Royal Thai Air Force (Kongthap Akaat Thai, RTAF); Interior Ministry paramilitary forces: Volunteer Defense Corps (2019) |
| | *note:* the Thai Rangers (aka Thahan Phrahan or 'Hunter Soldiersâ€™) is a paramilitary force formed in 1978 to clear Communist Party of Thailand guerrillas from mountain strongholds in the country's northeast; it is a light infantry force led by regular officers and non-commissioned officers and comprised of both fullâ€? and partâ€?time personnel; it conducts counterinsurgency operations in the southern, predominantly Muslim, region; on the eastern border with Laos and Cambodia, the Rangers have primary responsibility for border surveillance and protection |
| **Timor-Leste** | *Timor-Leste Defense Force (Falintil-Forcas de Defesa de Timor-L'este, Falintil (F-FDTL)):* Headquarters with Land and Naval components (2019) |
| **Togo** | *Togolese Armed Forces (Forces Armees Togolaise, FAT):* Togolese Army (l'Armee de Terre), Togolese Navy (Forces Naval Togolaises), Togolese Air Force (Armee de lâ€™Air), National Gendarmerie (2020) |
| **Tonga** | *Tonga Defense Services:* Joint Force headquarters, Territorial Forces, Land Force, Tonga Navy, Training Wing, Air Wing, and Support Unit (2020) |
| **Trinidad and Tobago** | *Trinidad and Tobago Defense Force (TTDF):* Trinidad and Tobago Regiment (Land Forces), Coast Guard, Air Guard, Defense Force Reserves (2019) |
| **Tunisia** | Tunisian Armed Forces (Forces Armees Tunisiens, FAT): Tunisian Army (includes Tunisian Air Defense Force), Tunisian Navy, Republic of Tunisia Air Force; Ministry of Interior: Tunisian National Guard (2020) |
| **Turkey** | Turkish Armed Forces (TSK): Turkish Land Forces (Turk Kara Kuvvetleri), Turkish Naval Forces (Turk Deniz Kuvvetleri; includes naval air and naval infantry), Turkish Air Forces (Turk Hava Kuvvetleri); Ministry of Interior: Gendarmerie of the Turkish Republic, Turkish Coast Guard Command (2019) |
| **Turkmenistan** | *Armed Forces of Turkmenistan:* National Army, Navy, Air and Air Defense Forces; Federal Border Guard Service (2019) |
| **Tuvalu** | no regular military forces; Tuvalu Police Force (2012) |
| **Uganda** | *Uganda People's Defense Force (UPDF):* Land Forces, Air Forces, Marine Forces, Special Operations Command, Reserve Force (2019) |
| **Ukraine** | Armed Forces of Ukraine (Zbroyni Syly Ukrayiny, ZSU): Ground Forces (Sukhoputni Viysâ€™ka), Naval Forces (Viysâ€™kovo-Morsâ€™ki Syly, VMS), Air Forces (Povitryani Syly, PS), Air Assault Forces (Desantno-shturmovi Viyska, DShV);Â  Ministry of Internal Affairs: National Guard of Ukraine, State Border Guard Service of Ukraine (includes Maritime Border Guard) (2020) |
| **United Arab Emirates** | *United Arab Emirates Armed Forces:* Land Forces, Navy, Air Force, Presidential Guard, Joint Aviation Command; Ministry of Interior: Critical Infrastructure Coastal Patrol Agency (CICPA) (2020) |
| **United Kingdom** | British Army, Royal Navy (includes Royal Marines), Royal Air Force (2019) |
| **United States** | *United States Armed Forces:* US Army, US Navy (includes Marine Corps), US Air Force, US Space Force; US Coast Guard (administered in peacetime by the Department of Homeland Security, but in wartime reports to the Department of the Navy); National Guard (Army National Guard and Air National Guard); Reserves (all services) (2020) |
| **Uruguay** | *Armed Forces of Uruguay (Fuerzas Armadas del Uruguay):* National Army (Ejercito Nacional), National Navy (Armada Nacional, includes Maritime National Prefecture (Coast Guard)), Uruguayan Air Force (Fuerza Aerea); Guardia Nacional Republicana (paramilitary regiment of the National Police) (2020) |
| **Uzbekistan** | *Armed Forces of Uzbekistan:* Army, Air and Air Defense Forces; National Guard; Ministry of Internal Affairs: Internal Security Troops (2019) |
| **Vanuatu** | no regular military forces; Vanuatu Police Force (VPF; includes Vanuatu Mobile Force (VMF) and Police Maritime Wing (VPMW)) (2019) |
| **Venezuela** | *Bolivarian National Armed Forces (Fuerza Armada Nacional Bolivariana, FANB):* Bolivarian Army (Ejercito Bolivariano, EB), Bolivarian Navy (Armada Bolivariana, AB; includes Marines, Coast Guard), Bolivarian Military Aviation (Aviacion Militar Bolivariana, AMB), Integral Aerospace Defense Command (Comando de Defensa Aeroespacial Integral, CODAI), Bolivarian National Guard (Guardia Nacional Bolivaria, GNB); Bolivarian Militia (Milicia Bolivariana, NMB) (2019) |
| | *note:* the CODAI is a joint service command with personnel drawn from other services |
| **Vietnam** | *People's Army of Vietnam (PAVN):* PAVN Ground Forces, PAVN Navy (includes naval infantry), PAVN Air Force and Air Defense, Border Defense Force, and Vietnam Coast Guard; Vietnam People's Public Security; Vietnam Civil Defense Force (2019) |
| **West Bank** | per the Oslo Accords, the PA is not permitted a conventional military but maintains security and police forces; PA security personnel have operated almost exclusively in the West Bank since HAMAS seized power in the Gaza Strip in 2007; PA forces include National Security Forces, Presidential Guard, Civil Police, Civil Defense, Preventative Security Organization, the General Intelligence Organization, and the Military Intelligence Organization (2020) |
| **Yemen** | Land Forces (includes seven Military Regional Commands, supported by Strategic Reserve Forces), Naval and Coastal Defense Forces (includes naval infantry/marines and Coast Guard), Air and Air Defense Force (although it still exists in name, in practice many of the officers and soldiers in this branch have been distributed to other military branches and jobs), Border Guards, Strategic Reserve Forces (supports the Land Forces at the discretion of the Armed Forces Commander-in-Chief; includes a Missile Group, Presidential Protection Brigades, and Special Operations Forces) (2018) |
| **Zambia** | *Zambia Defense Force (ZDF):* Zambia Army, Zambia Air Force, Zambia National Service (support organization); the Zambia Police includes a paramilitary battalion (2019) |
| **Zimbabwe** | *Zimbabwe Defense Forces (ZDF):* Zimbabwe National Army (ZNA), Air Force of Zimbabwe (AFZ) (2020) |

