Field Listing :: Military and security service personnel strengths :: The World Factbook

This entry provides estimates of military and security services personnel strengths. The numbers are based on a wide-range of publicly available information. Unless otherwise noted, military estimates focus on the major services (army, navy, air force, and where applicable, gendarmeries) and do not account for activated reservists or delineate military service members assigned to joint staffs or defense ministries.

| Country | Military and security service personnel strengths |
| **Tanzania** | the Tanzania People's Defense Forces (TPDF) have an estimated 26,000 active personnel (22,000 Land Forces; 1,000 Naval Forces; 3,000 Air Force) (2019 ) |
| **Thailand** | estimates for the size of the Royal Thai Armed Forces (RTARF) vary; approximately 360,000 active duty personnel (245,000 Army; 70,000 Navy; 45,000 Air Force); est. 20,000 Thai Rangers (2019) |
| **Timor-Leste** | the Timor-Leste Defense Force (F-FDLT) is comprised of approximately 2,000 troops (2019 est.) |
| **Togo** | the Togolese Armed Forces (FAT) are comprised of approximately 9,100 personnel (8,000 Army; 200 Navy; 200 Navy; 750 Gendarmerie) (2019 est.) |
| **Tonga** | the Tonga Defense Services have approximately 500 personnel (2020) |
| **Trinidad and Tobago** | the Trinidad and Tobago Defense Force (TTDF) has approximately 4,000 active troops, including Army, Coast Guard, and Air Guard personnel (2019 est.) |
| **Tunisia** | the Tunisian Armed Forces (FAT) have approximately 36,000 active personnel (27,000 Army; 5,000 Navy; 4,000 Air Force); est. 12,000 National Guard (2019) |
| **Turkey** | size assessments for the Turkish Armed Forces (TSK) vary; approximately 375,000 total active duty personnel (280,000 Army; 45,000 Navy; 50,000 Air Force); approximately 150,000 Gendarmerie (2020 est.) |
| **Turkmenistan** | the Armed Forces of Turkmenistan have approximately 37,000 active troops (est. 33,000 National Army; 500 Navy, 3,500 Air and Air Defense Forces) (2019 est.) |
| **Uganda** | size estimates for the Uganda People's Defense Force (UPDF) vary; approximately 50,000 troops, including about 1,000 air and marine personnel (2019 est.) |
| **Ukraine** | size estimates for the Armed Forces of Ukraine (Zbroyni Syly Ukrayiny, ZSU) vary; approximately 215,000 active troops (160,000 Army, including Airborne/Air Assault Forces; 13,000 Navy; 42,000 Air Force); est. 50,000 National Guard (2019 est.) |
| **United Arab Emirates** | the United Arab Emirates Armed Forces have approximately 63,000 total active personnel (44,000 Land Forces; 2,500 Navy; 4,500; 12,000 Presidential Guard) (2019) |
| **United Kingdom** | the British military has approximately 149,000 total active duty troops (83,000 Army; 33,000 Navy, including 7,000 marines; 33,000 Air Force) (2020) |
| **United States** | the US Armed Forces have approximately 1.372 million active duty personnel (475,000 Army; 340,000 Navy; 330,000 Air Force; 185,000 Marine Corps); 42,000 Coast Guard; 335,000 Army National Guard; 105,000 Air National Guard (June 2020) |
| **Uruguay** | the Armed Forces of Uruguay have approximately 22,000 active personnel (14,500 Army; 5,000 Navy; 2,500 Air Force); est. 1,400 Guardia Nacional Republicana (2019 est.) |
| **Uzbekistan** | assessments for the size of the Armed Forces of Uzbekistan vary; approximately 55,000 total active troops (est. 45,000 Army; est. 10,000 Air and Air Defense Forces) (2019 est.) |
| **Venezuela** | the Bolivarian National Armed Forces (FANB) have approximately 125,000 active personnel (62,000 Army; 25,000 Navy; 11,000 Air Force; 27,000 National Guard) (2019 est.) |
| **Vietnam** | information is limited and estimates of the size of the Peopleâ€™s Army of Vietnam (PAVN) vary; approximately 475,000 active duty troops (405,000 ground; 40,000 naval; 30,000 air); est. 40,000 Border Defense Force and Coast Guard (2019) |
| **West Bank** | the Palestinian Authority Security Forces have approximately 30,000 active personnel (2019 est.) |
| **Yemen** | *N/A; note:* prior to the civil war, Yemeni Government armed forces had approximately 70,000 active personnel, including about 60,000 Army (2019 est.) |
| **Zambia** | the Zambia Defense Force (ZDF) has an estimated 17,000 active troops (15,500 Army; 1,500 Air); 1,400 paramilitary Police (2019 est.) |
| **Zimbabwe** | size estimates for the Zimbabwe Defense Forces (ZDF) vary; approximately 30,000 active duty troops, including about 4,000 serving in the Air Force (2019 est.) |

