CIA - The World Factbook -- Field Listing - Administrative divisions

| Country | Administrative divisions |
| | *counties:* Bacs-Kiskun, Baranya, Bekes, Borsod-Abauj-Zemplen, Csongrad, Fejer, Gyor-Moson-Sopron, Hajdu-Bihar, Heves, Jasz-Nagykun-Szolnok, Komarom-Esztergom, Nograd, Pest, Somogy, Szabolcs-Szatmar-Bereg, Tolna, Vas, Veszprem, Zala |
| | *urban counties:* Bekescsaba, Debrecen, Dunaujvaros, Eger, Gyor, Hodmezovasarhely, Kaposvar, Kecskemet, Miskolc, Nagykanizsa, Nyiregyhaza, Pecs, Sopron, Szeged, Szekesfehervar, Szolnok, Szombathely, Tatabanya, Veszprem, Zalaegerszeg |
| | *capital city:* Budapest |
| **Iceland** | 8 regions; Austurland, Hofudhborgarsvaedhi, Nordhurland Eystra, Nordhurland Vestra, Sudhurland, Sudhurnes, Vestfirdhir, Vesturland |
| **India** | 28 states and 7 union territories*; Andaman and Nicobar Islands*, Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Chandigarh*, Chhattisgarh, Dadra and Nagar Haveli*, Daman and Diu*, Delhi*, Goa, Gujarat, Haryana, Himachal Pradesh, Jammu and Kashmir, Jharkhand, Karnataka, Kerala, Lakshadweep*, Madhya Pradesh, Maharashtra, Manipur, Meghalaya, Mizoram, Nagaland, Orissa, Pondicherry*, Punjab, Rajasthan, Sikkim, Tamil Nadu, Tripura, Uttaranchal, Uttar Pradesh, West Bengal |
| **Indonesia** | 30 provinces (propinsi-propinsi, singular - propinsi), 2 special regions* (daerah-daerah istimewa, singular - daerah istimewa), and 1 special capital city district** (daerah khusus ibukota); Aceh*, Bali, Banten, Bengkulu, Gorontalo, Irian Jaya Barat, Jakarta Raya**, Jambi, Jawa Barat, Jawa Tengah, Jawa Timur, Kalimantan Barat, Kalimantan Selatan, Kalimantan Tengah, Kalimantan Timur, Kepulauan Bangka Belitung, Kepulauan Riau, Lampung, Maluku, Maluku Utara, Nusa Tenggara Barat, Nusa Tenggara Timur, Papua, Riau, Sulawesi Barat, Sulawesi Selatan, Sulawesi Tengah, Sulawesi Tenggara, Sulawesi Utara, Sumatera Barat, Sumatera Selatan, Sumatera Utara, Yogyakarta*; note - with the implementation of decentralization on 1 January 2001, the 357 districts or regencies became the key administrative units responsible for providing most government services |
| **Iran** | 28 provinces (ostanha, singular - ostan); Ardabil, Azarbayjan-e Gharbi, Azarbayjan-e Sharqi, Bushehr, Chahar Mahall va Bakhtiari, Esfahan, Fars, Gilan, Golestan, Hamadan, Hormozgan, Ilam, Kerman, Kermanshah, Khorasan, Khuzestan, Kohgiluyeh va Buyer Ahmad, Kordestan, Lorestan, Markazi, Mazandaran, Qazvin, Qom, Semnan, Sistan va Baluchestan, Tehran, Yazd, Zanjan |
| **Iraq** | 18 governorates (muhafazat, singular - muhafazah); Al Anbar, Al Basrah, Al Muthanna, Al Qadisiyah, An Najaf, Arbil, As Sulaymaniyah, At Ta'mim, Babil, Baghdad, Dahuk, Dhi Qar, Diyala, Karbala', Maysan, Ninawa, Salah ad Din, Wasit |
| **Ireland** | 26 counties; Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow |
| | *note:* Cavan, Donegal, and Monaghan are part of Ulster Province |
| **Israel** | 6 districts (mehozot, singular - mehoz); Central, Haifa, Jerusalem, Northern, Southern, Tel Aviv |
| **Italy** | 16 regions (regioni, singular - regione) and 4 autonomous regions* (regioni autonome, singular - regione autonoma); Abruzzo, Basilicata, Calabria, Campania, Emilia-Romagna, Friuli-Venezia Giulia*, Lazio, Liguria, Lombardia, Marche, Molise, Piemonte, Puglia, Sardegna*, Sicilia, Toscana, Trentino-Alto Adige*, Umbria, Valle d'Aosta*, Veneto |
| **Jamaica** | 14 parishes; Clarendon, Hanover, Kingston, Manchester, Portland, Saint Andrew, Saint Ann, Saint Catherine, Saint Elizabeth, Saint James, Saint Mary, Saint Thomas, Trelawny, Westmoreland |
| | *note:* for local government purposes, Kingston and Saint Andrew were amalgamated in 1923 into the present single corporate body known as the Kingston and Saint Andrew Corporation |
| **Japan** | 47 prefectures; Aichi, Akita, Aomori, Chiba, Ehime, Fukui, Fukuoka, Fukushima, Gifu, Gumma, Hiroshima, Hokkaido, Hyogo, Ibaraki, Ishikawa, Iwate, Kagawa, Kagoshima, Kanagawa, Kochi, Kumamoto, Kyoto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Oita, Okayama, Okinawa, Osaka, Saga, Saitama, Shiga, Shimane, Shizuoka, Tochigi, Tokushima, Tokyo, Tottori, Toyama, Wakayama, Yamagata, Yamaguchi, Yamanashi |
| **Jersey** | none (British crown dependency) |
| **Jordan** | 12 governorates (muhafazat, singular - muhafazah); Ajlun, Al 'Aqabah, Al Balqa', Al Karak, Al Mafraq, 'Amman, At Tafilah, Az Zarqa', Irbid, Jarash, Ma'an, Madaba |
| **Kazakhstan** | 14 provinces (oblystar, singular - oblys) and 3 cities* (qala, singular - qalasy); Almaty Oblysy, Almaty Qalasy*, Aqmola Oblysy (Astana), Aqtobe Oblysy, Astana Qalasy*, Atyrau Oblysy, Batys Qazaqstan Oblysy (Oral), Bayqongyr Qalasy*, Mangghystau Oblysy (Aqtau), Ongtustik Qazaqstan Oblysy (Shymkent), Pavlodar Oblysy, Qaraghandy Oblysy, Qostanay Oblysy, Qyzylorda Oblysy, Shyghys Qazaqstan Oblysy (Oskemen), Soltustik Qazaqstan Oblysy (Petropavlovsk), Zhambyl Oblysy (Taraz) |
| | *note:* administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses); in 1995 the Governments of Kazakhstan and Russia entered into an agreement whereby Russia would lease for a period of 20 years an area of 6,000 sq km enclosing the Baykonur space launch facilities and the city of Bayqongyr (Baykonur, formerly Leninsk) |
| **Kenya** | 7 provinces and 1 area*; Central, Coast, Eastern, Nairobi Area*, North Eastern, Nyanza, Rift Valley, Western |
| **Kiribati** | 3 units; Gilbert Islands, Line Islands, Phoenix Islands; note - in addition, there are 6 districts (Banaba, Central Gilberts, Line Islands, Northern Gilberts, Southern Gilberts, Tarawa) and 21 island councils - one for each of the inhabited islands (Abaiang, Abemama, Aranuka, Arorae, Banaba, Beru, Butaritari, Kanton, Kiritimati, Kuria, Maiana, Makin, Marakei, Nikunau, Nonouti, Onotoa, Tabiteuea, Tabuaeran, Tamana, Tarawa, Teraina) |
| **Korea, North** | 9 provinces (do, singular and plural) and 4 municipalities (si, singular and plural) |
| | *provinces:* Chagang-do (Chagang), Hamgyong-bukto (North Hamgyong), Hamgyong-namdo (South Hamgyong), Hwanghae-bukto (North Hwanghae), Hwanghae-namdo (South Hwanghae), Kangwon-do (Kangwon), P'yongan-bukto (North P'yongan), P'yongan-namdo (South P'yongan), Yanggang-do (Yanggang) |
| | *municipalites:* Kaesong-si (Kaesong), Najin Sonbong-si (Najin), Namp'o-si (Namp'o), P'yongyang-si (Pyongyang) |
| **Korea, South** | 9 provinces (do, singular and plural) and 7 metropolitan cities (gwangyoksi, singular and plural) |
| | *provinces:* Cheju-do, Cholla-bukto (North Cholla), Cholla-namdo (South Cholla), Ch'ungch'ong-bukto (North Ch'ungch'ong), Ch'ungch'ong-namdo (South Ch'ungch'ong), Kangwon-do, Kyonggi-do, Kyongsang-bukto (North Kyongsang), Kyongsang-namdo (South Kyongsang) |
| | *metropolitan cities:* Inch'on-gwangyoksi (Inchon), Kwangju-gwangyoksi (Kwangju), Pusan-gwangyoksi (Pusan), Soul-t'ukpyolsi (Seoul), Taegu-gwangyoksi (Taegu), Taejon-gwangyoksi (Taejon), Ulsan-gwangyoksi (Ulsan) |
| **Kuwait** | 5 governorates (muhafazat, singular - muhafazah); Al Ahmadi, Al Farwaniyah, Al 'Asimah, Al Jahra', Hawalli |
| **Kyrgyzstan** | 7 provinces (oblastlar, singular - oblasty) and 1 city* (shaar); Batken Oblasty, Bishkek Shaary*, Chuy Oblasty (Bishkek), Jalal-Abad Oblasty, Naryn Oblasty, Osh Oblasty, Talas Oblasty, Ysyk-Kol Oblasty (Karakol) |
| | *note:* administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| **Laos** | 16 provinces (khoueng, singular and plural), 1 municipality* (kampheng nakhon, singular and plural), and 1 special zone** (khetphiset, singular and plural); Attapu, Bokeo, Bolikhamxai, Champasak, Houaphan, Khammouan, Louangnamtha, Louangphrabang, Oudomxai, Phongsali, Salavan, Savannakhet, Viangchan*, Viangchan, Xaignabouli, Xaisomboun**, Xekong, Xiangkhoang |
| **Latvia** | *26 counties (singular - rajons) and 7 municipalities*:* Aizkraukles Rajons, Aluksnes Rajons, Balvu Rajons, Bauskas Rajons, Cesu Rajons, Daugavpils*, Daugavpils Rajons, Dobeles Rajons, Gulbenes Rajons, Jekabpils Rajons, Jelgava*, Jelgavas Rajons, Jurmala*, Kraslavas Rajons, Kuldigas Rajons, Liepaja*, Liepajas Rajons, Limbazu Rajons, Ludzas Rajons, Madonas Rajons, Ogres Rajons, Preilu Rajons, Rezekne*, Rezeknes Rajons, Riga*, Rigas Rajons, Saldus Rajons, Talsu Rajons, Tukuma Rajons, Valkas Rajons, Valmieras Rajons, Ventspils*, Ventspils Rajons |
| **Lebanon** | 6 governorates (mohafazat, singular - mohafazah); Beyrouth, Beqaa, Liban-Nord, Liban-Sud, Mont-Liban, Nabatiye |
| **Lesotho** | 10 districts; Berea, Butha-Buthe, Leribe, Mafeteng, Maseru, Mohale's Hoek, Mokhotlong, Qacha's Nek, Quthing, Thaba-Tseka |
| **Liberia** | 15 counties; Bomi, Bong, Gbarpolu, Grand Bassa, Grand Cape Mount, Grand Gedeh, Grand Kru, Lofa, Margibi, Maryland, Montserrado, Nimba, River Cess, River Gee, Sinoe |
| **Libya** | 25 municipalities (baladiyat, singular - baladiyah); Ajdabiya, Al 'Aziziyah, Al Fatih, Al Jabal al Akhdar, Al Jufrah, Al Khums, Al Kufrah, An Nuqat al Khams, Ash Shati', Awbari, Az Zawiyah, Banghazi, Darnah, Ghadamis, Gharyan, Misratah, Murzuq, Sabha, Sawfajjin, Surt, Tarabulus, Tarhunah, Tubruq, Yafran, Zlitan; note - the 25 municipalities may have been replaced by 13 regions |
| **Liechtenstein** | 11 communes (Gemeinden, singular - Gemeinde); Balzers, Eschen, Gamprin, Mauren, Planken, Ruggell, Schaan, Schellenberg, Triesen, Triesenberg, Vaduz |
| **Lithuania** | 10 counties (apskritys, singular - apskritis); Alytaus, Kauno, Klaipedos, Marijampoles, Panevezio, Siauliu, Taurages, Telsiu, Utenos, Vilniaus |
| **Luxembourg** | 3 districts; Diekirch, Grevenmacher, Luxembourg |
| **Macau** | none (special administrative region of China) |
| **Macedonia** | 123 municipalities (opstini, singular - opstina); Aracinovo, Bac, Belcista, Berovo, Bistrica, Bitola, Blatec, Bogdanci, Bogomila, Bogovinje, Bosilovo, Brvenica, Cair (Skopje), Capari, Caska, Cegrane, Centar (Skopje), Centar Zupa, Cesinovo, Cucer-Sandevo, Debar, Delcevo, Delogozdi, Demir Hisar, Demir Kapija, Dobrusevo, Dolna Banjica, Dolneni, Dorce Petrov (Skopje), Drugovo, Dzepciste, Gazi Baba (Skopje), Gevgelija, Gostivar, Gradsko, Ilinden, Izvor, Jegunovce, Kamenjane, Karbinci, Karpos (Skopje), Kavadarci, Kicevo, Kisela Voda (Skopje), Klecevce, Kocani, Konce, Kondovo, Konopiste, Kosel, Kratovo, Kriva Palanka, Krivogastani, Krusevo, Kuklis, Kukurecani, Kumanovo, Labunista, Lipkovo, Lozovo, Lukovo, Makedonska Kamenica, Makedonski Brod, Mavrovi Anovi, Meseista, Miravci, Mogila, Murtino, Negotino, Negotino-Polosko, Novaci, Novo Selo, Oblesevo, Ohrid, Orasac, Orizari, Oslomej, Pehcevo, Petrovec, Plasnica, Podares, Prilep, Probistip, Radovis, Rankovce, Resen, Rosoman, Rostusa, Samokov, Saraj, Sipkovica, Sopiste, Sopotnica, Srbinovo, Star Dojran, Staravina, Staro Nagoricane, Stip, Struga, Strumica, Studenicani, Suto Orizari (Skopje), Sveti Nikole, Tearce, Tetovo, Topolcani, Valandovo, Vasilevo, Velesta, Veles, Vevcani, Vinica, Vitoliste, Vranestica, Vrapciste, Vratnica, Vrutok, Zajas, Zelenikovo, Zeleno, Zitose, Zletovo, Zrnovci |
| | *note:* the seven municipalities followed by Skopje in parentheses collectively constitute "greater Skopje"; new information suggests that the 123 municipalities have been consolidated into 84 municipalities |
| **Madagascar** | 6 provinces (faritany); Antananarivo, Antsiranana, Fianarantsoa, Mahajanga, Toamasina, Toliara |
| **Malawi** | 27 districts; Balaka, Blantyre, Chikwawa, Chiradzulu, Chitipa, Dedza, Dowa, Karonga, Kasungu, Likoma, Lilongwe, Machinga (Kasupe), Mangochi, Mchinji, Mulanje, Mwanza, Mzimba, Ntcheu, Nkhata Bay, Nkhotakota, Nsanje, Ntchisi, Phalombe, Rumphi, Salima, Thyolo, Zomba |
| **Malaysia** | 13 states (negeri-negeri, singular - negeri) Johor, Kedah, Kelantan, Melaka, Negeri Sembilan, Pahang, Perak, Perlis, Pulau Pinang, Sabah, Sarawak, Selangor, and Terengganu; and one federal territory (wilayah persekutuan) with three components, city of Kuala Lumpur, Labuan, and Putrajaya |
| **Maldives** | 19 atolls (atholhu, singular and plural) and 1 other first-order administrative division*; Alifu, Baa, Dhaalu, Faafu, Gaafu Alifu, Gaafu Dhaalu, Gnaviyani, Haa Alifu, Haa Dhaalu, Kaafu, Laamu, Lhaviyani, Maale*, Meemu, Noonu, Raa, Seenu, Shaviyani, Thaa, Vaavu |
| **Mali** | 8 regions (regions, singular - region); Gao, Kayes, Kidal, Koulikoro, Mopti, Segou, Sikasso, Tombouctou |
| **Malta** | none (administered directly from Valletta); note - Local Councils carry out administrative orders |
| **Man, Isle of** | none; there are no first-order administrative divisions as defined by the US Government, but there are 24 local authorities each with its own elections |
| **Marshall Islands** | 33 municipalities; Ailinginae, Ailinglaplap, Ailuk, Arno, Aur, Bikar, Bikini, Bokak, Ebon, Enewetak, Erikub, Jabat, Jaluit, Jemo, Kili, Kwajalein, Lae, Lib, Likiep, Majuro, Maloelap, Mejit, Mili, Namorik, Namu, Rongelap, Rongrik, Toke, Ujae, Ujelang, Utirik, Wotho, Wotje |
| **Martinique** | none (overseas department of France) |
| **Mauritania** | 12 regions (regions, singular - region) and 1 capital district*; Adrar, Assaba, Brakna, Dakhlet Nouadhibou, Gorgol, Guidimaka, Hodh Ech Chargui, Hodh El Gharbi, Inchiri, Nouakchott*, Tagant, Tiris Zemmour, Trarza |
| **Mauritius** | 9 districts and 3 dependencies*; Agalega Islands*, Black River, Cargados Carajos Shoals*, Flacq, Grand Port, Moka, Pamplemousses, Plaines Wilhems, Port Louis, Riviere du Rempart, Rodrigues*, Savanne |
| **Mayotte** | none (territorial collectivity of France) |
| **Mexico** | 31 states (estados, singular - estado) and 1 federal district* (distrito federal); Aguascalientes, Baja California, Baja California Sur, Campeche, Chiapas, Chihuahua, Coahuila de Zaragoza, Colima, Distrito Federal*, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, Mexico, Michoacan de Ocampo, Morelos, Nayarit, Nuevo Leon, Oaxaca, Puebla, Queretaro de Arteaga, Quintana Roo, San Luis Potosi, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz-Llave, Yucatan, Zacatecas |
| **Micronesia, Federated States of** | 4 states; Chuuk (Truk), Kosrae (Kosaie), Pohnpei (Ponape), Yap |
| **Moldova** | 32 raions (raioane, singular - raionul), 3 municipalities (municipiul), 1 autonomous territorial unit (unitatea teritoriala autonoma), and 1 territorial unit (unitatea teritoriala) |
| | *counties:* Anenii Noi, Basarabeasca, Briceni, Cahul, Cantemir, Calarasi, Causeni, Cimislia, Criuleni, Donduseni, Drochia, Dubasari, Edinet, Falesti, Floresti, Glodeni, Hincesti, Ialoveni, Leova, Nisporeni, Ocnita, Orhei, Rezina, Riscani, Singerei, Soldanesti, Soroca, Stefan-Voda, Straseni, Taraclia, Telenesti, Ungheni |
| | *municipalities:* Balti, Bender, Chisinau |
| | *autonomous territorial unit:* Gagauzia |
| | *territorial unit:* Stinga Nistrului |
| **Monaco** | none; there are no first-order administrative divisions as defined by the US Government, but there are four quarters (quartiers, singular - quartier); Fontvieille, La Condamine, Monaco-Ville, Monte-Carlo |
| **Mongolia** | 21 provinces (aymguud, singular - aymag) and 1 municipality* (singular - hot); Arhangay, Bayanhongor, Bayan-Olgiy, Bulgan, Darhan Uul, Dornod, Dornogovi, Dundgovi, Dzavhan, Govi-Altay, Govi-Sumber, Hentiy, Hovd, Hovsgol, Omnogovi, Orhon, Ovorhangay, Selenge, Suhbaatar, Tov, Ulaanbaatar*, Uvs |
| **Montserrat** | 3 parishes; Saint Anthony, Saint Georges, Saint Peter |
| **Morocco** | *16 regions:* Casablanca, Chaouia-Ourdigha, Doukkala-Abda, Fes-Boulmane, Gharb-Chrarda-Beni Hssen, Guelmim-Es Smara, Laayoune-Boujdour-Sakia El Hamra, Marrakech-Tensift-El Haouz, Meknes-Tafilalet, Oriental, Oued Eddahab-Lagouira, Rabat-Sale-Zemmour-Zaer, Souss-Massa-Draa, Tadla-Azilal, Tangier-Tetouan, Taza-Al Hoceima-Taounate |
| **Mozambique** | 10 provinces (provincias, singular - provincia), 1 city (cidade)*; Cabo Delgado, Gaza, Inhambane, Manica, Maputo, Cidade de Maputo*, Nampula, Niassa, Sofala, Tete, Zambezia |
| **Namibia** | 13 regions; Caprivi, Erongo, Hardap, Karas, Khomas, Kunene, Ohangwena, Okavango, Omaheke, Omusati, Oshana, Oshikoto, Otjozondjupa |
| **Nauru** | 14 districts; Aiwo, Anabar, Anetan, Anibare, Baiti, Boe, Buada, Denigomodu, Ewa, Ijuw, Meneng, Nibok, Uaboe, Yaren |
| **Nepal** | 14 zones (anchal, singular and plural); Bagmati, Bheri, Dhawalagiri, Gandaki, Janakpur, Karnali, Kosi, Lumbini, Mahakali, Mechi, Narayani, Rapti, Sagarmatha, Seti |
| **Netherlands** | 12 provinces (provincies, singular - provincie); Drenthe, Flevoland, Friesland (Fryslan), Gelderland, Groningen, Limburg, Noord-Brabant, Noord-Holland, Overijssel, Utrecht, Zeeland, Zuid-Holland |
| **Netherlands Antilles** | none (part of the Kingdom of the Netherlands) |
| | *note:* each island has its own government |
| **New Caledonia** | none (overseas territory of France); there are no first-order administrative divisions as defined by the US Government, but there are 3 provinces named Iles Loyaute, Nord, and Sud |
| **New Zealand** | 13 regions; Auckland, Bay of Plenty, Canterbury, Gisborne-Hawke's Bay, Manawatu-Wanganui, Nelson-Marlborough, Northland, Otago, Southland, Taranaki, Waikato, Wellington, West Coast |
| **Nicaragua** | 15 departments (departamentos, singular - departamento) and 2 autonomous regions* (regiones autonomistas, singular - region autonomista); Atlantico Norte*, Atlantico Sur*, Boaco, Carazo, Chinandega, Chontales, Esteli, Granada, Jinotega, Leon, Madriz, Managua, Masaya, Matagalpa, Nueva Segovia, Rio San Juan, Rivas |
| **Niger** | 7 departments (departements, singular - departement) and 1 capital district* (capitale district); Agadez, Diffa, Dosso, Maradi, Niamey*, Tahoua, Tillaberi, Zinder |
| **Nigeria** | 36 states and 1 territory*; Abia, Adamawa, Akwa Ibom, Anambra, Bauchi, Bayelsa, Benue, Borno, Cross River, Delta, Ebonyi, Edo, Ekiti, Enugu, Federal Capital Territory*, Gombe, Imo, Jigawa, Kaduna, Kano, Katsina, Kebbi, Kogi, Kwara, Lagos, Nassarawa, Niger, Ogun, Ondo, Osun, Oyo, Plateau, Rivers, Sokoto, Taraba, Yobe, Zamfara |
| **Niue** | none; note - there are no first-order administrative divisions as defined by the US Government, but there are 14 villages at the second order |
| **Norfolk Island** | none (territory of Australia) |
| **Northern Mariana Islands** | none (commonwealth in political union with the US); there are no first-order administrative divisions as defined by the US Government, but there are four municipalities at the second order; Northern Islands, Rota, Saipan, Tinian |
| **Norway** | 19 counties (fylker, singular - fylke); Akershus, Aust-Agder, Buskerud, Finnmark, Hedmark, Hordaland, More og Romsdal, Nordland, Nord-Trondelag, Oppland, Oslo, Ostfold, Rogaland, Sogn og Fjordane, Sor-Trondelag, Telemark, Troms, Vest-Agder, Vestfold |
| **Oman** | 5 regions (manaatiq, singular - mintaqat) and 3 governorates* (muhaafazaat, singular - muhaafaza) Ad Dakhiliyah, Al Batinah, Al Wusta, Ash Sharqiyah, Az Zahirah, Masqat*, Musandam*, Zufar* |
| **Pakistan** | 4 provinces, 1 territory*, and 1 capital territory**; Balochistan, Federally Administered Tribal Areas*, Islamabad Capital Territory**, North-West Frontier Province, Punjab, Sindh |
| | *note:* the Pakistani-administered portion of the disputed Jammu and Kashmir region includes Azad Kashmir and the Northern Areas |
| **Palau** | 16 states; Aimeliik, Airai, Angaur, Hatohobei, Kayangel, Koror, Melekeok, Ngaraard, Ngarchelong, Ngardmau, Ngatpang, Ngchesar, Ngeremlengui, Ngiwal, Peleliu, Sonsorol |
| **Panama** | 9 provinces (provincias, singular - provincia) and 1 territory* (comarca); Bocas del Toro, Chiriqui, Cocle, Colon, Darien, Herrera, Los Santos, Panama, San Blas*, and Veraguas |
| **Papua New Guinea** | 20 provinces; Bougainville, Central, Chimbu, Eastern Highlands, East New Britain, East Sepik, Enga, Gulf, Madang, Manus, Milne Bay, Morobe, National Capital, New Ireland, Northern, Sandaun, Southern Highlands, Western, Western Highlands, West New Britain |
| **Paraguay** | 17 departments (departamentos, singular - departamento) and 1 capital city*; Alto Paraguay, Alto Parana, Amambay, Asuncion*, Boqueron, Caaguazu, Caazapa, Canindeyu, Central, Concepcion, Cordillera, Guaira, Itapua, Misiones, Neembucu, Paraguari, Presidente Hayes, San Pedro |
| **Peru** | 24 departments (departamentos, singular - departamento) and 1 constitutional province* (provincia constitucional); Amazonas, Ancash, Apurimac, Arequipa, Ayacucho, Cajamarca, Callao*, Cusco, Huancavelica, Huanuco, Ica, Junin, La Libertad, Lambayeque, Lima, Loreto, Madre de Dios, Moquegua, Pasco, Piura, Puno, San Martin, Tacna, Tumbes, Ucayali |
| | *note:* some reports indicate that the 24 departments and 1 constitutional province are now being referred to as regions; Peru is implementing a decentralization program whereby these 25 administrative divisions will begin to exercise greater governmental authority over their territories; in November 2002, voters chose their new regional presidents and other regional leaders; the authority that the regional government will exercise has not yet been clearly defined, but it will be devolved to the regions over the course of several years |
| **Philippines** | 79 provinces and 116 chartered cities |
| | *provinces:* Abra, Agusan del Norte, Agusan del Sur, Aklan, Albay, Antique, Apayao, Aurora, Basilan, Bataan, Batanes, Batangas, Biliran, Benguet, Bohol, Bukidnon, Bulacan, Cagayan, Camarines Norte, Camarines Sur, Camiguin, Capiz, Catanduanes, Cavite, Cebu, Compostela, Davao del Norte, Davao del Sur, Davao Oriental, Eastern Samar, Guimaras, Ifugao, Ilocos Norte, Ilocos Sur, Iloilo, Isabela, Kalinga, Laguna, Lanao del Norte, Lanao del Sur, La Union, Leyte, Maguindanao, Marinduque, Masbate, Mindoro Occidental, Mindoro Oriental, Misamis Occidental, Misamis Oriental, Mountain Province, Negros Occidental, Negros Oriental, North Cotabato, Northern Samar, Nueva Ecija, Nueva Vizcaya, Palawan, Pampanga, Pangasinan, Quezon, Quirino, Rizal, Romblon, Samar, Sarangani, Siquijor, Sorsogon, South Cotabato, Southern Leyte, Sultan Kudarat, Sulu, Surigao del Norte, Surigao del Sur, Tarlac, Tawi-Tawi, Zambales, Zamboanga del Norte, Zamboanga del Sur, Zamboanga Sibugay |
| | *chartered cities:* Alaminos, Angeles, Antipolo, Bacolod, Bago, Baguio, Bais, Balanga, Batangas, Bayawan, Bislig, Butuan, Cabanatuan, Cadiz, Cagayan de Oro, Calamba, Calapan, Calbayog, Candon, Canlaon, Cauayan, Cavite, Cebu, Cotabato, Dagupan, Danao, Dapitan, Davao, Digos, Dipolog, Dumaguete, Escalante, Gapan, General Santos, Gingoog, Himamaylan, Iligan, Iloilo, Isabela, Iriga, Kabankalan, Kalookan, Kidapawan, Koronadal, La Carlota, Laoag, Lapu-Lapu, Las Pinas, Legazpi, Ligao, Lipa, Lucena, Maasin, Makati, Malabon, Malaybalay, Malolos, Mandaluyong, Mandaue, Manila, Marawi, Markina, Masbate, Muntinlupa, Munoz, Naga, Olongapo, Ormoc, Oroquieta, Ozamis, Pagadian, Palayan, Panabo, Paranaque, Pasay, Pasig, Passi, Puerto Princesa, Quezon, Roxas, Sagay, Samal, San Carlos (in Negros Occidental), San Carlos (in Pangasinan), San Fernando (in La Union), San Fernando (in Pampanga), San Jose, San Jose del Monte, San Pablo, Santa Rosa, Santiago, Silay, Sipalay, Sorsogon, Surigao, Tabaco, Tacloban, Tacurong, Tagaytay, Tagbilaran, Tagum, Talisay (in Cebu), Talisay (in Negros Oriental), Tanauan, Tangub, Tanjay, Tarlac, Toledo, Tuguegarao, Trece Martires, Urdaneta, Valencia, Valenzuela, Victorias, Vigan, Zamboanga |
| **Pitcairn Islands** | none (overseas territory of the UK) |
| **Poland** | 16 provinces (wojewodztwa, singular - wojewodztwo); Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubelskie, Lubuskie, Malopolskie, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodniopomorskie |
| **Portugal** | 18 districts (distritos, singular - distrito) and 2 autonomous regions* (regioes autonomas, singular - regiao autonoma); Aveiro, Acores (Azores)*, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Madeira*, Portalegre, Porto, Santarem, Setubal, Viana do Castelo, Vila Real, Viseu |
| **Puerto Rico** | none (commonwealth associated with the US); there are no first-order administrative divisions as defined by the US Government, but there are 78 municipalities (municipios, singular - municipio) at the second order; Adjuntas, Aguada, Aguadilla, Aguas Buenas, Aibonito, Anasco, Arecibo, Arroyo, Barceloneta, Barranquitas, Bayamon, Cabo Rojo, Caguas, Camuy, Canovanas, Carolina, Catano, Cayey, Ceiba, Ciales, Cidra, Coamo, Comerio, Corozal, Culebra, Dorado, Fajardo, Florida, Guanica, Guayama, Guayanilla, Guaynabo, Gurabo, Hatillo, Hormigueros, Humacao, Isabela, Jayuya, Juana Diaz, Juncos, Lajas, Lares, Las Marias, Las Piedras, Loiza, Luquillo, Manati, Maricao, Maunabo, Mayaguez, Moca, Morovis, Naguabo, Naranjito, Orocovis, Patillas, Penuelas, Ponce, Quebradillas, Rincon, Rio Grande, Sabana Grande, Salinas, San German, San Juan, San Lorenzo, San Sebastian, Santa Isabel, Toa Alta, Toa Baja, Trujillo Alto, Utuado, Vega Alta, Vega Baja, Vieques, Villalba, Yabucoa, Yauco |
| **Qatar** | 10 municipalities (baladiyat, singular - baladiyah); Ad Dawhah, Al Ghuwayriyah, Al Jumayliyah, Al Khawr, Al Wakrah, Ar Rayyan, Jarayan al Batinah, Madinat ash Shamal, Umm Sa'id, Umm Salal |
| **Reunion** | none (overseas department of France); there are no first-order administrative divisions as defined by the US Government, but there are 4 arrondissements, 24 communes, and 47 cantons |
