Field Listing :: Citizenship :: The World Factbook - Central Intelligence Agency

This entry provides information related to the acquisition and exercise of citizenship; it includes four subfields:
citizenship by birth describes the acquisition of citizenship based on place of birth, known as Jus soli, regardless of the citizenship of parents.
citizenship by descent only describes the acquisition of citizenship based on the principle of Jus sanguinis, or by descent, where at least one parent is a citizen of the state and being born within the territorial limits of the state is not required. The majority of countries adhere to this practice. In some cases, citizenship is conferred through the father or mother exclusively.
dual citizenship recognized indicates whether a state permits a citizen to simultaneously hold citizenship in another state. Many states do not permit dual citizenship and the voluntary acquisition of citizenship in another country is grounds for revocation of citizenship. Holding dual citizenship makes an individual legally obligated to more than one state and can negate the normal consular protections afforded to citizens outside their original country of citizenship.
residency requirement for naturalization lists the length of time an applicant is required to live in a state before applying for naturalization. In most countries citizenship can be acquired through the legal process of naturalization. The requirements for naturalization vary by state but generally include no criminal record, good health, economic wherewithal, and a period of authorized residency in the state. This time period can vary enormously among states and is often used to make the acquisition of citizenship difficult or impossible.

| Country | Citizenship |
| | *citizenship by descent only:* at least one parent must be a citizen of Nigeria |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 15 years |
| **Norfolk Island** | see Australia |
| **North Macedonia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of North Macedonia |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 8 years |
| **Northern Mariana Islands** | see United States |
| **Norway** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Norway |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 7 years |
| **Oman** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Oman |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* unknown |
| **Pakistan** | *citizenship by birth:* yes |
| | *citizenship by descent only:* at least one parent must be a citizen of Pakistan |
| | *dual citizenship recognized:* yes, but limited to select countries |
| | *residency requirement for naturalization:* 4 out of the previous 7 years and including the 12 months preceding application |
| **Palau** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Palau |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* note - no procedure for naturalization |
| **Panama** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Papua New Guinea** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Papua New Guinea |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 8 years |
| **Paraguay** | *citizenship by birth:* yes |
| | *citizenship by descent only:* at least one parent must be a native-born citizen of Paraguay |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 3 years |
| **Peru** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 2 years |
| **Philippines** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of the Philippines |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Pitcairn Islands** | see United Kingdom |
| **Poland** | *citizenship by birth:* no |
| | *citizenship by descent only:* both parents must be citizens of Poland |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Portugal** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Portugal |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 10 years; 6 years if from a Portuguese-speaking country |
| **Puerto Rico** | see United States |
| **Qatar** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Qatar |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 20 years; 15 years if an Arab national |
| **Romania** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Romania |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Russia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Russia |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 3-5 years |
| **Rwanda** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Rwanda; if the father is stateless or unknown, the mother must be a citizen |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Saint Barthelemy** | see France |
| **Saint Helena, Ascension, and Tristan da Cunha** | see United Kingdom |
| **Saint Kitts and Nevis** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 14 years |
| **Saint Lucia** | *citizenship by birth:* yes |
| | *citizenship by descent only:* at least one parent must be a citizen of Saint Lucia |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 8 years |
| **Saint Martin** | see France |
| **Saint Pierre and Miquelon** | see France |
| **Saint Vincent and the Grenadines** | *citizenship by birth:* yes |
| | *citizenship by descent only:* at least one parent must be a citizen of Saint Vincent and the Grenadines |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 7 years |
| **Samoa** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Samoa |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **San Marino** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of San Marino |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 30 years |
| **Sao Tome and Principe** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Sao Tome and Principe |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Saudi Arabia** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Saudi Arabia; a child born out of wedlock in Saudi Arabia to a Saudi mother and unknown father |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Senegal** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Senegal |
| | *dual citizenship recognized:* no, but Senegalese citizens do not automatically lose their citizenship if they acquire citizenship in another state |
| | *residency requirement for naturalization:* 5 years |
| **Serbia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Serbia |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 3 years |
| **Seychelles** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of the Seychelles |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Sierra Leone** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent or grandparent must be a citizen of Sierra Leone |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Singapore** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Singapore |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Sint Maarten** | see the Netherlands |
| **Slovakia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Slovakia |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Slovenia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Slovenia; both parents if the child is born outside of Slovenia |
| | *dual citizenship recognized:* yes, for select cases |
| | *residency requirement for naturalization:* 10 years, the last 5 of which have been continuous |
| **Solomon Islands** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of the Solomon Islands |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 7 years |
| **Somalia** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Somalia |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 7 years |
| **South Africa** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of South Africa |
| | *dual citizenship recognized:* yes, but requires prior permission of the government |
| | *residency requirement for naturalization:* 1 year |
| **South Sudan** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of South Sudan |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 10 years |
| **Spain** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Spain |
| | *dual citizenship recognized:* only with select Latin American countries |
| | *residency requirement for naturalization:* 10 years for persons with no ties to Spain |
| **Sri Lanka** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Sri Lanka |
| | *dual citizenship recognized:* no, except in cases where the government rules it is to the benefit of Sri Lanka |
| | *residency requirement for naturalization:* 7 years |
| **Sudan** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Sudan |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Suriname** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Suriname |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Svalbard** | see Norway |
| **Sweden** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Sweden; in the case of a child born out of wedlock, the mother must be a citizen of Sweden and the father unknown |
| | *dual citizenship recognized:* no, unless the other citizenship was acquired involuntarily |
| | *residency requirement for naturalization:* 5 years |
| **Switzerland** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Switzerland |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 12 years including at least 3 of the last 5 years prior to application |
| **Syria** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Syria; if the father is unknown or stateless, the mother must be a citizen of Syria |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 10 years |
| **Taiwan** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Taiwan |
| | *dual citizenship recognized:* yes, except that citizens of Taiwan are not recognized as dual citizens of the People's Republic of China |
| | *residency requirement for naturalization:* 5 years |
| **Tajikistan** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Tajikistan |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years or 3 years of continuous residence prior to application |
| **Tanzania** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Tanzania; if a child is born abroad, the father must be a citizen of Tanzania |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Thailand** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Thailand |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Timor-Leste** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Timor-Leste |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Togo** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Togo |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Tokelau** | see New Zealand |
| **Tonga** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Tonga; if a child is born out of wedlock, the mother must be a citizen of Tonga |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Trinidad and Tobago** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 8 years |
| **Tunisia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Tunisia |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Turkey** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Turkey |
| | *dual citizenship recognized:* yes, but requires prior permission from the government |
| | *residency requirement for naturalization:* 5 years |
| **Turkmenistan** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Turkmenistan |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 7 years |
| **Turks and Caicos Islands** | see United Kingdom |
| **Tuvalu** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes; for a child born abroad, at least one parent must be a citizen of Tuvalu |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* na |
| **Uganda** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent or grandparent must be a native-born citizen of Uganda |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* an aggregate of 20 years and continuously for the last 2 years prior to applying for citizenship |
| **Ukraine** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Ukraine |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **United Arab Emirates** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of the United Arab Emirates; if the father is unknown, the mother must be a citizen |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 30 years |
| **United Kingdom** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of the United Kingdom |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **United States** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* no, but the US government acknowledges such situtations exist; US citizens are not encouraged to seek dual citizenship since it limits protection by the US |
| | *residency requirement for naturalization:* 5 years |
| **Uruguay** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 3-5 years |
| **Uzbekistan** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Uzbekistan |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Vanuatu** | *citizenship by birth:* no |
| | *citizenship by descent only:* both parents must be citizens of Vanuatu; in the case of only one parent, it must be the father who is a citizen |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Venezuela** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 10 years; reduced to five years in the case of applicants from Spain, Portugal, Italy, or a Latin American or Caribbean country |
| **Vietnam** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Vietnam |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Virgin Islands** | see United States |
| **Wake Island** | see United States |
| **Wallis and Futuna** | see France |
| **Yemen** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Yemen; if the father is unknown, the mother must be a citizen |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Zambia** | *citizenship by birth:* only if at least one parent is a citizen of Zambia |
| | *citizenship by descent only:* yes, if at least one parent was a citizen of Zambia |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years for those with an ancestor who was a citizen of Zambia, otherwise 10 years residency is required |
| **Zimbabwe** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Zimbabwe; in the case of a child born out of wedlock, the mother must be a citizen |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |

