CIA - The World Factbook -- Field Listing - Electricity - production by source

| Country | Electricity - production by source (%) |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Trinidad and Tobago** | *fossil fuel:* 99.8% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0.2% (2001) |
| **Tunisia** | *fossil fuel:* 99.5% |
| | *hydro:* 0.5% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Turkey** | *fossil fuel:* 79.3% |
| | *hydro:* 20.4% |
| | *nuclear:* 0% |
| | *other:* 0.3% (2001) |
| **Turkmenistan** | *fossil fuel:* 99.9% |
| | *hydro:* 0.1% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Turks and Caicos Islands** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Tuvalu** | *fossil fuel:* NA% |
| | *hydro:* NA% |
| | *nuclear:* NA% |
| | *other:* NA% |
| **Uganda** | *fossil fuel:* 0.9% |
| | *hydro:* 99.1% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Ukraine** | *fossil fuel:* 48.6% |
| | *hydro:* 7.9% |
| | *nuclear:* 43.5% |
| | *other:* 0% (2001) |
| **United Arab Emirates** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **United Kingdom** | *fossil fuel:* 73.8% |
| | *hydro:* 0.9% |
| | *nuclear:* 23.7% |
| | *other:* 1.6% (2001) |
| **United States** | *fossil fuel:* 71.4% |
| | *hydro:* 5.6% |
| | *nuclear:* 20.7% |
| | *other:* 2.3% (2001) |
| **Uruguay** | *fossil fuel:* 0.7% |
| | *hydro:* 99.1% |
| | *nuclear:* 0% |
| | *other:* 0.3% (2001) |
| **Uzbekistan** | *fossil fuel:* 88.2% |
| | *hydro:* 11.8% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Vanuatu** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Venezuela** | *fossil fuel:* 31.7% |
| | *hydro:* 68.3% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Vietnam** | *fossil fuel:* 43.7% |
| | *hydro:* 56.3% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Virgin Islands** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Wallis and Futuna** | *fossil fuel:* 0% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% |
| **West Bank** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% |
| **Western Sahara** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **World** | *fossil fuel:* NA% |
| | *hydro:* NA% |
| | *nuclear:* NA% |
| | *other:* NA% |
| **Yemen** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Zambia** | *fossil fuel:* 0.5% |
| | *hydro:* 99.5% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Zimbabwe** | *fossil fuel:* 47% |
| | *hydro:* 53% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |

This page was last updated on 18 December, 2003
 
