CIA -- The World Factbook -- Electricity - production by source

| Country | Electricity - production by source |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Tonga** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Trinidad and Tobago** | *fossil fuel:*  99.59% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0.41% (1999) |
| **Tunisia** | *fossil fuel:*  99.2% |
| | *hydro:*  0.8% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Turkey** | *fossil fuel:*  71% |
| | *hydro:*  29% |
| | *nuclear:*  0% |
| | *other:*  0% (2000 est.) |
| **Turkmenistan** | *fossil fuel:*  99.94% |
| | *hydro:*  0.06% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Turks and Caicos Islands** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Tuvalu** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Uganda** | *fossil fuel:*  0.98% |
| | *hydro:*  99.02% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Ukraine** | *fossil fuel:*  47.67% |
| | *hydro:*  9.65% |
| | *nuclear:*  42.67% |
| | *other:*  0.01% (1999) |
| **United Arab Emirates** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **United Kingdom** | *fossil fuel:*  69.38% |
| | *hydro:*  1.55% |
| | *nuclear:*  26.68% |
| | *other:*  2.39% (1999) |
| **United States** | *fossil fuel:*  69.64% |
| | *hydro:*  8.31% |
| | *nuclear:*  19.8% |
| | *other:*  2.25% (1999) |
| **Uruguay** | *fossil fuel:*  3.86% |
| | *hydro:*  95.44% |
| | *nuclear:*  0% |
| | *other:*  0.7% (1999) |
| **Uzbekistan** | *fossil fuel:*  86.4% |
| | *hydro:*  13.6% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Vanuatu** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Venezuela** | *fossil fuel:*  32.16% |
| | *hydro:*  67.84% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Vietnam** | *fossil fuel:*  47.71% |
| | *hydro:*  52.29% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Virgin Islands** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Wallis and Futuna** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **West Bank** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Western Sahara** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **World** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Yemen** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Yugoslavia** | *fossil fuel:*  70% |
| | *hydro:*  30% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Zambia** | *fossil fuel:*  0.55% |
| | *hydro:*  99.45% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Zimbabwe** | *fossil fuel:*  69.98% |
| | *hydro:*  30.02% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Taiwan** | *fossil fuel:*  67.26% |
| | *hydro:*  6.32% |
| | *nuclear:*  26.42% |
| | *other:*  0% (1999) |


