CIA - The World Factbook 2000 -- Electricity - production by source

| Country | Electricity - production by source |
| **Tajikistan** | *fossil fuel:* 1.51% |
| | *hydro:* 98.49% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Tanzania** | *fossil fuel:* 29.41% |
| | *hydro:* 70.59% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Thailand** | *fossil fuel:* 91.44% |
| | *hydro:* 8.56% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Togo** | *fossil fuel:* 93.33% |
| | *hydro:* 6.67% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Tokelau** | *fossil fuel:* NA% |
| | *hydro:* NA% |
| | *nuclear:* NA% |
| | *other:* NA% |
| **Tonga** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Trinidad and Tobago** | *fossil fuel:* 99.27% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0.73% (1998) |
| **Tunisia** | *fossil fuel:* 99.5% |
| | *hydro:* 0.5% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Turkey** | *fossil fuel:* 69.4% |
| | *hydro:* 30.5% |
| | *nuclear:* 0% |
| | *other:* 0.1% (1999 est.) |
| **Turkmenistan** | *fossil fuel:* 99.94% |
| | *hydro:* 0.06% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Turks and Caicos Islands** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Tuvalu** | *fossil fuel:* NA% |
| | *hydro:* NA% |
| | *nuclear:* NA% |
| | *other:* NA% |
| **Uganda** | *fossil fuel:* 0.88% |
| | *hydro:* 99.12% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Ukraine** | *fossil fuel:* 52% |
| | *hydro:* 5.9% |
| | *nuclear:* 42.1% |
| | *other:* 0% (1999) |
| **United Arab Emirates** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **United Kingdom** | *fossil fuel:* 68.24% |
| | *hydro:* 1.49% |
| | *nuclear:* 28.48% |
| | *other:* 1.79% (1998) |
| **United States** | *fossil fuel:* 70.34% |
| | *hydro:* 8.96% |
| | *nuclear:* 18.61% |
| | *other:* 2.09% (1998) |
| **Uruguay** | *fossil fuel:* 3.91% |
| | *hydro:* 95.62% |
| | *nuclear:* 0% |
| | *other:* 0.47% (1998) |
| **Uzbekistan** | *fossil fuel:* 85.2% |
| | *hydro:* 14.8% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Vanuatu** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Venezuela** | *fossil fuel:* 25.46% |
| | *hydro:* 74.54% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Vietnam** | *fossil fuel:* 12.95% |
| | *hydro:* 87.05% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Virgin Islands** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Wallis and Futuna** | *fossil fuel:* NA% |
| | *hydro:* NA% |
| | *nuclear:* NA% |
| | *other:* NA% |
| **West Bank** | *fossil fuel:* NA% |
| | *hydro:* NA% |
| | *nuclear:* NA% |
| | *other:* NA% |
| **Western Sahara** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **World** | *fossil fuel:* NA% |
| | *hydro:* NA% |
| | *nuclear:* NA% |
| | *other:* NA% |
| **Yemen** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Zambia** | *fossil fuel:* 0.49% |
| | *hydro:* 99.51% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Zimbabwe** | *fossil fuel:* 78.19% |
| | *hydro:* 21.81% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Taiwan** | *fossil fuel:* 65.91% |
| | *hydro:* 7.84% |
| | *nuclear:* 26.25% |
| | *other:* 0% (1998) |



