CIA - The World Factbook -- Field Listing - Political pressure groups and leaders

| Country | Political pressure groups and leaders |
| **Sri Lanka** | Buddhist clergy; labor unions; Liberation Tigers of Tamil Eelam or LTTE [Velupillai PRABHAKARAN](insurgent group fighting for a separate state); radical chauvinist Sinhalese groups such as the National Movement Against Terrorism; Sinhalese Buddhist lay groups; Tamil Eela Makkal Viduthalai Pulikal, TMVP or "Karuna group" [Vinayagamurthi MURALITHARAN] (paramilitary breakaway from LTTE and fighting against LTTE) |
| **Sudan** | Umma Party [Sadiq al-MAHDI]; Popular Congress Party or PCP [Hassan al-TURABI] |
| **Suriname** | Association of Indigenous Village Chiefs [Ricardo PANE]; Association of Saramaccan Authorities or Maroon [Head Captain WASE]; Women's Parliament Forum or PVF [Iris GILLIAD] |
| **Swaziland** | NA |
| **Sweden** | NA |
| **Switzerland** | NA |
| **Syria** | *Damascus Declaration [Riyad SEIF, secretary general] (a broad alliance of opposition groups including:* Committee for Revival of Civil Society [Michel KILO, Riyad SEIF]; Kurdish Democratic Alliance; Kurdish Democratic Front; National Democratic Front; Syrian Human Rights Society or HRAS [Fawed FAWUZ]); National Salvation Front (alliance between former Vice President Abd al-Halim KHADDAM, the SMB, and other small opposition groups); Syrian Muslim Brotherhood or SMB [Sadr al-Din al-BAYANUNI]; (operates in exile in London; endorsed the Damascus Declaration but is not an official member) |
| **Taiwan** | Taiwan independence movement, various business and environmental groups |
| | *note:* debate on Taiwan independence has become acceptable within the mainstream of domestic politics on Taiwan; political liberalization and the increased representation of opposition parties in Taiwan's legislature have opened public debate on the island's national identity; a broad popular consensus has developed that the island currently enjoys sovereign independence and - whatever the ultimate outcome regarding reunification or independence - that Taiwan's people must have the deciding voice; public opinion polls consistently show a substantial majority of Taiwan people supports maintaining Taiwan's status quo for the foreseeable future; advocates of Taiwan independence oppose the stand that the island will eventually unify with mainland China; goals of the Taiwan independence movement include establishing a sovereign nation on Taiwan and entering the UN; other organizations supporting Taiwan independence include the World United Formosans for Independence and the Organization for Taiwan Nation Building |
| **Tajikistan** | *unregistered political parties:* Agrarian Party [Hikmatullo NASREDDINOV]; Party of Justice [Abdurahim KARIMOV]; People's Unity Party [Abdumalik ABDULLOJONOV]; Progressive Party [Sulton QUVVATOV]; Socialist Party or SPT [Mirhuseyn NAZRIYEV]; note - this is a SPT that was disbanded, another pro-government SPT (listed above under political parties) replaced it; Unity Party [Hikmatullo SAIDOV] |
| **Tanzania** | NA |
| **Thailand** | NA |
| **Togo** | NA |
| **Tokelau** | none |
| **Tonga** | Human Rights and Democracy Movement Tonga or HRDMT [Rev. Simote VEA, chairman]; Public Servant's Association [Finau TUTONE] |
| **Trinidad and Tobago** | Jamaat-al Muslimeen [Yasin BAKR] |
| **Tunisia** | 18 October Group [collective leadership]; Democratic Forum for Labor and Liberties or FDTL [Mustapha Ben JAFAAR]; Tunisian League for Human Rights or LTDH [Mokhtar TRIFI]; note - the Islamic fundamentalist party, Al Nahda (Renaissance), is outlawed |
| **Turkey** | Confederation of Public Sector Unions or KESK [Ismail Hakki TOMBUL]; Confederation of Revolutionary Workers Unions or DISK [Suleyman CELEBI]; Independent Industrialists' and Businessmen's Association or MUSIAD [Omer BOLAT]; Moral Rights Workers Union or Hak-Is [Salim USLU]; Turkish Confederation of Employers' Unions or TISK [Tugurl KUDATGOBILIK]; Turkish Confederation of Labor or Turk-Is [Salih KILIC]; Turkish Confederation of Tradesmen and Craftsmen or TESK [Dervis GUNDAY]; Turkish Industrialists' and Businessmen's Association or TUSIAD [Omer SABANCI]; Turkish Union of Chambers of Commerce and Commodity Exchanges or TOBB [M. Rifat HISARCIKLIOGLU] |
| **Turkmenistan** | NA |
| **Turks and Caicos Islands** | NA |
| **Tuvalu** | none |
| **Uganda** | Popular Resistance Against a Life President or PRALP |
| **Ukraine** | Committee of Voters of Ukraine [Ihor POPOV]; Peoples' Self-Defense [Yuriy LUTSENKO]; Ne Tak [Leonid KRAVCHUK] |
| **United Arab Emirates** | NA |
| **United Kingdom** | Campaign for Nuclear Disarmament; Confederation of British Industry; National Farmers' Union; Trades Union Congress |
| **United States** | NA |
| **Uruguay** | Architect's Society of Uruguay (professional organization); Catholic Church; Chamber of Uruguayan Industries (manufacturer's association); Chemist and Pharmaceutical Association (professional organization); PIT-CNT (powerful federation of Uruguayan unions); Rural Association of Uruguay (rancher's association); students; Uruguayan Construction League |
| **Uzbekistan** | Agrarian and Entrepreneurs' Party [Marat ZAHIDOV]; Birlik (Unity) Movement [Abdurakhim POLAT, chairman]; Committee for the Protection of Human Rights [Marat ZAHIDOV]; Erk (Freedom) Democratic Party [Muhammad SOLIH, chairman] was banned 9 December 1992; Ezgulik Human Rights Society [Vasila INOYATOVA]; Free Farmers' Party or Ozod Dehqonlar [Nigora KHIDOYATOVA]; Human Rights Society of Uzbekistan [Talib YAKUBOV, chairman]; Independent Human Rights Organization of Uzbekistan [Mikhail ARDZINOV, chairman]; Mazlum; Sunshine Coalition [Sanjar UMAROV, chairman] |
| **Vanuatu** | NA |
| **Venezuela** | FEDECAMARAS, a conservative business group; VECINOS groups; Venezuelan Confederation of Workers or CTV (labor organization dominated by the Democratic Action) |
| **Vietnam** | groups advocate democracy but are not recognized by government - 8406 Bloc; Democratic Party of Vietnam or DPV; People's Democratic Party Vietnam or PDP-VN; Alliance for Democracy (2006) |
| **Virgin Islands** | NA |
| **Wallis and Futuna** | NA |
| **Western Sahara** | none |
| **Yemen** | NA |
| **Zambia** | NA |
| **Zimbabwe** | Crisis in Zimbabwe Coalition [Arnold TSUNGA]; National Constitutional Assembly or NCA [Lovemore MADHUKU]; Zimbabwe Congress of Trade Unions or ZCTU [Wellington CHIBEBE] |

This page was last updated on 13 December, 2007
 
