CIA - The World Factbook --  Radio broadcast stations   

This entry includes the total number of AM, FM, and shortwave broadcast stations.

| Rank | country | Radio broadcast stations | Date of Information |
| 598 | West Bank | 0.00 | 2008 |
| 599 | West Bank | 0.00 | 2008 |
| 600 | Virgin Islands | 0.00 | 2005 |
| 601 | British Virgin Islands | 0.00 | 2004 |
| 602 | Saint Vincent and the Grenadines | 0.00 | 2004 |
| 603 | Tuvalu | 0.00 | 2004 |
| 604 | Turks and Caicos Islands | 0.00 | 2003 |
| 605 | Trinidad and Tobago | 0.00 | 2001 |
| 606 | South Georgia and South Sandwich Islands | 0.00 | 2003 |
| 607 | Sweden | 0.00 | 2008 |
| 608 | Svalbard | 0.00 | 1998 |
| 609 | Saint Lucia | 0.00 | 2003 |
| 610 | Somalia | 0.00 | 2001 |
| 611 | Singapore | 0.00 | 2008 |
| 612 | San Marino | 0.00 | 2008 |
| 613 | San Marino | 0.00 | 2008 |
| 614 | Slovenia | 0.00 | 2006 |
| 615 | Saint Helena | 0.00 | 2005 |
| 616 | Saint Kitts and Nevis | 0.00 | 2003 |
| 617 | Saint Pierre and Miquelon | 0.00 | 1998 |
| 618 | Rwanda | 0.00 | 2007 |
| 619 | Puerto Rico | 0.00 | 2008 |
| 620 | Saint Martin | 0.00 | 2007 |
| 621 | Saint Martin | 0.00 | 2007 |
| 622 | Marshall Islands | 0.00 | 2005 |
| 623 | Guinea-Bissau | 0.00 | 2001 |
| 624 | Panama | 0.00 | 1998 |
| 625 | Pitcairn Islands | 0.00 | 2004 |
| 626 | Pitcairn Islands | 0.00 | 2004 |
| 627 | Netherlands Antilles | 0.00 | 2003 |
| 628 | Falkland Islands (Islas Malvinas) | 0.00 | 2006 |
| 629 | Fiji | 0.00 | 1998 |
| 630 | Ethiopia | 0.00 | 2001 |
| 631 | El Salvador | 0.00 | 2005 |
| 632 | Estonia | 0.00 | 2007 |
| 633 | Estonia | 0.00 | 2007 |
| 634 | Equatorial Guinea | 0.00 | 2001 |
| 635 | Ireland | 0.00 | 1998 |
| 636 | Cape Verde | 0.00 | 2001 |
| 637 | Nauru | 0.00 | 1998 |
| 638 | Nauru | 0.00 | 1998 |
| 639 | Norfolk Island | 0.00 | 2005 |
| 640 | Niue | 0.00 | 1998 |
| 641 | New Caledonia | 0.00 | 1998 |
| 642 | Mauritius | 0.00 | 2001 |
| 643 | Macedonia | 0.00 | 2008 |
| 644 | Montserrat | 0.00 | 1998 |
| 645 | Mayotte | 0.00 | 2001 |
| 646 | Macau | 0.00 | 2008 |
| 647 | Liechtenstein | 0.00 | 1998 |
| 648 | Liechtenstein | 0.00 | 1998 |
| 649 | Jamaica | 0.00 | 1998 |
| 650 | Jersey | 0.00 | 2008 |
| 651 | British Indian Ocean Territory | 0.00 | 1998 |
| 652 | Isle of Man | 0.00 | 1998 |
| 653 | Hong Kong | 0.00 | 2008 |
| 654 | Haiti | 0.00 | 1999 |
| 655 | Gaza Strip | 0.00 | 2008 |
| 656 | Gaza Strip | 0.00 | 2008 |
| 657 | Guinea | 0.00 | 2006 |
| 658 | Liberia | 0.00 | 2007 |
| 659 | Christmas Island | 0.00 | 2006 |
| 660 | Greenland | 0.00 | 2008 |
| 661 | Guernsey | 0.00 | 1998 |
| 662 | Grenada | 0.00 | 1998 |
| 663 | Gibraltar | 0.00 | 1998 |
| 664 | Ghana | 0.00 | 2007 |
| 665 | Gambia, The | 0.00 | 2001 |
| 666 | Faroe Islands | 0.00 | 1998 |
| 667 | Micronesia, Federated States of | 0.00 | 2004 |
| 668 | Cape Verde | 0.00 | 2001 |
| 669 | Cocos (Keeling) Islands | 0.00 | 2004 |
| 670 | Cayman Islands | 0.00 | 2004 |
| 671 | Burundi | 0.00 | 2001 |
| 672 | Brunei | 0.00 | 2006 |
| 673 | Bhutan | 0.00 | 2007 |
| 674 | Belize | 0.00 | 2006 |
| 675 | Bahamas, The | 0.00 | 2006 |
| 676 | Dominica | 0.00 | 2003 |
| 677 | Djibouti | 0.00 | 2001 |
| 678 | Denmark | 0.00 | 1998 |
| 679 | Cyprus | 0.00 | 2004 |
| 680 | Cook Islands | 0.00 | 2004 |
| 681 | Bermuda | 0.00 | 2005 |
| 682 | Bahrain | 0.00 | 1998 |
| 683 | Anguilla | 0.00 | 2004 |
| 684 | Andorra | 0.00 | 2007 |
| 685 | American Samoa | 0.00 | 2005 |
| 686 | Andorra | 0.00 | 2007 |
| 687 | Antigua and Barbuda | 0.00 | 1998 |
