Field Listing :: Refugees and internally displaced persons :: The World Factbook - Central Intelligence Agency

This entry includes those persons residing in a country as refugees, internally displaced persons (IDPs), or stateless persons. Each country's refugee entry includes only countries of origin that are the source of refugee populations of 5,000 or more. The definition of a refugee according to a UN Convention is "a person who is outside his/her country of nationality or habitual residence; has a well-founded fear of persecution because of his/her race, religion, nationality, membership in a particular social group or political opinion; and is unable or unwilling to avail himself/herself of the protection of that country, or to return there, for fear of persecution." The UN established the Office of the UN High Commissioner for Refugees (UNHCR) in 1950 to handle refugee matters worldwide. The UN Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) has a different operational definition for a Palestinian refugee: "a person whose normal place of residence was Palestine during the period 1 June 1946 to 15 May 1948 and who lost both home and means of livelihood as a result of the 1948 conflict." However, UNHCR also assists some 400,000 Palestinian refugees not covered under the UNRWA definition. The term "internally displaced person" is not specifically covered in the UN Convention; it is used to describe people who have fled their homes for reasons similar to refugees, but who remain within their own national territory and are subject to the laws of that state. A stateless person is defined as someone who is not considered a national by any state under the operation of its law, according to UN convention.

| Country | Refugees and internally displaced persons |
| | *stateless persons:* 82,148 (2017); note - Russia's stateless population consists of Roma, Meskhetian Turks, and ex-Soviet citizens from the former republics; between 2003 and 2010 more than 600,000 stateless people were naturalized; most Meskhetian Turks, followers of Islam with origins in Georgia, fled or were evacuated from Uzbekistan after a 1989 pogrom and have lived in Russia for more than the required five-year residency period; they continue to be denied registration for citizenship and basic rights by local Krasnodar Krai authorities on the grounds that they are temporary illegal migrants |
| **Rwanda** | *refugees (country of origin):* 80,755 (Democratic Republic of the Congo), 69,089 (Burundi) (2018) |
| **Saudi Arabia** | *refugees (country of origin):* 30,000 (Yemen) (2017) |
| | *stateless persons:* 70,000 (2017); note - thousands of biduns (stateless Arabs) are descendants of nomadic tribes who were not officially registered when national borders were established, while others migrated to Saudi Arabia in search of jobs; some have temporary identification cards that must be renewed every five years, but their rights remain restricted; most Palestinians have only legal resident status; some naturalized Yemenis were made stateless after being stripped of their passports when Yemen backed Iraq in its invasion of Kuwait in 1990; Saudi women cannot pass their citizenship on to their children, so if they marry a non-national, their children risk statelessness |
| **Senegal** | *refugees (country of origin):* 13,779 (Mauritania) (2018) |
| | *IDPs:* 22,000 (clashes between government troops and separatists in Casamance region) (2017) |
| **Serbia** | *refugees (country of origin):* 19,038 (Croatia), 8,764 (Bosnia and Herzegovina) (2017) |
| | *IDPs:* 199,584 (most are Kosovar Serbs, some are Roma, Ashkalis, and Egyptian (RAE); some RAE IDPs are unregistered) (2018) |
| | *stateless persons:* 2,155 (includes stateless persons in Kosovo) (2017) |
| | *note:* 691,901 estimated refugee and migrant arrivals (January 2015-November 2018); Serbia is predominantly a transit country and hosts an estimated 3,975 migrants and asylum seekers as of the end of June 2018 |
| **Slovakia** | *stateless persons:* 1,523 (2017) |
| **Slovenia** | *note:* estimated refugee and migrant arrivals (January 2015-December 2016); migration through the Western Balkans has decreased significantly since March 2016; Slovenia is predominantly a transit country and hosts approximately 300 asylum seekers as of the end of June 2018 |
| **Somalia** | *refugees (country of origin):* 19,615 (Ethiopia) (refugees and asylum seekers), 12,125 (Yemen) (refugees and asylum seekers) (2018) |
| | *IDPs:* 2.1 million (civil war since 1988, clan-based competition for resources; 2011 famine; insecurity because of fighting between al-Shabaab and the Transitional Federal Government's allied forces) (2018) |
| **South Africa** | *refugees (country of origin):* 26,977 (Somalia), 17,562 (Ethiopia), 5,261 (Republic of the Congo) (2017), 59,480 (Democratic Republic of the Congo) (refugees and asylum seekers) (2018) |
| **South Sudan** | *refugees (country of origin):* 277,183 (Sudan) (refugees and asylum seekers), 15,432 (Democratic Republic of the Congo) (refugees and asylum seekers) (2018) |
| | *IDPs:* 1.76 million (alleged coup attempt and ethnic conflict beginning in December 2013; information is lacking on those displaced in earlier years by: fighting in Abyei between the Sudanese Armed Forces and the Sudan People's Liberation Army (SPLA) in May 2011; clashes between the SPLA and dissident militia groups in South Sudan; inter-ethnic conflicts over resources and cattle; attacks from the Lord's Resistance Army; floods and drought) (2018) |
| **Spain** | *refugees (country of origin):* 11,752 (Syria) (2017), 29,603 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay), 9,260 (Ukraine) (2018) note - estimate represents asylum applicants since the beginning of the Ukraine crisis in 2014 to September 2017 |
| | *stateless persons:* 1,596 (2017) |
| | *note:* 123,310 estimated refugee and migrant arrivals (January 2015-December 2018); 28,707 migrant arrivals in 2017 |
| **Sri Lanka** | *IDPs:* 42,000 (civil war; more than half displaced prior to 2008; many of the more than 480,000 IDPs registered as returnees have not reached durable solutions) (2017) |
| **Sudan** | *refugees (country of origin):* 103,176 (Eritrea), 8,502 (Chad), 6,997 (Syria) (2016), 833,500 (South Sudan) (refugees and asylum seekers) (2018) |
| | *IDPs:* 2.072 million (civil war 1983-2005; ongoing conflict in Darfur region; government and rebel fighting along South Sudan border; inter-tribal clashes) (2017) |
| **Sweden** | *refugees (country of origin):* 103,614 (Syria), 27,153 (Eritrea), 25,645 (Afghanistan), 21,973 (Somalia),Â 15,524 (Iraq) (2017) |
| | *stateless persons:* 35,101 (2017); note - the majority of stateless people are from the Middle East and Somalia |
| **Switzerland** | *refugees (country of origin):* 30,935 (Eritrea), 13,639 (Syria), 8,151 (Afghanistan), 5,581 (Sri Lanka) (2017) |
| | *stateless persons:* 62 (2017) |
| **Syria** | *refugees (country of origin):* 438,000 (Palestinian Refugees), 16,325 (Iraq) (2017) |
| | *IDPs:* 6.2 million (ongoing civil war since 2011) (2018) |
| | *stateless persons:* 160,000 (2017); note - Syria's stateless population consists of Kurds and Palestinians; stateless persons are prevented from voting, owning land, holding certain jobs, receiving food subsidies or public healthcare, enrolling in public schools, or being legally married to Syrian citizens; in 1962, some 120,000 Syrian Kurds were stripped of their Syrian citizenship, rendering them and their descendants stateless; in 2011, the Syrian Government granted citizenship to thousands of Syrian Kurds as a means of appeasement; however, resolving the question of statelessness is not a priority given Syria's ongoing civil war |
| | *note:* the ongoing civil war has resulted in over 5.7 million registered Syrian refugees - dispersed in Egypt, Iraq, Jordan, Lebanon, and Turkey - as of December 2018 |
| **Tajikistan** | *stateless persons:* 10,500 (2017) |
| **Tanzania** | *refugees (country of origin):* 211,446 (Burundi), 84,255 (Democratic Republic of the Congo) (2018) |
| **Thailand** | *refugees (country of origin):* 99,982 (Burma) (2017) |
| | *IDPs:* 41,000 (resurgence in ethno-nationalist violence in south of country since 2004) (2017) |
| | *stateless persons:* 486,440 (2017) (estimate represents stateless persons registered with the Thai Government; actual number may be as high as 3.5 million); note - about half of Thailand's northern hill tribe people do not have citizenship and make up the bulk of Thailand's stateless population; most lack documentation showing they or one of their parents were born in Thailand; children born to Burmese refugees are not eligible for Burmese or Thai citizenship and are stateless; most Chao Lay, maritime nomadic peoples, who travel from island to island in the Andaman Sea west of Thailand are also stateless; stateless Rohingya refugees from Burma are considered illegal migrants by Thai authorities and are detained in inhumane conditions or expelled; stateless persons are denied access to voting, property, education, employment, healthcare, and driving |
| | *note:* Thai nationality was granted to more than 23,000 stateless persons between 2012 and 2016; in 2016, the Government of Thailand approved changes to its citizenship laws that could make 80,000 stateless persons eligible for citizenship, as part of its effort to achieve zero statelessness by 2024 (2018) |
| **Togo** | *refugees (country of origin):* 9,727 (Ghana) (2018) |
| **Trinidad and Tobago** | *refugees (country of origin):* 5,760 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2018) |
| **Turkey** | *refugees (country of origin):* 3,622,366 (Syria), 170,000 (Afghanistan), 142,000 (Iraq), 39,000 (Iran), 5,700 (Somalia) (2018) |
| | *IDPs:* 1.113 million (displaced from 1984-2005 because of fighting between the Kurdish PKK and Turkish military; most IDPs are Kurds from eastern and southeastern provinces; no information available on persons displaced by development projects) (2017) |
| | *stateless persons:* 117 (2017) |
| **Turkmenistan** | *stateless persons:* 3,851 (2017) |
| **Uganda** | *refugees (country of origin):* 785,114 (South Sudan) (refugees and asylum seekers), 299,850 (Democratic Republic of the Congo) (refugees and asylum seekers), 33,657 (Burundi) (refugee and asylum seekers), 22,064 (Somalia) (refugees and asylum seekers), 14,313 (Rwanda) (refugees and asylum seekers), 8,854 (Eritrea) (2018) |
| | *IDPs:* 24,000 (displaced in northern Uganda because of fighting between government forces and the Lord's Resistance Army; as of 2011, most of the 1.8 million people displaced to IDP camps at the height of the conflict had returned home or resettled, but many had not found durable solutions; intercommunal violence and cattle raids) (2017) |
| **Ukraine** | *IDPs:* 1.5 millionÂ (Russian-sponsored separatist violence in Crimea and eastern Ukraine) (2018) |
| | *stateless persons:* 35,294 (2017); note - citizens of the former USSR who were permanently resident in Ukraine were granted citizenship upon Ukraine's independence in 1991, but some missed this window of opportunity; people arriving after 1991, Crimean Tatars, ethnic Koreans, people with expired Soviet passports, and people with no documents have difficulty acquiring Ukrainian citizenship; following the fall of the Soviet Union in 1989, thousands of Crimean Tatars and their descendants deported from Ukraine under the STALIN regime returned to their homeland, some being stateless and others holding the citizenship of Uzbekistan or other former Soviet republics; a 1998 bilateral agreement between Ukraine and Uzbekistan simplified the process of renouncing Uzbek citizenship and obtaining Ukrainian citizenship |
| **United Kingdom** | *refugees (country of origin):* 16,085 (Iran), 13,590 (Eritrea), 9,858 (Afghanistan), 9,100 (Syria), 8,132 (Sudan),Â 8,236 (Zimbabwe), 7,207 (Pakistan), 5,804 (Sri Lanka) (2017) |
| | *stateless persons:* 97 (2017) |
| **United States** | refugees (country of origin): the US admitted 22,491 refugees during FY2018 including: 7,878 (Democratic Republic of the Congo), 3,444 (Burma), 2,635 (Ukraine), 2,228 (Bangladesh), 1,269 (Eritrea) |
| | *note:* 72,722 Venezuelans have claimed asylum since 2014 because of the economic and political crisis (2018) |
| **Uruguay** | *refugees (country of origin):* 9,186 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2018) |
| **Uzbekistan** | *stateless persons:* 85,555 (2017) |
| **Venezuela** | *refugees (country of origin):* 122,677 (Colombia) (2017) |
| **Vietnam** | *stateless persons:* 29,522 (2017); note - Vietnam's stateless ethnic Chinese Cambodian population dates to the 1970s when thousands of Cambodians fled to Vietnam to escape the Khmer Rouge and were no longer recognized as Cambodian citizens; Vietnamese women who gave up their citizenship to marry foreign men have found themselves stateless after divorcing and returning home to Vietnam; the government addressed this problem in 2009, and Vietnamese women are beginning to reclaim their citizenship |
| **West Bank** | *refugees (country of origin):* 809,738 (Palestinian refugees) (2017) |
| | *IDPs:* 131,000 (includes persons displaced within the Gaza strip due to the intensification of the Israeli-Palestinian conflict since June 2014 and other Palestinian IDPs in the Gaza Strip and West Bank who fled as long ago as 1967, although confirmed cumulative data do not go back beyond 2006) (2017) |
| **World** | the UN High Commissioner for Refugees (UNHCR) estimated that as of the end of 2017 there were 68.5 million people forcibly displaced worldwide, the highest level ever recorded; this includes 25.4 million refugees, 3.1 million asylum seekers, and 40 million conflict IDPs; the UNHCR estimates there are currently at least 10 million stateless persons |
| **Yemen** | *refugees (country of origin):* 256,363 (Somalia), 13,107 (Ethiopia) (2018) |
| | *IDPs:* 2,331,264 (conflict in Sa'ada Governorate; clashes between al-Qa'ida in the Arabian Peninsula and government forces) (2018) |
| **Zambia** | *refugees (country of origin):* 42,308 (Democratic Republic of the Congo) (refugees and asylum seekers), 5,000 (Burundi) (refugees and asylum seekers) (2018) |
| **Zimbabwe** | *refugees (country of origin):* 9,997 (Democratic Republic of Congo) (refugees and asylum seekers), Mozambique 8,312 (refugees and asylum seekers) (2018) |
| | *IDPs:* undetermined (political violence, violence in association with the 2008 election, human rights violations, land reform, and economic collapse) (2015) |
| | *stateless persons:* 300,000 (2016) |

