Field Listing :: Refugees and internally displaced persons :: The World Factbook - Central Intelligence Agency

This entry includes those persons residing in a country as refugees, internally displaced persons (IDPs), or stateless persons. Each country's refugee entry includes only countries of origin that are the source of refugee populations of 5,000 or more. The definition of a refugee according to a UN Convention is "a person who is outside his/her country of nationality or habitual residence; has a well-founded fear of persecution because of his/her race, religion, nationality, membership in a particular social group or political opinion; and is unable or unwilling to avail himself/herself of the protection of that country, or to return there, for fear of persecution." The UN established the Office of the UN High Commissioner for Refugees (UNHCR) in 1950 to handle refugee matters worldwide. The UN Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) has a different operational definition for a Palestinian refugee: "a person whose normal place of residence was Palestine during the period 1 June 1946 to 15 May 1948 and who lost both home and means of livelihood as a result of the 1948 conflict." However, UNHCR also assists some 400,000 Palestinian refugees not covered under the UNRWA definition. The term "internally displaced person" is not specifically covered in the UN Convention; it is used to describe people who have fled their homes for reasons similar to refugees, but who remain within their own national territory and are subject to the laws of that state. A stateless person is defined as someone who is not considered a national by any state under the operation of its law, according to UN convention.

| Country | Refugees and internally displaced persons |
| | *stateless persons:* 70,000 (2018); note - thousands of biduns (stateless Arabs) are descendants of nomadic tribes who were not officially registered when national borders were established, while others migrated to Saudi Arabia in search of jobs; some have temporary identification cards that must be renewed every five years, but their rights remain restricted; most Palestinians have only legal resident status; some naturalized Yemenis were made stateless after being stripped of their passports when Yemen backed Iraq in its invasion of Kuwait in 1990; Saudi women cannot pass their citizenship on to their children, so if they marry a non-national, their children risk statelessness |
| **Senegal** | *refugees (country of origin):* 14,155 (Mauritania) (2019) |
| | *IDPs:* 18,000 (clashes between government troops and separatists in Casamance region) (2017) |
| **Serbia** | *refugees (country of origin):* 18,232 (Croatia), 8,270 (Bosnia and Herzegovina) (2018) |
| | *IDPs:* 199,584 (most are Kosovar Serbs, some are Roma, Ashkalis, and Egyptian (RAE); some RAE IDPs are unregistered) (2019) |
| | *stateless persons:* 2,052 (includes stateless persons in Kosovo) (2018) |
| | *note:* 709,495 estimated refugee and migrant arrivals (January 2015-December 2019); Serbia is predominantly a transit country and hosts an estimatedÂ 3,404 migrants and asylum seekers as of the end of September 2019; 8,827 migrant arrivals in 2018 |
| **Singapore** | *stateless persons:* 1,303 (2018) |
| **Slovakia** | *stateless persons:* 1,523 (2018) |
| **Slovenia** | *note:*Â  501,708 estimated refugee and migrant arrivals (January 2015-November 2019); migration through the Western Balkans has decreased significantly since March 2016; Slovenia is predominantly a transit country and hosts approximately 300 asylum seekers as of the end of June 2018 |
| **Somalia** | *refugees (country of origin):* 21,295 (Ethiopia) (refugees and asylum seekers), 13,153 (Yemen) (refugees and asylum seekers) (2019) |
| | *IDPs:* 2.65 million (civil war since 1988, clan-based competition for resources; 2011 famine; insecurity because of fighting between al-Shabaab and the Transitional Federal Government's allied forces) (2019) |
| **South Africa** | *refugees (country of origin):* 59,480 (Democratic Republic of the Congo) (refugees and asylum seekers), 27,113 (Somalia), 17,726 (Ethiopia), 5,273 (Republic of the Congo) (2018), |
| **South Sudan** | *refugees (country of origin):* 274,916 (Sudan) (refugees and asylum seekers), 16,323 (Democratic Republic of the Congo) (refugees and asylum seekers) (2019) |
| | *IDPs:* 1.47 million (alleged coup attempt and ethnic conflict beginning in December 2013; information is lacking on those displaced in earlier years by: fighting in Abyei between the Sudanese Armed Forces and the Sudan People's Liberation Army (SPLA) in May 2011; clashes between the SPLA and dissident militia groups in South Sudan; inter-ethnic conflicts over resources and cattle; attacks from the Lord's Resistance Army; floods and drought) (2019) |
| **Spain** | *refugees (country of origin):* 13,765 (Syria), 10,555 (Ukraine) (2018) note - estimate represents asylum applicants since the beginning of the Ukraine crisis in 2014 to November 2018;Â 58,597 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay), 6,873 (Morocco) (2019) |
| | *stateless persons:* 2,455 (2018) |
| | *note:* 155,841 estimated refugee and migrant arrivals (January 2015-December 2019); 65,325 migrant arrivals in 2018 |
| **Sri Lanka** | *IDPs:* 37,000 (civil war; more than half displaced prior to 2008; many of the more than 480,000 IDPs registered as returnees have not reached durable solutions) (2018) |
| **Sudan** | *refugees (country of origin):* 811,452 (South Sudan) (refugees and asylum seekers), 121,156 (Eritrea) (refugees and asylum seekers), 93,502 (Syria) (refugees and asylum seekers), 14,272Â (Ethiopia) (refugees and asylum seekers),Â 9,289 (Central African Republic) (2019) |
| | *IDPs:* 2.072 million (civil war 1983-2005; ongoing conflict in Darfur region; government and rebel fighting along South Sudan border; inter-tribal clashes) (2018) |
| **Sweden** | *refugees (country of origin):* 109,343 (Syria), 27,653 (Eritrea), 28,204 (Afghanistan), 21,032 (Somalia),Â 12,693 (Iraq), 6,485 (Iran) (2018) |
| | *stateless persons:* 31,819 (2018); note - the majority of stateless people are from the Middle East and Somalia |
| **Switzerland** | *refugees (country of origin):* 34,072Â (Eritrea), 16,565 (Syria),Â 12,282 (Afghanistan), 5,744 (Sri Lanka) (2018) |
| | *stateless persons:* 49 (2018) |
| **Syria** | *refugees (country of origin):* 15,699 (Iraq) (2018); 560,139 (Palestinian Refugees) (2019) |
| | *IDPs:* 6.2 million (ongoing civil war since 2011) (2019) |
| | *stateless persons:* 160,000 (2018); note - Syria's stateless population consists of Kurds and Palestinians; stateless persons are prevented from voting, owning land, holding certain jobs, receiving food subsidies or public healthcare, enrolling in public schools, or being legally married to Syrian citizens; in 1962, some 120,000 Syrian Kurds were stripped of their Syrian citizenship, rendering them and their descendants stateless; in 2011, the Syrian Government granted citizenship to thousands of Syrian Kurds as a means of appeasement; however, resolving the question of statelessness is not a priority given Syria's ongoing civil war |
| | *note:* the ongoing civil war has resulted in more than 5.6 million registered Syrian refugees - dispersed in Egypt, Iraq, Jordan, Lebanon, and Turkey - as of November 2019 |
| **Tajikistan** | *stateless persons:* 4,616 (2018) |
| **Tanzania** | *refugees (country of origin):* 163,629 (Burundi), 73,169 (Democratic Republic of the Congo) (2019) |
| **Thailand** | *refugees (country of origin):* 97,603 (Burma) (2018) |
| | *stateless persons:* 478,883 (2018) (estimate represents stateless persons registered with the Thai Government; actual number may be as high as 3.5 million); note - about half of Thailand's northern hill tribe people do not have citizenship and make up the bulk of Thailand's stateless population; most lack documentation showing they or one of their parents were born in Thailand; children born to Burmese refugees are not eligible for Burmese or Thai citizenship and are stateless; most Chao Lay, maritime nomadic peoples, who travel from island to island in the Andaman Sea west of Thailand are also stateless; stateless Rohingya refugees from Burma are considered illegal migrants by Thai authorities and are detained in inhumane conditions or expelled; stateless persons are denied access to voting, property, education, employment, healthcare, and driving |
| | *note:* Thai nationality was granted to more than 23,000 stateless persons between 2012 and 2016; in 2016, the Government of Thailand approved changes to its citizenship laws that could make 80,000 stateless persons eligible for citizenship, as part of its effort to achieve zero statelessness by 2024 (2018) |
| **Togo** | *refugees (country of origin):* 9,768 (Ghana) (2019) |
| **Trinidad and Tobago** | *refugees (country of origin):* 13,990 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2019) |
| **Turkey** | *refugees (country of origin):* 3,691,333 (Syria), 170,000 (Afghanistan), 142,000 (Iraq), 39,000 (Iran), 5,700 (Somalia) (2019) |
| | *IDPs:* 1.097 million (displaced from 1984-2005 because of fighting between the Kurdish PKK and Turkish military; most IDPs are Kurds from eastern and southeastern provinces; no information available on persons displaced by development projects) (2018) |
| | *stateless persons:* 117 (2018) |
| **Turkmenistan** | *stateless persons:* 4,714 (2018) |
| **Uganda** | *refugees (country of origin):* 857,268 (South Sudan) (refugees and asylum seekers),Â 389,276 (Democratic Republic of the Congo) (refugees and asylum seekers),Â 45,437 (Burundi), 37,155 (Somalia) (refugees and asylum seekers),Â 16,272 (Rwanda) (refugees and asylum seekers),Â 13,563 (Eritrea) (refugees and asylum seekers) (2019) |
| | *IDPs:* 32,000 (displaced in northern Uganda because of fighting between government forces and the Lord's Resistance Army; as of 2011, most of the 1.8 million people displaced to IDP camps at the height of the conflict had returned home or resettled, but many had not found durable solutions; intercommunal violence, land disputes, and cattle raids) (2018) |
| **Ukraine** | *IDPs:* 1.5 millionÂ (Russian-sponsored separatist violence in Crimea and eastern Ukraine) (2019) |
| | *stateless persons:* 35,650 (2018); note - citizens of the former USSR who were permanently resident in Ukraine were granted citizenship upon Ukraine's independence in 1991, but some missed this window of opportunity; people arriving after 1991, Crimean Tatars, ethnic Koreans, people with expired Soviet passports, and people with no documents have difficulty acquiring Ukrainian citizenship; following the fall of the Soviet Union in 1989, thousands of Crimean Tatars and their descendants deported from Ukraine under the STALIN regime returned to their homeland, some being stateless and others holding the citizenship of Uzbekistan or other former Soviet republics; a 1998 bilateral agreement between Ukraine and Uzbekistan simplified the process of renouncing Uzbek citizenship and obtaining Ukrainian citizenship |
| **United Kingdom** | *refugees (country of origin):* 17,231 (Iran), 13,041 (Eritrea), 9,839 (Afghanistan), 9,720 (Syria), 8,959 (Sudan), 7,742 (Pakistan), 6,772 (Zimbabwe), 5,711 (Sri Lanka) (2018) |
| | *stateless persons:* 125 (2018) |
| **United States** | refugees (country of origin): the US admitted 30,000 refugees during FY2019 including: 12,958 (Democratic Republic of the Congo), 4,932 (Burma), 4,451 (Ukraine), 1,757 (Eritrea), 1,198 (Afghanistan) |
| | *note:* 72,722 Venezuelans have claimed asylum since 2014 because of the economic and political crisis (2018) |
| **Uruguay** | *refugees (country of origin):* 13,694 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2019) |
| **Uzbekistan** | *stateless persons:* 79,942 (2018) |
| **Venezuela** | *refugees (country of origin):* 67,156 (Colombia) (2018) |
| **Vietnam** | *stateless persons:* 34,110 (2018); note - Vietnam's stateless ethnic Chinese Cambodian population dates to the 1970s when thousands of Cambodians fled to Vietnam to escape the Khmer Rouge and were no longer recognized as Cambodian citizens; Vietnamese women who gave up their citizenship to marry foreign men have found themselves stateless after divorcing and returning home to Vietnam; the government addressed this problem in 2009, and Vietnamese women are beginning to reclaim their citizenship |
| **West Bank** | *refugees (country of origin):* 846,465 (Palestinian refugees) (2019) |
| | *IDPs:* 238,000 (includes persons displaced within the Gaza strip due to the intensification of the Israeli-Palestinian conflict since June 2014 and other Palestinian IDPs in the Gaza Strip and West Bank who fled as long ago as 1967, although confirmed cumulative data do not go back beyond 2006) (2018) |
| **World** | the UN High Commissioner for Refugees (UNHCR) estimated that as of year-end 2018 there were 70.8 million people forcibly displaced worldwide; this includes 25.9 million refugees, 3.5 million asylum seekers, and 41.4 million conflict IDPs; the UNHCR estimates there are currently at least 10 million stateless persons |
| **Yemen** | *refugees (country of origin):* 250,860 (Somalia),Â 14,638 (Ethiopia) (2019) |
| | *IDPs:* 3,647,250 (conflict in Sa'ada Governorate; clashes between al-Qa'ida in the Arabian Peninsula and government forces) (2019) |
| **Zambia** | *refugees (country of origin):* 46,384 (Democratic Republic of the Congo) (refugees and asylum seekers), 18,179 (Angola), 6,419 (Burundi), 5,849 (Rwanda) (2019) |
| **Zimbabwe** | *refugees (country of origin):* 10,964 (Democratic Republic of Congo) (refugees and asylum seekers), 8,060 (Mozambique) (2019) |
| | *IDPs:* 59,125 (tropical cyclone, 2019) (2019) |
| | *stateless persons:* 300,000 (2016) |

