Field Listing :: Refugees and internally displaced persons :: The World Factbook

This entry includes those persons residing in a country as refugees, internally displaced persons (IDPs), or stateless persons. Each country's refugee entry includes only countries of origin that are the source of refugee populations of 5,000 or more. The definition of a refugee according to a UN Convention is "a person who is outside his/her country of nationality or habitual residence; has a well-founded fear of persecution because of his/her race, religion, nationality, membership in a particular social group or political opinion; and is unable or unwilling to avail himself/herself of the protection of that country, or to return there, for fear of persecution." The UN established the Office of the UN High Commissioner for Refugees (UNHCR) in 1950 to handle refugee matters worldwide. The UN Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) has a different operational definition for a Palestinian refugee: "a person whose normal place of residence was Palestine during the period 1 June 1946 to 15 May 1948 and who lost both home and means of livelihood as a result of the 1948 conflict." However, UNHCR also assists some 400,000 Palestinian refugees not covered under the UNRWA definition. The term "internally displaced person" is not specifically covered in the UN Convention; it is used to describe people who have fled their homes for reasons similar to refugees, but who remain within their own national territory and are subject to the laws of that state. A stateless person is defined as someone who is not considered a national by any state under the operation of its law, according to UN convention.

| Country | Refugees and internally displaced persons |
| **Qatar** | *stateless persons:* 1,200 (2019) |
| **Romania** | *stateless persons:* 192 (2019) |
| | *note:* 6,347 estimated refugee and migrant arrivals (January 2015-December 2020) |
| **Russia** | *refugees (country of origin):* 41,251 (Ukraine) (2019) |
| | *stateless persons:* 68,209 (2019); note - Russia's stateless population consists of Roma, Meskhetian Turks, and ex-Soviet citizens from the former republics; between 2003 and 2010 more than 600,000 stateless people were naturalized; most Meskhetian Turks, followers of Islam with origins in Georgia, fled or were evacuated from Uzbekistan after a 1989 pogrom and have lived in Russia for more than the required five-year residency period; they continue to be denied registration for citizenship and basic rights by local Krasnodar Krai authorities on the grounds that they are temporary illegal migrants |
| **Rwanda** | *refugees (country of origin):* 77,017 (Democratic Republic of the Congo), 72,007 (Burundi) (2020) |
| **Saudi Arabia** | *stateless persons:* 70,000 (2019); note - thousands of biduns (stateless Arabs) are descendants of nomadic tribes who were not officially registered when national borders were established, while others migrated to Saudi Arabia in search of jobs; some have temporary identification cards that must be renewed every five years, but their rights remain restricted; most Palestinians have only legal resident status; some naturalized Yemenis were made stateless after being stripped of their passports when Yemen backed Iraq in its invasion of Kuwait in 1990; Saudi women cannot pass their citizenship on to their children, so if they marry a non-national, their children risk statelessness |
| **Senegal** | *refugees (country of origin):* 14,114 (Mauritania) (2020) |
| | *IDPs:* 8,400 (clashes between government troops and separatists in Casamance region in the 1990s and early 2000s) (2019) |
| **Serbia** | *refugees (country of origin):* 17,972 (Croatia), 8,198 (Bosnia and Herzegovina) (2019) |
| | *IDPs:* 199,584 (most are Kosovar Serbs, some are Roma, Ashkalis, and Egyptian (RAE); some RAE IDPs are unregistered) (2019) |
| | *stateless persons:* 2,052 (includes stateless persons in Kosovo) (2018) |
| | *note:* 747,865 estimated refugee and migrant arrivals (January 2015-December 2020); Serbia is predominantly a transit country and hosts an estimated 6,304 migrants and asylum seekers as of the end of May 2020 |
| **Sierra Leone** | *IDPs:* 5,500 (displacement caused by post-electoral violence in 2018 and clashes in the Pujehun region in 2019) (2019) |
| **Singapore** | *stateless persons:* 1,303 (2019) |
| **Slovakia** | *stateless persons:* 1,523 (2019) |
| **Slovenia** | *stateless persons:* 5 (2019) |
| | *note:*Â  517,914 estimated refugee and migrant arrivals (January 2015-November 2020); migration through the Western Balkans has decreased significantly since March 2016; Slovenia is predominantly a transit country and hosts approximately 300 asylum seekers as of the end of June 2018 |
| **Somalia** | *refugees (country of origin):* 13,235 (Yemen) (2019) |
| | *IDPs:* 2.65 million (civil war since 1988, clan-based competition for resources; 2011 famine; insecurity because of fighting between al-Shabaab and the Transitional Federal Government's allied forces) (2019) |
| **South Africa** | *refugees (country of origin):* 27,113 (Somalia), 17,726 (Ethiopia), 5,273 (Republic of the Congo) (2019); 59,675 (Democratic Republic of the Congo) (refugees and asylum seekers) (2020) |
| **South Sudan** | *refugees (country of origin):* 729,530 (Sudan) (refugees and asylum seekers), 16,176 (Democratic Republic of the Congo) (refugees and asylum seekers) (2020) |
| | *IDPs:* 1.66 million (alleged coup attempt and ethnic conflict beginning in December 2013; information is lacking on those displaced in earlier years by: fighting in Abyei between the Sudanese Armed Forces and the Sudan People's Liberation Army (SPLA) in May 2011; clashes between the SPLA and dissident militia groups in South Sudan; inter-ethnic conflicts over resources and cattle; attacks from the Lord's Resistance Army; floods and drought) (2020) |
| **Spain** | *refugees (country of origin):* 14,133 (Syria) (2019); 16,540 (Venezuela) (2020) (economic and political crisis; includes Venezuelans who have claimed asylum, are recognized as refugees, or have received alternative legal stay) (2020) |
| | *stateless persons:* 4,246 (2019) |
| | *note:* 196,837 estimated refugee and migrant arrivals (January 2015-December 2020) |
| **Sri Lanka** | *IDPs:* 27,000 (civil war; more than half displaced prior to 2008; many of the more than 480,000 IDPs registered as returnees have not reached durable solutions) (2019) |
| **Sudan** | *refugees (country of origin):* 729,557 (South Sudan) (refugees and asylum seekers), 122,227 (Eritrea) (refugees and asylum seekers), 93,498 (Syria) (refugees and asylum seekers), 26,523 (Central African Republic), 13,130 (Ethiopia) (refugees and asylum seekers) (2020) |
| | *IDPs:* 2.134 million (civil war 1983-2005; ongoing conflict in Darfur region; government and rebel fighting along South Sudan border; inter-tribal clashes) (2019) |
| **Sweden** | *refugees (country of origin):* 113,418 (Syria), 27,933 (Eritrea), 30,546 (Afghanistan), 17,593 (Somalia), 12,460 (Iraq), 7,408 (Iran) (2019) |
| | *stateless persons:* 30,305 (2019); note - the majority of stateless people are from the Middle East and Somalia |
| **Switzerland** | *refugees (country of origin):* 36,698 (Eritrea), 18,755 (Syria), 13,455 (Afghanistan), 5,819 (Sri Lanka) (2019) |
| | *stateless persons:* 49 (2018) |
| **Syria** | *refugees (country of origin):* 13,311 (Iraq) (2019); 562,312 (Palestinian Refugees) (2020) |
| | *IDPs:* 6.1 million (ongoing civil war since 2011) (2020) |
| | *stateless persons:* 160,000 (2019); note - Syria's stateless population consists of Kurds and Palestinians; stateless persons are prevented from voting, owning land, holding certain jobs, receiving food subsidies or public healthcare, enrolling in public schools, or being legally married to Syrian citizens; in 1962, some 120,000 Syrian Kurds were stripped of their Syrian citizenship, rendering them and their descendants stateless; in 2011, the Syrian Government granted citizenship to thousands of Syrian Kurds as a means of appeasement; however, resolving the question of statelessness is not a priority given Syria's ongoing civil war |
| | *note:* the ongoing civil war has resulted in more than 5.5 million registered Syrian refugees - dispersed in Egypt, Iraq, Jordan, Lebanon, and Turkey - as of November 2020 |
| **Tajikistan** | *stateless persons:* 7,151 (2019) |
| **Tanzania** | *refugees (country of origin):* 149,847 (Burundi), 77,898 (Democratic Republic of the Congo) (2020) |
| **Thailand** | *refugees (country of origin):* 91,806 (Burma) (2020) |
| | *stateless persons:* 475,009 (2019) (estimate represents stateless persons registered with the Thai Government; actual number may be as high as 3.5 million); note - about half of Thailand's northern hill tribe people do not have citizenship and make up the bulk of Thailand's stateless population; most lack documentation showing they or one of their parents were born in Thailand; children born to Burmese refugees are not eligible for Burmese or Thai citizenship and are stateless; most Chao Lay, maritime nomadic peoples, who travel from island to island in the Andaman Sea west of Thailand are also stateless; stateless Rohingya refugees from Burma are considered illegal migrants by Thai authorities and are detained in inhumane conditions or expelled; stateless persons are denied access to voting, property, education, employment, healthcare, and driving |
| | *note:* Thai nationality was granted to more than 23,000 stateless persons between 2012 and 2016; in 2016, the Government of Thailand approved changes to its citizenship laws that could make 80,000 stateless persons eligible for citizenship, as part of its effort to achieve zero statelessness by 2024 (2018) |
| **Togo** | *refugees (country of origin):* 9,556 (Ghana) (2020) |
| **Trinidad and Tobago** | *refugees (country of origin):* 18,587 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum, are recognized as refugees,Â or have received alternative legal stay) (2020) |
| **Turkey** | *refugees (country of origin):* 3,638,420 (Syria), 170,000 (Afghanistan), 142,000 (Iraq), 39,000 (Iran), 5,700 (Somalia) (2020) |
| | *IDPs:* 1.099 million (displaced from 1984-2005 because of fighting between the Kurdish PKK and Turkish military; most IDPs are Kurds from eastern and southeastern provinces; no information available on persons displaced by development projects) (2018) |
| | *stateless persons:* 117 (2018) |
| **Turkmenistan** | *stateless persons:* 3,688 (2019) |
| **Uganda** | *refugees (country of origin):* 887,832 (South Sudan) (refugees and asylum seekers), 418,369 (Democratic Republic of the Congo) (refugees and asylum seekers), 49,554 (Burundi), 43,371 (Somalia) (refugees and asylum seekers), 17,239 (Rwanda) (refugees and asylum seekers), 14,865 (Eritrea) (refugees and asylum seekers) (2020) |
| | *IDPs:* 32,000 (displaced in northern Uganda because of fighting between government forces and the Lord's Resistance Army; as of 2011, most of the 1.8 million people displaced to IDP camps at the height of the conflict had returned home or resettled, but many had not found durable solutions; intercommunal violence, land disputes, and cattle raids) (2019) |
| **Ukraine** | *IDPs:* 734,000 (Russian-sponsored separatist violence in Crimea and eastern Ukraine) (2020) |
| | *stateless persons:* 35,642 (2019); note - citizens of the former USSR who were permanently resident in Ukraine were granted citizenship upon Ukraine's independence in 1991, but some missed this window of opportunity; people arriving after 1991, Crimean Tatars, ethnic Koreans, people with expired Soviet passports, and people with no documents have difficulty acquiring Ukrainian citizenship; following the fall of the Soviet Union in 1989, thousands of Crimean Tatars and their descendants deported from Ukraine under the STALIN regime returned to their homeland, some being stateless and others holding the citizenship of Uzbekistan or other former Soviet republics; a 1998 bilateral agreement between Ukraine and Uzbekistan simplified the process of renouncing Uzbek citizenship and obtaining Ukrainian citizenship |
| **United Kingdom** | *refugees (country of origin):* 19,744 (Iran), 13,755 (Eritrea), 10,575 (Sudan), 10,389 (Syria), 9,513 (Afghanistan), 8,164 (Pakistan), 5,522 (Sri Lanka) (2019) |
| | *stateless persons:* 161 (2019) |
| **United States** | refugees (country of origin): the US admitted 11,814 refugees during FY2020 including: 2,868 (Democratic Republic of the Congo), 2,115 (Burma), 1,927 (Ukraine), 604 (Afghanistan), 537 (Iraq) |
| | *note:* 72,722 Venezuelans have claimed asylum since 2014 because of the economic and political crisis (2018) |
| **Uruguay** | *refugees (country of origin):* 19,713 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2020) |
| **Uzbekistan** | *stateless persons:* 97,346 (2019) |
| **Venezuela** | *refugees (country of origin):* 67,622 (Colombia) (2019) |
| **Vietnam** | *stateless persons:* 30,581 (2019); note - Vietnam's stateless ethnic Chinese Cambodian population dates to the 1970s when thousands of Cambodians fled to Vietnam to escape the Khmer Rouge and were no longer recognized as Cambodian citizens; Vietnamese women who gave up their citizenship to marry foreign men have found themselves stateless after divorcing and returning home to Vietnam; the government addressed this problem in 2009, and Vietnamese women are beginning to reclaim their citizenship |
| **West Bank** | *refugees (country of origin):* 858,758 (Palestinian refugees) (2020) |
| | *IDPs:* 243,000 (includes persons displaced within the Gaza strip due to the intensification of the Israeli-Palestinian conflict since June 2014 and other Palestinian IDPs in the Gaza Strip and West Bank who fled as long ago as 1967, although confirmed cumulative data do not go back beyond 2006) (2019) |
| **World** | the UN High Commissioner for Refugees (UNHCR) estimated that as of year-end 2019 there were 79.5 million people forcibly displaced worldwide; this includes 45.7 million conflict IDPs, 26 million refugees, 4.2 million asylum seekers, and 3.6 million Venezuelans displaced abroad; the UNHCR estimates there are currently at least 10 million stateless persons |
| **Yemen** | *refugees (country of origin):* 14,638 (Ethiopia) (2019); 174,367 (Somalia) (2020) |
| | *IDPs:* 3,635,000 (conflict in Sa'ada Governorate; clashes between al-Qa'ida in the Arabian Peninsula and government forces) (2019) |
| **Zambia** | *refugees (country of origin):* 55,523 (Democratic Republic of the Congo) (refugees and asylum seekers), 18,815 (Angola), 7,997 (Burundi), 5,982 (Rwanda) (2020) |
| **Zimbabwe** | *refugees (country of origin):* 116,237 (Nigeria), 10,901 (Democratic Republic of Congo) (refugees and asylum seekers), 8,133 (Mozambique) (2020) |
| | *IDPs:* 25,517 (tropical cyclone, 2019) (2020) |
| | *stateless persons:* 300,000 (2016) |

