CIA - The World Factbook -- Field Listing - Religions

| Country | Religions (%) |
| **Turks and Caicos Islands** | Baptist 40%, Anglican 18%, Methodist 16%, Church of God 12%, other 14% (1990) |
| **Tuvalu** | Church of Tuvalu (Congregationalist) 97%, Seventh-Day Adventist 1.4%, Baha'i 1%, other 0.6% |
| **Uganda** | Roman Catholic 41.9%, Protestant 42% (Anglican 35.9%, Pentecostal 4.6%, Seventh Day Adventist 1.5%), Muslim 12.1%, other 3.1%, none 0.9% (2002 census) |
| **Ukraine** | Ukrainian Orthodox - Kyiv Patriarchate 19%, Orthodox (no particular jurisdiction) 16%, Ukrainian Orthodox - Moscow Patriarchate 9%, Ukrainian Greek Catholic 6%, Ukrainian Autocephalous Orthodox 1.7%, Protestant, Jewish, none 38% (2004 est.) |
| **United Arab Emirates** | Muslim 96% (Shi'a 16%), other (includes Christian, Hindu) 4% |
| **United Kingdom** | Christian (Anglican, Roman Catholic, Presbyterian, Methodist) 71.6%, Muslim 2.7%, Hindu 1%, other 1.6%, unspecified or none 23.1% (2001 census) |
| **United States** | Protestant 52%, Roman Catholic 24%, Mormon 2%, Jewish 1%, Muslim 1%, other 10%, none 10% (2002 est.) |
| **Uruguay** | Roman Catholic 66% (less than half of the adult population attends church regularly), Protestant 2%, Jewish 1%, nonprofessing or other 31% |
| **Uzbekistan** | Muslim 88% (mostly Sunnis), Eastern Orthodox 9%, other 3% |
| **Vanuatu** | Presbyterian 31.4%, Anglican 13.4%, Roman Catholic 13.1%, Seventh-Day Adventist 10.8%, other Christian 13.8%, indigenous beliefs 5.6% (including Jon Frum cargo cult), other 9.6%, none 1%, unspecified 1.3% (1999 Census) |
| **Venezuela** | nominally Roman Catholic 96%, Protestant 2%, other 2% |
| **Vietnam** | Buddhist 9.3%, Catholic 6.7%, Hoa Hao 1.5%, Cao Dai 1.1%, Protestant 0.5%, Muslim 0.1%, none 80.8% (1999 census) |
| **Virgin Islands** | Baptist 42%, Roman Catholic 34%, Episcopalian 17%, other 7% |
| **Wallis and Futuna** | Roman Catholic 99%, other 1% |
| **West Bank** | Muslim 75% (predominantly Sunni), Jewish 17%, Christian and other 8% |
| **Western Sahara** | Muslim |
| **World** | Christians 33.03% (of which Roman Catholics 17.33%, Protestants 5.8%, Orthodox 3.42%, Anglicans 1.23%), Muslims 20.12%, Hindus 13.34%, Buddhists 5.89%, Sikhs 0.39%, Jews 0.23%, other religions 12.61%, non-religious 12.03%, atheists 2.36% (2004 est.) |
| **Yemen** | Muslim including Shaf'i (Sunni) and Zaydi (Shi'a), small numbers of Jewish, Christian, and Hindu |
| **Zambia** | Christian 50%-75%, Muslim and Hindu 24%-49%, indigenous beliefs 1% |
| **Zimbabwe** | syncretic (part Christian, part indigenous beliefs) 50%, Christian 25%, indigenous beliefs 24%, Muslim and other 1% |

This page was last updated on 13 December, 2007
 
