Field Listing :: Legislative branch :: The World Factbook - Central Intelligence Agency

This entry has three subfields. The description subfield provides the legislative structure (unicameral â€“ single house; bicameral â€“ an upper and a lower house); formal name(s); number of member seats; types of constituencies or voting districts (single seat, multi-seat, nationwide); electoral voting system(s); and member term of office. The elections subfield includes the dates of the last election and next election. The election results subfield lists percent of vote by party/coalition and number of seats by party/coalition in the last election (in bicameral legislatures, upper house results are listed first). In general, parties with less than four seats and less than 4 percent of the vote are aggregated and listed as "other," and non-party-affiliated seats are listed as "independent." Also, the entries for some countries include two sets of percent of vote by party and seats by party; the former reflects results following a formal election announcement, and the latter â€“ following a mid-term or byelection â€“ reflects changes in a legislatureâ€™s political party composition.
Of the approximately 240 countries with legislative bodies, approximately two-thirds are unicameral, and the remainder, bicameral. The selection of legislative members is typically governed by a country's constitution and/or its electoral laws. In general, members are either directly elected by a country's eligible voters using a defined electoral system; indirectly elected or selected by its province, state, or department legislatures; or appointed by the country's executive body. Legislative members in many countries are selected both directly and indirectly, and the electoral laws of some countries reserve seats for women and various ethnic and minority groups.
Worldwide, the two predominant direct voting systems are plurality/majority and proportional representation. The most common of the several plurality/majority systems is simple majority vote, or first-past-the-post, in which the candidate receiving the most votes is elected. Countries' legislatures such as Bangladesh's Parliament, Malaysia's House of Representatives, and the United Kingdom's House of Commons use this system. Another common plurality/majority system â€“ absolute majority or two-round â€“ requires that candidates win at least 50 percent of the votes to be elected. If none of the candidates meets that vote threshold in the initial election, a second poll or"runoff" is held soon after for the two top vote getters, and the candidate receiving a simple vote majority is declared the winner. Examples of the two-round system are Haiti's Chamber of Deputies, Mali's National Assembly, and Uzbekistan's Legislative Chamber. Other plurality/majority voting systems, referred to as preferential voting and generally used in multi-seat constituencies, are block vote and single non-transferable vote, in which voters cast their ballots by ranking their candidate preferences from highest to lowest.
Proportional representation electoral systems â€“ in contrast to plurality/majority systems â€“ generally award legislative seats to political parties in approximate proportion to the number of votes each receives. For example, in a 100-member legislature, if Party A receives 50 percent of the total vote, Party B, 30 percent, and Party C, 20 percent, then Party A would be awarded 50 seats, Party B 30 seats, and Party C 20 seats. There are various forms of proportional representation and the degree of reaching proportionality varies. Some forms of proportional representation are focused solely on achieving the proportional representation of different political parties and voters cast ballots only for political parties, whereas in other forms, voters cast ballots for individual candidates within a political party.
Many countries - both unicameral and bicameral - use a mix of electoral methods, in which a portion of legislative seats are awarded using one system, such as plurality/majority, while the remaining seats are awarded by another system, such as proportional representation. Many countries with bicameral legislatures use different voting systems for the two chambers.

| Country | Legislative branch |
| **Congo, Republic of the** | *description:* bicameral Parliament or Parlement consists of: |
| | Senate (72 seats; members indirectly elected by regional councils by simple majority vote to serve 6-year terms with one-half of membership renewed every 3 years) |
| | National Assembly (151 seats; members directly elected in single-seat constituencies by absolute majority popular vote in 2 rounds if needed; members serve 5-year terms) |
| | *elections:* Â  |
| | Senate - last held on 31 August 2017 for expiry of half the seats (next to be held in 2020) |
| | National Assembly - last held on 16 and 30 July 2017 (next to be held in July 2022) |
| | *election results:* Â  |
| | Senate - percent of vote by party - NA; seats by party - PCT 46, independent 12, MAR 2, RDPS 2, UPADS 2, DRD 1, FP 1, MCDDI 1, PRL 1, Pulp 1, PUR 1, RC 1; composition - men 58, women 14, percent of women 19.4% |
| | National Assembly - percent of vote by party - NA; seats by party - PCT 96, UPADS 8, MCDDI 4, other 23 (less than 4 seats) independent 20; composition - men 134, women 17, percent of women 11.3%; note - total Parliament percent of women 13.9% |
| **Cook Islands** | *description:* unicameral Parliament, formerly the Legislative Assembly (24 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms); note - the House of Ariki, a 24-member parliamentary body of traditional leaders appointed by the Queen's representative serves as a consultative body to the Parliament |
| | *elections:* last held on 14 June 2018 (next to be held by 2022) |
| | *election results:* percent of vote by party - NA; seats by party - Demo 11, CIP 10, One Cook Islands Movement 1, independent 2; composition - men 15, women 9, percent of women 37.5% |
| **Costa Rica** | *description:* unicameral Legislative Assembly or Asamblea Legislativa (57 seats; members directly elected in multi-seat constituencies - corresponding to the country's 7 provinces - by closed list proportional representation vote; members serve 4-year terms) |
| | *elections:* last held on 4 February 2018 (next to be held in February 2022) |
| | *election results:* percent of vote by party - PLN 19.5%, PRN 18.2%, PAC 16.3%, PUSC 14.6%, PLN 7.7%, PRS 4.2%, PFA 4%, ADC 2.5%, ML 2.3%, PASE 2.3%, PNG 2.2%, other 6.2%; seats by party - PLN 17, PRN 14, PAC 10, PUSC 9, PLN 4, PRS 2, PFA 1 |
| **Cote d'Ivoire** | *description:* bicameral Parliament consists of: |
| | Senate or Senat (99 seats; 66 members indirectly elected by the National Assembly and members of municipal, autonomous districts, and regional councils, and 33 members appointed by the president; members serve 5-year terms) |
| | National Assembly (255 seats; members directly elected in single- and multi-seat constituencies by simple majority vote to serve 5-year terms) |
| | *elections:* |
| | Senate - first ever held on 25 March 2018 (next to be held in 2023) |
| | National Assembly - last held on 18 December 2016 (next to be held in 2021) |
| | *election results:* Â  |
| | Senate - percent by party NA; seats by party - RHDP 50, independent 16; composition for elected members only - men 58, women 8, percent of women 12.1% |
| | National Assembly - percent of vote by party - RHDP 50.3%, FPI 5.8%, UDPCI 1%, other 1.4%, independent 38.5%; seats by party - RHDP, 167, UDPCI 6, FPI 3, UPCI 3, independent 76; composition - men 228, women 27, percent of women 10.6%; note - total Parliament percent of women 10.9% |
| | *note:* the new constitution of November 2016 called for a bicameral Parliament with the creation of the Senate |
| **Croatia** | *description:* unicameral Assembly or Hrvatski Sabor (151 seats; 140 members in 10 multi-seat constituencies and 3 members in a single constituency for Croatian diaspora directly elected by proportional representation vote using the D'Hondt method with a 5% threshold; an additional 8 members elected from a nationwide constituency by simple majority by voters belonging to minorities recognized by Croatia; the Serb minority elects 3 Assembly members, the Hungarian and Italian minorities elect 1 each, the Czech and Slovak minorities elect 1 jointly, and all other minorities elect 2; all members serve 4-year terms |
| | *elections:* last held on 11 September 2016 as a snap election following dissolution of the Assembly on 15 July 2016 (next to be held by 23 December 2020) |
| | *election results:* percent of vote by coalition/party - NA; number of seats by coalition/party - HDZ coalition 61, People's Coalition 54, Most-HL 13, Only Option 8, minorities 8 (includes SDSS 3), other 7; composition - men 123, women 28, percent of women 18.5% |
| | *note:* as of August 2017, seats by party - HDZ 55, SDP 37, MOST-NL 12, HNS 5, HSS 5, GLAS 4, Human Blockade 3, IDS 3, SDSS 3, HDS 2, PH 2, other 7, independent 13 |
| **Cuba** | *description:* unicameral National Assembly of People's Power or Asamblea Nacional del Poder Popular (605 seats; members directly elected by absolute majority vote; members serve 5-year terms); note - the National Candidature Commission submits a slate of approved candidates; to be elected, candidates must receive more than 50% of valid votes otherwise the seat remains vacant or the Council of State can declare another election |
| | *elections:* last held on 11 March 2018 (next to be held in early 2023) |
| | *election results:* Cuba's Communist Party is the only legal party, and officially sanctioned candidates run unopposed |
| **Curacao** | *description:* unicameral Estates of Curacao (21 seats; members directly elected by proportional representation vote to serve 4-year terms) |
| | *elections:* last held on 28 April 2017 (next to be held in 2021); early elections were held after Prime Minister Hensley KOEIMAN resigned on 12 February 2017, when the coalition government lost its majority |
| | *election results:* percent of vote by party - PAR 23.3%, MAN 20.4%, MFK 19.9%, KdnT 9.4%, PIN 5.3%, PS 5.1%, MP 4.9%, other 11.7%; seats by party - PAR 6, MAN 5, MFK 5, KdnT 2, PIN 1, PS 1, MP 1 |
| **Cyprus** | *description:* area under government control: unicameral House of Representatives or Vouli Antiprosopon (80 seats; 56 assigned to Greek Cypriots, 24 to Turkish Cypriots, but only those assigned to Greek Cypriots are filled; members directly elected by both proportional representation and preferential vote; members serve 5-year terms); area administered by Turkish Cypriots: unicameral Assembly of the Republic or Cumhuriyet Meclisi (50 seats; members directly elected by proportional representation vote to serve 5-year terms) |
| | *elections:* area under government control: last held on 22 May 2016 (next to be held in May 2021); area administered by Turkish Cypriots: last held on 7 January 2018 (next to be held in 2023) |
| | *election results:* area under government control: House of Representatives - percent of vote by party - DISY 30.7%, AKEL 25.7%, DIKO 14.5%, KS-EDEK 6.2%, SP 6% Solidarity Movement 5.2%, other 11.7%; seats by party - DISY 18, AKEL 16, DIKO 9, KS-EDEK 3, Citizen's Alliance 3 (2 left the party in 2017 and 2018 due to disagreements over the party's policy regarding the presidential election campaign; the two became independent MPs), Solidarity Movement 3, other 4; area administered by Turkish Cypriots: "Assembly of the Republic" - percent of vote by party - UBP 35.6%, CTP 20.9%, HP 17.1%, TDP 8.6%, DP 7.8%, YDP 7%, 3%; seats by party - UBP 21, CTP 12, HP 9, DP 3, TDP 3, YDP 2 |
| **Czechia** | *description:* bicameral Parliament or Parlament consists of: |
| | Senate or Senat (81 seats; members directly elected in single-seat constituencies by absolute majority vote in 2 rounds if needed; members serve 6-year terms with one-third of the membership renewed every 2 years) |
| | Chamber of Deputies or Poslanecka Snemovna (200 seats; members directly elected in 14 multi-seat constituencies by proportional representation vote with a 5% threshold required to fill a seat; members serve 4-year terms) |
| | *elections:* |
| | Senate - last held in 2 rounds on 5-6 and 12-13 October 2018 (next to be held in October 2020) |
| | Chamber of Deputies - last held on 20-21 October 2017 (next to be held by October 2021) |
| | *election results:* |
| | Senate - percent of vote by party - NA; ODS 16, KDU-CSL 16, CSSD 13, STAN 10, ANO 7, SEN 21 6, TOP 09 3, SZ 1, Movement for Prague 1, Pirates 1, SsCR 1, independent 6; composition NA |
| | Chamber of Deputies - percent of vote by party - ANO 29.6%, ODS 11.3%, Pirates 10.8%, SPD 10.6%, KSCM 7.8%, CSSD 7.3%, KDU-CSL 5.8%, TOP 09 5.3%, STAN 5.2%, other 6.3%; seats by party - ANO 78, ODS 25, Pirates 22, SPD 22, CSSD 15, KSCM 15, KDU-CSL 10, TOP 09 7, STAN 6; composition - men 156, women 44, percent of women 22%; note - total Parliament percent of women NA |
| **Denmark** | *description:* unicameral People's Assembly or Folketing (179 seats, including 2 each representing Greenland and the Faroe Islands; members directly elected in multi-seat constituencies by proportional representation vote; members serve 4-year terms unless the Folketing is dissolved earlier) |
| | *elections:* last held on 18 June 2015 (next to be held by June 2019) |
| | *election results:* percent of vote by party - A 26.3%, DF 21.1%, V 19.5%, EL 7.8%, LA 7.5%, AP 4.8%, SLP 4.6%, SF 4.2%, C 3.4%, other 0.9%; seats by party - A 47, DF 37, V 34, EL 14, LA 13, AP 9, SLP 8, SF 7, C 6; composition - men 112, women 67, percent of women 37.4%; note - does not include each of the 2 seats from Greenland and the Faroe Islands |
| **Djibouti** | *description:* unicameral National Assembly or Assemblee Nationale, formerly the Chamber of Deputies (65 seats; members directly elected in multi-seat constituencies by party-list proportional representation vote; members serve 5-year terms) |
| | *elections:* last held on 23 February 2018 (next to be held in February 2023) |
| | *election results:* percent of vote by party - NA; seats by party - UMP 57, UDJ-PDD 7, CDU 1; composition - men 58, women 7, percent of women 10.8% |
| **Dominica** | *description:* unicameral House of Assembly (32 seats; 21 representatives directly elected in single-seat constituencies by simple majority vote, 9 senators appointed by the Assembly, and 2 ex-officio members - the House Speaker and the Clerk of the House; members serve 5-year terms) |
| | *elections:* last held on 8 December 2014 (next to be held in 2019); note - tradition dictates that the election is held within 5 years of the last election, but technically it is 5 years from the first seating of parliament plus a 90-day grace period |
| | *election results:* percent of vote by party - DLP 57.0%, UWP 42.9%, other 0.1%; seats by party - DLP 15, UWP 6 |
| **Dominican Republic** | *description:* bicameral National Congress or Congreso Nacional consists of: |
| | Senate or Senado (32 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| | House of Representatives or Camara de Diputados (190 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 4-year terms) |
| | *elections:* |
| | Senate - last held on 15 May 2016 (next to be held in May 2020) |
| | House of Representatives - last held on 15 May 2016 (next to be held in May 2020) |
| | *election results:* |
| | Senate - percent of vote by party - NA; seats by party - PLD 26, PRM 2, BIS 1, PLRD 1, PRD 1, PRSC 1 |
| | House of Representatives - percent of vote by party - NA; seats by party - PLD 106, PRM 42, PRSC 18, PRD 16, PLRD 3, other 5 |
| **Ecuador** | *description:* unicameral National Assembly or Asamblea Nacional (137 seats; 116 members directly elected in single-seat constituencies by simple majority vote, 15 members directly elected in a single nationwide constituency by proportional representation vote, and 6 directly elected in multi-seat constituencies for Ecuadorians living abroad by simple majority vote; members serve 4-year terms) |
| | *elections:* last held on 19 February 2017 (next to be held in 2021) |
| | *election results:* percent of vote by party - PAIS 39.1%, CREO-SUMA 20.1%, PSC 15.9%, ID 3.8%, MUPP 2.7%, other 10.7; seats by party - PAIS 74, CREO-SUMA 34, PSC 15, ID 4, MUPP 4, PSP 2, Fuerza Ecuador 1, independent 3; note - defections by members of National Assembly are commonplace, resulting in frequent changes in the numbers of seats held by the various parties |
| **Egypt** | *description:* unicameral House of Representatives (Majlis Al-Nowaab); 596 seats; 448 members directly elected by individual candidacy system, 120 members - with quotas for women, youth, Christians and workers - elected in party-list constituencies by simple majority popular vote, and 28 members appointed by the president; member term 5 years; note - inaugural session held on 10 January 2016 |
| | *elections:* multi-phase election completed on 16 December 2015 (next to be held in 2020 |
| | *election results:* percent of vote by party - NA; seats by party -- Free Egyptians Party 65, Future of the Nation 53, New Wafd Party 36, Homeland's Protector Party 18, Republican People's Party 13, Congress Party 12, Al-Nour Party 11, Conservative Party 6, Democratic Peace Party 5, Egyptian National Movement 4, Egyptian Social Democratic Party 4, Modern Egypt Party 4, Freedom Party 3, My Homeland Egypt Party 3, Reform and Development Party 3, National Progressive Unionist Party 2, Arab Democratic Nasserist Party 1, El Serh El Masry el Hor 1, Revolutionary Guards Party 1, independent 351; composition - men 507, women 89, percent of women 14.9% |
| **El Salvador** | *description:* unicameral Legislative Assembly or Asamblea Legislativa (84 seats; members directly elected in multi-seat constituencies and a single nationwide constituency by proportional representation vote to serve 3-year terms) |
| | *elections:* last held on 4 March 2018 (next to be held in March 2021) |
| | *election results:* percent of vote by party - ARENA 42.3%, FMLN 24.4%, GANA 11.5%, PCN 10.8%, PDC 3.2%, CD 0.9%, Independent 0.7%, other 6.2%; seats by party - ARENA 37, FMLN 23, GANA 11, PCN 8, PDC 3, CD 1, independent 1 |
| **Equatorial Guinea** | *description:* bicameral National Assembly or Asemblea Nacional consists of: |
| | Senate or Senado (70 seats; 55 members directly elected in multi-seat constituencies by closed party-list proportional representation vote and 15 appointed by the president) |
| | Chamber of Deputies or Camara de los Diputados (100 seats; members directly elected in multi-seat constituencies by closed paryt-list proportional representation vote to serve 5-year terms) |
| | *elections:* |
| | Senate - last held on 12 November 2017 (next to be held in 2022) |
| | Chamber of Deputies - last held on 12 November 2017 (next to be held in 2022) |
| | *election results:* Â  |
| | Senate - percent of vote by party - NA; seats by party - PDGE 75; composition - men 60, women 10, percent of women 14.3% |
| | Chamber of Deputies - percent of vote by party - NA; seats by party - PDGE 99, CI 1; composition - men 78, women 22, percent of women 22%; note - total National Assembly percent of women 18.8% |
| **Eritrea** | *description:* unicameral National Assembly (Hagerawi Baito) (150 seats; 75 members indirectly elected by the ruling party and 75 directly elected by simple majority vote; members serve 5-year terms) |
| | *elections:* in May 1997, following the adoption of the new constitution, 75 members of the PFDJ Central Committee (the old Central Committee of the EPLF), 60 members of the 527-member Constituent Assembly, which had been established in 1997 to discuss and ratify the new constitution, and 15 representatives of Eritreans living abroad were formed into a Transitional National Assembly to serve as the country's legislative body until countrywide elections to form a National Assembly were held; although only 75 of 150 members of the Transitional National Assembly were elected, the constitution stipulates that once past the transition stage, all members of the National Assembly will be elected by secret ballot of all eligible voters; National Assembly elections scheduled for December 2001 were postponed indefinitely due to the war with Ethiopia |
| | *election results:* NA |
| **Estonia** | *description:* unicameral Parliament or Riigikogu (101 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 4-year terms) |
| | *elections:* last held on 1 March 2015 (next to be held in March 2019) |
| | *election results:* percent of vote by party - RE 27.7%, K 24.8%, SDE 15.2%, IRL 13.7%, EV 8.7%, EKRE 8.1%, other 1.8%; seats by party - RE 30, K 27, SDE 15, IRL 14, EV 8, EKRE 7; composition - men 77, women 24, percent of women 23.8% |
| **Eswatini** | *description:* bicameral Parliament (Libandla) consists of: |
| | Senate (30 seats; 20 members appointed by the monarch and 10 indirectly elected by simple majority vote by the House of Assembly; members serve 5-year terms) House of Assembly (65 seats; 55 members directly elected in single-seat constituencies or tinkhundla by absolute majority vote in 2 rounds if needed, 10 members appointed by the monarch; members serve 5-year terms) |
| | *elections:* Senate - last held on 30 October 2013 (next to be held - NA) |
| | House of Assembly - last held on 24 August 2013 with a runoff on 20 September 2013 (tenatively on 30 September 2018) |
| | *election results:* Senate - percent of seats by party - NA; seats by party - NA; composition - men 20, women 10, percent of women 33.3% |
| | House of Assembly - percent of vote by party - NA; seats by party - independent 59; composition - men 60, women 5, percent of women 7.7%; note - total Parliament percent of women 15.8% |
| **Ethiopia** | *description:* bicameral Parliament consists of: |
| | House of Federation or Yefedereshein Mikir Bete (153 seats; members indirectly elected by state assemblies to serve 5-year terms) |
| | House of People's Representatives or Yehizb Tewokayoch Mekir Bete (547 seats; members directly elected in single-seat constituencies by simple majority vote; 22 seats reserved for minorities; all members serve 5-year terms) |
| | *elections:* |
| | House of People's Representatives - last held on 24 May 2015 (next to be held in 2020) |
| | *election results:* |
| | House of Representatives - percent of vote by party/coalition - NA; seats by party/coalition - EPRDF 501, SPDP 24, BGPDUP 9, ANDP 8, GPUDM 3, APDO 1, HNL 1 |
| | *note:* House of Federation is responsible for interpreting the constitution and federal-regional issues and the House of People's Representatives is responsible for passing legislation |
| **European Union** | *description:* two legislative bodies consisting of the Council of the European Union (28 seats; ministers representing the 28 member states) and the European Parliament (751 seats; seats allocated among member states roughly in proportion to population size; members elected by proportional representation to serve 5-year terms); note - the European Parliament President, Antonio TAJANI (Italian center-right), was elected in January 2017 by a majority of fellow members of the European Parliament (MEPs) and represents the Parliament within the EU and internationally; the Council of the EU and the MEPs share responsibilities for adopting the bulk of EU legislation, normally acting in co-decision on Commission proposals (but not in the area of Common Foreign and Security Policy, which is governed by consensus of the EU member state governments) |
| | *elections:* last held on 22-25 May 2014 (next to be held 23-26 May 2019) |
| | *election results:* percent of vote - EPP 29.4%, S&D 25.4%, ECR 9.3%, ALDE 8.9%, GUE/NGL 6.9%, Greens/EFA 6.7%, EFD 6.4%, independent 6.9%; seats by party - EPP 221, S&D 191, ECR 70, ALDE 67, GUE/NGL 52, Greens/EFA 50, EFD 48, independent 52 |
| **Falkland Islands (Islas Malvinas)** | *description:* unicameral Legislative Assembly, formerly the Legislative Council (10 seats; 8 members directly elected by majority vote and 2 appointed ex-officio members - the chief executive, appointed by the governor, and the financial secretary; members serve 4-year terms) |
| | *elections:* last held on 9 November 2017 (next to be held in November 2021) |
| | *election results:* percent of vote - NA; seats - independent 8 |
| **Faroe Islands** | *description:* unicameral Faroese Parliament or Logting (33 seats; members directly elected in a single nationwide constituency by proportional representation vote; members serve 4-year terms) |
| | *elections:* last held on 1 September 2015 (next to be held no later than October 2019) |
| | *election results:* percent of vote by party - JF 25.1%, Republic 20.7%, People's Party, 18.9%, Union Party 18.7%, Progressive Party 7%, Center Party 5.5%, New Self-Government Party 4.1%; seats by party - JF 8, Republic 7, People's Party 6, Union Party 6, Center Party 2, Progressive Party 2, New Self-Government Party 2; composition - men 23, women 10, percent of women 30.3% |
| | *note:* election for 2 seats in the Danish Parliament was last held on 18 June 2015 (next to be held no later than June 2019); percent of vote by party - NA; seats by party - Social Democratic Party 1, Republican Party 1 |
| **Fiji** | *description:* unicameral Parliament (51 seats; members directly elected in a nationwide, multi-seat constituency by open-list proportional representation vote to serve 4-year terms) |
| | *elections:* last held on 14 November 2018 (next to be held in 2022) |
| | *election results:* percent of vote by party - FijiFirst 50%, SODELPA 39.6%, NFP 7.4%; seats by party - FijiFirst 27, SODELPA 21, NFP 3; composition - men 41, women 10, percent of women 19.6% |
| **Finland** | *description:* unicameral Parliament or Eduskunta (200 seats; 199 members directly elected in single- and multi-seat constituencies by proportional representation vote and 1 member in the province of Aland directly elected by simple majority vote; members serve 4-year terms) |
| | *elections:* last held on 19 April 2015 (next to be held by April 2019) |
| | *election results:* percent of vote by party/coalition - Kesk 21.1%, PS 17.6%, Kok 18.2%, SDP 16.5%, Vihr 8.5%, Vas 7.1%, SFP 4.9%, KD 3.5%, other 2.6%; seats by party/coalition - Kesk 49, PS 38, Kok 37, SDP 34, Vihr 15, Vas 12, SFP 9, KD 5, Aland Coalition 1; composition men 117, women 83, percent of women 41.5% |
| **France** | *description:* bicameral Parliament or Parlement consists of: |
| | Senate or Senat (348 seats - 328 for metropolitan France and overseas departments and regions of Guadeloupe, Martinque, French Guiana, Reunion, and Mayotte, 2 for New Caledonia, 2 for French Polynesia, 1 for Saint-Pierre and Miquelon, 1 for Saint-Barthelemy, 1 for Saint-Martin, 1 for Wallis and Futuna, and 12 for French nationals abroad; members indirectly elected by departmental electoral colleges using absolute majority vote in 2 rounds if needed for departments with 1-3 members and proportional representation vote in departments with 4 or more members; members serve 6-year terms with one-half of the membership renewed every 3 years) |
| | National Assembly or Assemblee Nationale (577 seats - 556 for metropolitan France, 10 for overseas departments, and 11 for citizens abroad; members directly elected by absolute majority vote in 2 rounds if needed to serve 5-year terms) |
| | *elections:* |
| | Senate - last held on 24 September 2017 (next to be held on 24 September 2020) |
| | National Assembly - last held on 11 and 18 June 2017 (next to be held in June 2022) |
| | *election results:* |
| | Senate - percent of vote by party - NA; seats by party - LR 146, SOC 78, UC 49, REM 21, CRC 21, other 33 |
| | National Assembly - percent of vote by party first round - REM 28.2%, LR 15.8%. FN 13.2%, FI 11%, PS 7.4%, other 24.4%; percent of vote by party second round - REM 43.1%, LR 22.2%, FN 8.8%, MoDEM 6.1%, PS 5.7%. FI 4.9%, other 9.2%; seats by party - EM 308, LR 112, MoDEM 42, PS 29, UDI 18, FI 17, PCF 10, FN 8, other 33 |
| **French Polynesia** | *description:* unicameral Assembly of French Polynesia or Assemblee de la Polynesie Francaise (57 seats; elections held in 2 rounds; in the second round, 38 members directly elected in multi-seat constituencies by a closed-list proportional representation vote; the party receiving the most votes gets an additional 19 seats; members serve 5-year terms) |
| | French Polynesia indirectlyÂ elects 2 senators to the French Senate via an electoral college by absolute majority vote for 6-year terms with one-half the membership renewed every 3 years and directly elects 3 deputies to the French National Assembly by absolute majority vote in 2 rounds if needed for 5-year terms |
| | *elections:* |
| | Assembly of French Polynesia - last held on 22 April 2018 and 6 May 2018 (next to be held in 2023) |
| | French Senate - last held in September 2017 (next to be held In September 2020) |
| | French National Assembly - last held in 2 rounds on 3 and 17 June 2017 (next to be held in 2022) |
| | *election results:* |
| | Assembly of French Polynesia - percent of vote by party - Tapura Huiraatira 45.1%, Popular Rally 29.3%, Tavini Huiraatira 25.6%; seats by party - Tapura Huiraatira 38, Popular Rally 11, Tavini Huiraatira 8; composition - men 27, women 30, percent of women 52.6% |
| | French Senate - percent of vote by party - NA; seats by party - Popular Rally 1, People's Servant Party 1; composition - men 246, women 102, percent of women 29.3% |
| | French National Assembly - percent of vote by party - NA; seats by party - Tapura Huiractura 2, Tavini Huiraatura 1; composition - men 353, women 224, percent of women 38.8%; note - total Parliament percent of women 20% |
| **Gabon** | *description:* bicameral Parliament or Parlement consists of: |
| | Senate or Senat (102 seats; members indirectly elected by municipal councils and departmental assemblies by absolute majority vote in 2 rounds if needed; members serve 6-year terms) |
| | National Assembly or Assemblee Nationale (120 seats; members elected in single-seat constituencies by absolute majority vote in 2 rounds if needed; members serve 5-year terms) |
| | *elections:* |
| | Senate - last held on 13 December 2014 (next to be held in January 2020) |
| | National Assembly - first round last held on 6 October 2018; next round scheduled for 27 October 2018 |
| | *election results:* |
| | Senate - percent of vote by party - NA; seats by party - PDG 81, CLR 7, PSD 2, ADERE-UPG 1, UPG 1, PGCI 1, independent 7 |
| | National Assembly - percent of vote by party - NA; seats by party - PDG 113, RPG 3, other 4 |
| **Gambia, The** | *description:* unicameral National Assembly (58 seats; 53 members directly elected in single-seat constituencies by simple majority vote and 5 appointed by the president; members serve 5-year terms) |
| | *elections:* last held on 6 April 2017 (next to be held in 2022) |
| | *election results:* percent of vote by party - UDP 37.5%, GDC 17.4%, APRC 16%, PDOIS 9%, NRP 6.3%, PPP 2.5%, other 1.7%, independent 9.6%; seats by party - UDP 31, APRC 5, GDC 5, NRP 5, PDOIS 4, PPP 2, independent 1 |
| **Georgia** | *description:* unicameral Parliament or Sakartvelos Parlamenti (150 seats; 77 members directly elected in a single nationwide constituency by closed, party-list proportional representation vote and 73 directly elected in single-seat constituencies by simple majority vote; members serve 4-year terms) |
| | *elections:* last held on 8 October and 30 October 2016 (next to be held in 2020) |
| | *election results:* percent of vote by party - Georgian Dream 48.7%, UNM 27.1%, Alliance of Patriots 5%, other 19.2%; seats by party - Georgian Dream 115, UNM 27, Alliance of Patriots 6, IWSG 1, independent 1; composition - men 126, women 24, percent of women 16%;Â note - European Georgia split from UNM in January 2017 taking 20 of 27 parliamentary seats |
| **Germany** | *description:* bicameral Parliament or Parlament consists of: |
| | Federal Council or Bundesrat (69 seats; members appointed by each of the 16 state governments) |
| | Federal Diet or Bundestag (709 seats - total seats can vary each electoral term; approximately one-half of members directly elected in multi-seat constituencies by proportional representation vote and approximately one-half directly elected in single-seat constituencies by simple majority vote; members serve 4-year terms) |
| | *elections:* |
| | Bundesrat - none; composition is determined by the composition of the state-level governments; the composition of the Bundesrat has the potential to change any time one of the 16 states holds an election |
| | Bundestag - last held on 24 September 2017 (next to be held in 2021); most postwar German governments have been coalitions |
| | *election results:* |
| | Bundesrat - composition - men 50, women 19, percent of women 27.5% |
| | Bundestag - percent of vote by party - CDU/CSU 32.9%, SPD 20.5%, AfD 12.6%, FDP 10.8%, The Left 9.2%, Alliance '90/Greens 8.9%, other 5%; seats by party - CDU/CSU 246, SPD 153, FDP 80, The Left 69, Alliance '90/Greens 67; composition - men 491, women 218, percent of women 30.7%; note - total Parliament percent of women 30.5% |
| **Ghana** | *description:* unicameral Parliament (275 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| | *elections:* last held on 7 December 2016 (next to be held in December 2020) |
| | *election results:* percent of vote by party - NPP 54%, NDC 44%, other 2%; seats by party - NPP 171, NDC 104 |
| **Gibraltar** | *description:* unicameral Parliament (18 seats; 17 members directly elected in a single nationwide constituency by majority vote and 1 appointed by Parliament as speaker; members serve 4-year terms) |
| | *elections:* last held on 26 November 2015 (next to be held not later than December 2019) |
| | *election results:* percent of vote by party - GSLP-Liberal Alliance 68.4% (GSLP 47.8%, LPG 20.6%), GSD 31.6%; seats by party - GSLP-Liberal Alliance 10 (GSLP 7, LPG 3), GSD 7; composition -Â men 15, women 2, percent of women 11.8% |
| **Greece** | *description:* unicameral Hellenic Parliament or Vouli ton Ellinon (300 seats; 280 members in multi-seat constituencies and 12 members in a single nationwide constituency directly elected by open party-list proportional representation vote; 8 members in single-seat constituencies elected by simple majority vote; members serve up to 4 year); Â note - only parties surpassing a 3% threshold are entitled to parliamentary seats; parties need 10 seats to become formal parliamentary groups but can retain that status if the party participated in the last election and received the minimum 3% threshold |
| | *elections:* last held on 20 September 2015 (next to be heldÂ by October 2019); note - snap election called because of upheaval in the governing SYRIZA party over the third bailout deal with international creditors |
| | *election results:* percent of vote by party - SYRIZA 35.5%, ND 28.1%, Golden Dawn 7%, PASOK-DIMAR 6.3%, KKE 5.6%, The River 4.1%, ANEL 3.7%, EK 3.4%, other 6.3%; seats by party - SYRIZA 145, ND 75, Golden Dawn 18, PASOK-DIMAR 17, KKE 15, The River 11, ANEL 10, EK 9; composition - men 241, women 59, percent of women 19.7% |
