CIA - The World Factbook -- Field Listing :: Sanitation facility access   

This entry provides information about access to improved or unimproved sanitation facilities available to segments of the population of a country. improved sanitation - use of any of the following facilities: flush or pour-flush to a piped sewer system, septic tank or pit latrine; ventilated improved pit (VIP) latrine; pit latrine with slab; or a composting toilet. unimproved sanitation - use of any of the following facilities: flush or pour-flush not piped to a sewer system, septic tank or pit latrine; pit latrine without a slab or open pit; bucket; hanging toilet or hanging latrine; shared facilities of any type; no facilities; or bush or field.

| Country | Sanitation facility access(% of population) |
| | *unimproved:* |
| | *urban:* 19% of population |
| | *rural:* 64% of population |
| | *total:* 32% of population |
| **Philippines** | *improved:* |
| | *urban:* 80% of population |
| | *rural:* 69% of population |
| | *total:* 76% of population |
| | *unimproved:* |
| | *urban:* 20% of population |
| | *rural:* 31% of population |
| | *total:* 24% of population |
| **Poland** | *improved:* |
| | *urban:* 96% of population |
| | *rural:* 80% of population |
| | *total:* 90% of population |
| | *unimproved:* |
| | *urban:* 4% of population |
| | *rural:* 20% of population |
| | *total:* 10% of population |
| **Portugal** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Qatar** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Romania** | *improved:* |
| | *urban:* 88% of population |
| | *rural:* 54% of population |
| | *total:* 72% of population |
| | *unimproved:* |
| | *urban:* 12% of population |
| | *rural:* 46% of population |
| | *total:* 28% of population |
| **Russia** | *improved:* |
| | *urban:* 93% of population |
| | *rural:* 70% of population |
| | *total:* 87% of population |
| | *unimproved:* |
| | *urban:* 7% of population |
| | *rural:* 30% of population |
| | *total:* 13% of population |
| **Rwanda** | *improved:* |
| | *urban:* 50% of population |
| | *rural:* 55% of population |
| | *total:* 54% of population |
| | *unimproved:* |
| | *urban:* 50% of population |
| | *rural:* 45% of population |
| | *total:* 46% of population |
| **Saint Kitts and Nevis** | *improved:* |
| | *urban:* 96% of population |
| | *rural:* 96% of population |
| | *total:* 96% of population |
| | *unimproved:* |
| | *urban:* 4% of population |
| | *rural:* 4% of population |
| | *total:* 4% of population |
| **Saint Lucia** | *improved:* |
| | *urban:* 89% of population |
| | *rural:* 89% of population |
| | *total:* 89% of population |
| | *unimproved:* |
| | *urban:* 11% of population |
| | *rural:* 11% of population |
| | *total:* 11% of population |
| **Samoa** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Sao Tome and Principe** | *improved:* |
| | *urban:* 30% of population |
| | *rural:* 19% of population |
| | *total:* 26% of population |
| | *unimproved:* |
| | *urban:* 70% of population |
| | *rural:* 81% of population |
| | *total:* 74% of population |
| **Senegal** | *improved:* |
| | *urban:* 69% of population |
| | *rural:* 38% of population |
| | *total:* 51% of population |
| | *unimproved:* |
| | *urban:* 31% of population |
| | *rural:* 62% of population |
| | *total:* 49% of population |
| **Serbia** | *improved:* |
| | *urban:* 96% of population |
| | *rural:* 88% of population |
| | *total:* 92% of population |
| | *unimproved:* |
| | *urban:* 4% of population |
| | *rural:* 12% of population |
| | *total:* 8% of population |
| **Sierra Leone** | *improved:* |
| | *urban:* 24% of population |
| | *rural:* 6% of population |
| | *total:* 13% of population |
| | *unimproved:* |
| | *urban:* 76% of population |
| | *rural:* 94% of population |
| | *total:* 87% of population |
| **Singapore** | *improved:* |
| | *urban:* 100% of population |
| | *total:* 100% of population |
| **Slovakia** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 99% of population |
| | *total:* 100% of population |
| | *unimproved:* |
| | *urban:* 0% of population |
| | *rural:* 1% of population |
| | *total:* 0% of population |
| **Slovenia** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Solomon Islands** | *improved:* |
| | *urban:* 98% of population |
| | *rural:* 18% of population |
| | *total:* 31% of population |
| | *unimproved:* |
| | *urban:* 2% of population |
| | *rural:* 82% of population |
| | *total:* 69% of population |
| **Somalia** | *improved:* |
| | *urban:* 52% of population |
| | *rural:* 6% of population |
| | *total:* 23% of population |
| | *unimproved:* |
| | *urban:* 48% of population |
| | *rural:* 94% of population |
| | *total:* 77% of population |
| **South Africa** | *improved:* |
| | *urban:* 84% of population |
| | *rural:* 65% of population |
| | *total:* 77% of population |
| | *unimproved:* |
| | *urban:* 16% of population |
| | *rural:* 35% of population |
| | *total:* 23% of population |
| **Spain** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Sri Lanka** | *improved:* |
| | *urban:* 88% of population |
| | *rural:* 92% of population |
| | *total:* 91% of population |
| | *unimproved:* |
| | *urban:* 12% of population |
| | *rural:* 8% of population |
| | *total:* 9% of population |
| **Sudan** | *improved:* |
| | *urban:* 55% of population |
| | *rural:* 18% of population |
| | *total:* 34% of population |
| | *unimproved:* |
| | *urban:* 45% of population |
| | *rural:* 82% of population |
| | *total:* 66% of population |
| **Suriname** | *improved:* |
| | *urban:* 90% of population |
| | *rural:* 66% of population |
| | *total:* 84% of population |
| | *unimproved:* |
| | *urban:* 10% of population |
| | *rural:* 34% of population |
| | *total:* 16% of population |
| **Swaziland** | *improved:* |
| | *urban:* 61% of population |
| | *rural:* 53% of population |
| | *total:* 55% of population |
| | *unimproved:* |
| | *urban:* 39% of population |
| | *rural:* 47% of population |
| | *total:* 45% of population |
| **Sweden** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Switzerland** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Syria** | *improved:* |
| | *urban:* 96% of population |
| | *rural:* 95% of population |
| | *total:* 96% of population |
| | *unimproved:* |
| | *urban:* 4% of population |
| | *rural:* 5% of population |
| | *total:* 4% of population |
| **Tajikistan** | *improved:* |
| | *urban:* 95% of population |
| | *rural:* 94% of population |
| | *total:* 94% of population |
| | *unimproved:* |
| | *urban:* 5% of population |
| | *rural:* 6% of population |
| | *total:* 6% of population |
| **Tanzania** | *improved:* |
| | *urban:* 32% of population |
| | *rural:* 21% of population |
| | *total:* 24% of population |
| | *unimproved:* |
| | *urban:* 68% of population |
| | *rural:* 79% of population |
| | *total:* 76% of population |
| **Thailand** | *improved:* |
| | *urban:* 95% of population |
| | *rural:* 96% of population |
| | *total:* 96% of population |
| | *unimproved:* |
| | *urban:* 5% of population |
| | *rural:* 4% of population |
| | *total:* 4% of population |
| **Timor-Leste** | *improved:* |
| | *urban:* 76% of population |
| | *rural:* 40% of population |
| | *total:* 50% of population |
| | *unimproved:* |
| | *urban:* 24% of population |
| | *rural:* 60% of population |
| | *total:* 50% of population |
| **Togo** | *improved:* |
| | *urban:* 24% of population |
| | *rural:* 3% of population |
| | *total:* 12% of population |
| | *unimproved:* |
| | *urban:* 76% of population |
| | *rural:* 97% of population |
| | *total:* 88% of population |
| **Tokelau** | *improved:* |
| | *rural:* 93% of population |
| | *total:* 93% of population |
| | *unimproved:* |
| | *rural:* 7% of population |
| | *total:* 7% of population |
| **Tonga** | *improved:* |
| | *urban:* 98% of population |
| | *rural:* 96% of population |
| | *total:* 96% of population |
| | *unimproved:* |
| | *urban:* 2% of population |
| | *rural:* 4% of population |
| | *total:* 4% of population |
| **Trinidad and Tobago** | *improved:* |
| | *urban:* 92% of population |
| | *rural:* 92% of population |
| | *total:* 92% of population |
| | *unimproved:* |
| | *urban:* 8% of population |
| | *rural:* 8% of population |
| | *total:* 8% of population |
| **Tunisia** | *improved:* |
| | *urban:* 96% of population |
| | *rural:* 64% of population |
| | *total:* 85% of population |
| | *unimproved:* |
| | *urban:* 4% of population |
| | *rural:* 36% of population |
| | *total:* 15% of population |
| **Turkey** | *improved:* |
| | *urban:* 97% of population |
| | *rural:* 75% of population |
| | *total:* 90% of population |
| | *unimproved:* |
| | *urban:* 3% of population |
| | *rural:* 25% of population |
| | *total:* 10% of population |
| **Turkmenistan** | *improved:* |
| | *urban:* 99% of population |
| | *rural:* 97% of population |
| | *total:* 98% of population |
| | *unimproved:* |
| | *urban:* 1% of population |
| | *rural:* 3% of population |
| | *total:* 2% of population |
| **Turks and Caicos Islands** | *improved:* |
| | *urban:* 98% of population |
| | *rural:* 94% of population |
| | *total:* 96% of population |
| | *unimproved:* |
| | *urban:* 2% of population |
| | *rural:* 6% of population |
| | *total:* 4% of population |
| **Tuvalu** | *improved:* |
| | *urban:* 88% of population |
| | *rural:* 81% of population |
| | *total:* 84% of population |
| | *unimproved:* |
| | *urban:* 12% of population |
| | *rural:* 19% of population |
| | *total:* 16% of population |
| **Uganda** | *improved:* |
| | *urban:* 38% of population |
| | *rural:* 49% of population |
| | *total:* 48% of population |
| | *unimproved:* |
| | *urban:* 62% of population |
| | *rural:* 51% of population |
| | *total:* 52% of population |
| **Ukraine** | *improved:* |
| | *urban:* 97% of population |
| | *rural:* 90% of population |
| | *total:* 95% of population |
| | *unimproved:* |
| | *urban:* 3% of population |
| | *rural:* 10% of population |
| | *total:* 5% of population |
| **United Arab Emirates** | *improved:* |
| | *urban:* 98% of population |
| | *rural:* 95% of population |
| | *total:* 97% of population |
| | *unimproved:* |
| | *urban:* 2% of population |
| | *rural:* 5% of population |
| | *total:* 3% of population |
| **United Kingdom** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **United States** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 99% of population |
| | *total:* 100% of population |
| | *unimproved:* |
| | *urban:* 0% of population |
| | *rural:* 1% of population |
| | *total:* 0% of population |
| **Uruguay** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 99% of population |
| | *total:* 100% of population |
| | *unimproved:* |
| | *urban:* 0% of population |
| | *rural:* 1% of population |
| | *total:* 0% of population |
| **Uzbekistan** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Vanuatu** | *improved:* |
| | *urban:* 66% of population |
| | *rural:* 48% of population |
| | *total:* 52% of population |
| | *unimproved:* |
| | *urban:* 34% of population |
| | *rural:* 52% of population |
| | *total:* 48% of population |
| **Venezuela** | *improved:* |
| | *urban:* 93% of population |
| | *rural:* 54% of population |
| | *total:* 89% of population |
| | *unimproved:* |
| | *urban:* 7% of population |
| | *rural:* 46% of population |
| | *total:* 11% of population |
| **Vietnam** | *improved:* |
| | *urban:* 94% of population |
| | *rural:* 67% of population |
| | *total:* 75% of population |
| | *unimproved:* |
| | *urban:* 6% of population |
| | *rural:* 33% of population |
| | *total:* 25% of population |
| **Wallis and Futuna** | *improved:* |
| | *rural:* 96% of population |
| | *total:* 96% of population |
| | *unimproved:* |
| | *rural:* 4% of population |
| | *total:* 4% of population |
| **World** | *improved:* |
| | *urban:* 76% of population |
| | *rural:* 45% of population |
| | *total:* 61% of population |
| | *unimproved:* |
| | *urban:* 24% of population |
| | *rural:* 55% of population |
| | *total:* 39% of population |
| **Yemen** | *improved:* |
| | *urban:* 94% of population |
| | *rural:* 33% of population |
| | *total:* 52% of population |
| | *unimproved:* |
| | *urban:* 6% of population |
| | *rural:* 67% of population |
| | *total:* 48% of population |
| **Zambia** | *improved:* |
| | *urban:* 59% of population |
| | *rural:* 43% of population |
| | *total:* 49% of population |
| | *unimproved:* |
| | *urban:* 41% of population |
| | *rural:* 57% of population |
| | *total:* 51% of population |
| **Zimbabwe** | *improved:* |
| | *urban:* 56% of population |
| | *rural:* 37% of population |
| | *total:* 44% of population |
| | *unimproved:* |
| | *urban:* 44% of population |
| | *rural:* 63% of population |
| | *total:* 56% of population |
