CIA - The World Factbook -- Field Listing - Judicial branch

| Country | Judicial branch |
| **United States** | Supreme Court (nine justices; nominated by the president and confirmed with the advice and consent of the Senate; appointed to serve for life); United States Courts of Appeal; United States District Courts; State and County Courts |
| **Uruguay** | Supreme Court (judges are nominated by the president and elected for 10-year terms by the General Assembly) |
| **Uzbekistan** | Supreme Court (judges are nominated by the president and confirmed by the Supreme Assembly) |
| **Vanuatu** | Supreme Court (chief justice is appointed by the president after consultation with the prime minister and the leader of the opposition, three other justices are appointed by the president on the advice of the Judicial Service Commission) |
| **Venezuela** | Supreme Tribunal of Justice or Tribuna Suprema de Justicia (magistrates are elected by the National Assembly for a single 12-year term) |
| **Vietnam** | Supreme People's Court (chief justice is elected for a five-year term by the National Assembly on the recommendation of the president) |
| **Virgin Islands** | US District Court of the Virgin Islands (under Third Circuit jurisdiction); Superior Court of the Virgin Islands (judges appointed by the governor for 10-year terms) |
| **Wallis and Futuna** | justice generally administered under French law by the high administrator, but the three traditional kings administer customary law and there is a magistrate in Mata-Utu; a court of appeal is located in Noumea, New Caledonia |
| **Yemen** | Supreme Court |
| **Zambia** | Supreme Court (the final court of appeal; justices are appointed by the president); High Court (has unlimited jurisdiction to hear civil and criminal cases) |
| **Zimbabwe** | Supreme Court; High Court |

This page was last updated on 13 December, 2007
 
