CIA - The World Factbook -- Field Listing :: Judicial branch   

This entry contains the name(s) of the highest court(s) and a brief description of the selection process for members.

| Country | Judicial branch |
| **Puerto Rico** | *Supreme Court; Appellate Court; Court of First Instance composed of two sections:* a Superior Court and a Municipal Court (justices for all these courts appointed by the governor with the consent of the Senate) |
| **Qatar** | Courts of First Instance, Appeal, and Cassation; an Administrative Court and a Constitutional Court were established in 2007; note - all judges are appointed by Amiri Decree based on the recommendation of the Supreme Judiciary Council for renewable three-year terms |
| **Romania** | Supreme Court of Justice (comprised of 11 judges appointed for three-year terms by the president in consultation with the Superior Council of Magistrates, which is comprised of the minister of justice, the prosecutor general, two civil society representatives appointed by the Senate, and 14 judges and prosecutors elected by their peers); a separate body, the Constitutional Court, validates elections and makes decisions regarding the constitutionality of laws, treaties, ordinances, and internal rules of the Parliament; it is comprised of nine members serving nine-year terms, with three members each appointed by the president, the Senate, and the Chamber of Deputies |
| **Russia** | Constitutional Court; Supreme Court; Supreme Arbitration Court; judges for all courts are appointed for life by the Federation Council on the recommendation of the president |
| **Rwanda** | Supreme Court; High Courts of the Republic; Provincial Courts; District Courts; mediation committees |
| **Saint Helena, Ascension, and Tristan da Cunha** | Supreme Court; Court of Appeal |
| **Saint Kitts and Nevis** | Eastern Caribbean Supreme Court (consisting of a Court of Appeal and a High Court; based on Saint Lucia; two judges of the Supreme Court reside in Saint Kitts and Nevis); member of the Caribbean Court of Justice (CCJ) |
| **Saint Lucia** | Eastern Caribbean Supreme Court (consists of a High Court and a Court of Appeals; based on Saint Lucia; three judges of the Supreme Court reside in Saint Lucia); member of the Caribbean Court of Justice (CCJ) |
| **Saint Pierre and Miquelon** | Superior Tribunal of Appeals or Tribunal Superieur d'Appel |
| **Saint Vincent and the Grenadines** | Eastern Caribbean Supreme Court (consisting of a High Court and Court of Appeals; based on Saint Lucia; two judges of the Supreme Court reside in Saint Vincent and the Grenadines) |
| **Samoa** | Supreme Court; Court of Appeal; District Court; Land and Titles Court |
| **San Marino** | Council of Twelve or Consiglio dei XII |
| **Sao Tome and Principe** | Supreme Court (judges are appointed by the National Assembly); Constitutional Court (five judges appointed by the National Assembly for five year terms); Court of First Instance; Audit Court |
| **Saudi Arabia** | Supreme Council of Justice |
| **Senegal** | Constitutional Council; Council of State; Court of Final Appeals or Cour de Cassation; Court of Appeals |
| **Serbia** | courts of general jurisdiction (municipal courts, district courts, Appellate Courts, the Supreme Court of Cassation); courts of special jurisdiction (commercial courts, the High Commercial Court, the High Magistrates Court, the Administrative Court) |
| **Seychelles** | Court of Appeal; Supreme Court; judges for both courts are appointed by the president |
| **Sierra Leone** | Supreme Court; Appeals Court; High Court |
| **Singapore** | Supreme Court consists of High Court and Court of Appeals; Specialist Commercial Courts consist of Admiralty Court, Intellectual Property Court, and Abritation Court |
| | *note:* (chief justice, judges of appeal, and judicial commissioners are appointed by the president with the advice of the prime minister) |
| **Sint Maarten** | Common Court of Justice, Joint High Court of Justice (judges appointed by the monarch) |
| **Slovakia** | Supreme Court (judges are elected by the National Council); Constitutional Court (judges appointed by president from group of nominees approved by the National Council) |
| **Slovenia** | Supreme Court (judges are elected by the National Assembly on the recommendation of the Judicial Council); Constitutional Court (judges elected for nine-year terms by the National Assembly and nominated by the president) |
| **Solomon Islands** | Court of Appeal |
| **Somalia** | Constitutional Court; Federal Government-level courts; Federal Member-level courts |
| | *note:* these courts have yet to be established; in their absence most regions have reverted to local forms of conflict resolution, either secular, traditional Somali customary law, or sharia (Islamic) law with a provision for appeal of all sentences |
| **South Africa** | Constitutional Court; Supreme Court of Appeals; High Courts; Magistrate Courts |
| **South Sudan** | Supreme Court, Courts of Appeal, High Courts, County Courts |
| **Spain** | Supreme Court or Tribunal Supremo; Constitutional Court or Tribunal Constitucioanal de Espana |
| **Sri Lanka** | Supreme Court; Court of Appeals; judges for both courts are appointed by the president |
| **Sudan** | Constitutional Court of nine justices; National Supreme Court; National Courts of Appeal; other national courts; National Judicial Service Commission will undertake overall management of the National Judiciary |
| **Suriname** | Cantonal Courts and a Court of Justice as an appellate court (justices are nominated for life); member of the Caribbean Court of Justice (CCJ) |
| **Swaziland** | Supreme Court; High Court; judges for both courts are appointed by the monarch on the advice of the Judicial Service Commission |
| **Sweden** | *Supreme Court or Hogsta Domstolen; Supreme Administrative Court note:* the Supreme Court is the highest court of general jurisdiction and the Supreme Administrative Court is the highest administrative court |
| **Switzerland** | Federal Supreme Court (judges elected for six-year terms by the Federal Assembly) |
| **Syria** | Supreme Judicial Council (appoints and dismisses judges; headed by the president); national level - Supreme Constitutional Court (adjudicates electoral disputes and rules on constitutionality of laws and decrees; justices appointed for four-year terms by the president); Court of Cassation; Appeals Courts (Appeals Courts represent an intermediate level between the Court of Cassation and local level courts); local level - Magistrate Courts; Courts of First Instance; Juvenile Courts; Customs Courts; specialized courts - Economic Security Courts (hear cases related to economic crimes); Supreme State Security Court (hear cases related to national security); Personal Status Courts (religious; hear cases related to marriage and divorce) |
| **Taiwan** | Judicial Yuan (justices appointed by the president with consent of the Legislative Yuan) |
| **Tajikistan** | Supreme Court (judges are appointed by the president); Constitutional Court, Supreme Economic Court |
| **Tanzania** | Permanent Commission of Enquiry (official ombudsman); Court of Appeal (consists of a chief justice and four judges); High Court (consists of a Jaji Kiongozi and 29 judges appointed by the president; holds regular sessions in all regions); District Courts; Primary Courts (limited jurisdiction and appeals can be made to the higher courts) |
| **Thailand** | Constitutional Court, Supreme Court of Justice, and Supreme Administrative Court; all judges are appointed by the king; the king's appointments to the Constitutional Court are made upon the advice of the Senate; the nine Constitutional Court judges are drawn from the Supreme Court of Justice and Supreme Administrative Court as well as from among substantive experts in law and social sciences outside the judiciary |
| **Timor-Leste** | Supreme Court of Justice - constitution calls for one judge to be appointed by National Parliament and rest appointed by Superior Council for Judiciary; note - until Supreme Court is established, Court of Appeals is highest court |
| **Togo** | Constitutional Court; High Court of Justice; Supreme Court or Cour Supreme; Court of Appeals or Cour d'Appel; Court of Audits |
| **Tokelau** | Supreme Court in New Zealand exercises civil and criminal jurisdiction in Tokelau |
| **Tonga** | Supreme Court (judges are appointed by the monarch); Court of Appeal (Chief Justice and high court justices from overseas chosen and approved by Privy Council) |
| **Trinidad and Tobago** | Supreme Court of Judicature (comprised of the High Court of Justice and the Court of Appeals; the chief justice is appointed by the president after consultation with the prime minister and the leader of the opposition; other justices are appointed by the president on the advice of the Judicial and Legal Service Commission); the highest court of appeal is the Privy Council in London; member of the Caribbean Court of Justice (CCJ) |
| **Tunisia** | Court of Cassation or Cour de Cassation |
| **Turkey** | Constitutional Court; High Court of Appeals (Yargitay); Council of State (Danistay); Court of Accounts (Sayistay); Military High Court of Appeals; Military High Administrative Court |
| **Turkmenistan** | Supreme Court (judges are appointed by the president); High Commercial Court |
| **Turks and Caicos Islands** | Supreme Court; Court of Appeal |
| **Tuvalu** | High Court (a chief justice visits twice a year to preside over its sessions; its rulings can be appealed to the Court of Appeal in Fiji); eight Island Courts (with limited jurisdiction) |
| **Uganda** | Court of Appeal (judges are appointed by the president and approved by the legislature); High Court (judges are appointed by the president) |
| **Ukraine** | Supreme Court; Constitutional Court |
| **United Arab Emirates** | Union Supreme Court (judges are appointed by the president) |
| **United Kingdom** | Supreme Court of the UK (established in October 2009 taking over appellate jurisdiction formerly vested in the House of Lords is the final court of appeal); Senior Courts of England and Wales (comprising the Court of Appeal, the High Court of Justice, and the Crown Courts); Court of Judicature (Northern Ireland); Scotland's Court of Session and High Court of the Justiciary |
| **United States** | Supreme Court (nine justices; nominated by the president and confirmed with the advice and consent of the Senate; appointed to serve for life); United States Courts of Appeal; United States District Courts; State and County Courts |
| **Uruguay** | Supreme Court (judges are nominated by the president and elected for 10-year terms by the General Assembly) |
| **Uzbekistan** | Supreme Court (judges are nominated by the president and confirmed by the Supreme Assembly); Constitutional Court, Arbitration Court, Higher Economic Court |
| **Vanuatu** | Supreme Court (chief justice is appointed by the president after consultation with the prime minister and the leader of the opposition, three other justices are appointed by the president on the advice of the Judicial Service Commission) |
| **Venezuela** | Supreme Tribunal of Justice or Tribunal Supremo de Justicia (32 magistrates are elected by the National Assembly for a single 12-year term) |
| **Vietnam** | Supreme People's Court (chief justice is elected by the National Assembly on the recommendation of the president for a five-year term) |
| **Virgin Islands** | US District Court of the Virgin Islands (under Third Circuit jurisdiction); Superior Court of the Virgin Islands (judges appointed by the governor for 10-year terms) |
| **Wallis and Futuna** | justice generally administered under French law by the high administrator, but the three traditional kings administer customary law and there is a magistrate in Mata-Utu; a court of appeal is located in Noumea, New Caledonia |
| **Yemen** | Supreme Court |
| **Zambia** | Supreme Court (the final court of appeal; justices are appointed by the president); High Court (has unlimited jurisdiction to hear civil and criminal cases) |
| **Zimbabwe** | Supreme Court; High Court |
