Field Listing :: Military equipment inventories and acquisitions :: The World Factbook

This entry provides basic information on each country’s military equipment inventories, as well as how they acquire their equipment; it is intended to show broad trends in major military equipment holdings, such as tanks and other armored vehicles, air defense systems, artillery, naval ships, helicopters, and fixed-wing aircraft. Arms acquisition information is an overview of major arms suppliers over a specific period of time, including second-hand arms delivered as aid, with a focus on major weapons systems. It is based on the type and number of weapon systems ordered and delivered and the financial value of the deal. For some countries, general information on domestic defense industry capabilities is provided.

| Country | Military equipment inventories and acquisitions |
| **Romania** | the inventory of the Romanian Armed Forces is comprised mostly of Soviet-era and older domestically-produced weapons systems; there is also a smaller mix of Western-origin equipment; Italy, Portugal (second-hand fighter aircraft), and the US are the leading suppliers of armaments to Romania since 2010 (2019 est.) |
| **Russia** | the Russian Federation's military and paramilitary services are equipped with domestically-produced weapons systems, although since 2010 Russia has imported limited amounts of military hardware from Czechia, France, Israel, Italy, Turkey, and Ukraine; the Russian defense industry is capable of designing, developing, and producing a full range of advanced air, land, missile, and naval systems (2019) |
| **Rwanda** | the RDF's inventory includes mostly Soviet-era and older Western - mostly French and South African - equipment; Russia is the largest supplier of equipment to the RDF since 2010 (2019 est.) |
| **Saudi Arabia** | the inventory of the Saudi military forces, including the SANG, includes a mix of mostly modern weapons systems from the US and Europe, particularly France and the UK; since 2010, France, the UK, and the US are the leading suppliers of armaments, followed by Germany, Spain, and Canada; the Saudi Navy is in the midst of a major modernization/procurement program (2020) |
| **Senegal** | the SAF inventory includes mostly older or second-hand equipment from a variety of countries, including France, South Africa, and Russia/former Soviet Union; in recent years, the SAF has attempted to modernize, particularly its air force; China and France are the leading suppliers of newer military hardware to the SAF since 2010 (2019 est.) |
| **Serbia** | the inventory of the Serbian Armed Forces consists of Russian and Soviet-era weapons systems; since 2010, most of its weapons imports have come from Russia, but it has also received equipment from Belarus (second-hand aircraft), Germany, Montenegro (second-hand aircraft), and the US (2019 est.) |
| **Seychelles** | the SPDF's inventory primarily consists of Soviet-era equipment delivered in the 1970s and 1980s; since 2010, China and India are the leading suppliers of newer equipment (mostly donations of patrol boats and aircraft) (2019 est.) |
| **Sierra Leone** | the RSLAF's small inventory includes a mix of Soviet-origin and other older foreign-supplied equipment; since 2010, it has received limited quantities of material from China and South Africa (2019 est.) |
| **Singapore** | the SAF has a diverse and largely modern mix of domestically-produced and imported weapons; Singapore has the most developed arms industry in Southeast Asia and is also the largest importer of weapons; the chief suppliers since 2010 are France, Germany, Spain, and the US (2019 est.) |
| **Slovakia** | the inventory of the Slovakian military consists mostly of Soviet-era platforms; since 2010, it has imported limited quantities of equipment from China, Czechia, Italy, Russia, and the US (2019 est.) |
| **Slovenia** | the inventory of the Slovenian Armed Forces is a mix of Soviet-era and limited quantities of more modern Western equipment; since 2010, it has received weapons systems from Finland, Russia, and the US (2019 est.) |
| **Somalia** | the SNA inventory includes a variety of older, second-hand equipment largely from Italy, Russia, South Africa, and the UK; since 2015, it has received limited quantities of second-hand equipment from China, France, Italy, Qatar, and the United Arab Emirates, usually as aid/donations (2019 est.) |
| **South Africa** | the SANDF's inventory consists of a mix of domestically-produced and foreign-supplied equipment; South Africa's domestic defense industry produced most of the Army's major weapons systems (some were jointly-produced with foreign companies), while the Air Force and Navy inventories include a mix of European, Israeli, and US-origin weapons systems; since 2010, Sweden was the largest supplier of weapons to the SANDF (2019 est.) |
| **South Sudan** | the SSPDF inventory is primarily of Soviet origin; from 2010 to 2015, Russia and the United Arab Emirates were the leading suppliers of arms and equipment; South Sudan has been under a UN arms embargo since 2018 (2020) |
| **Spain** | the inventory of the Spanish military is comprised of domestically-produced and imported Western weapons systems; France, Germany, and the US are the leading suppliers of military hardware since 2010; Spain's defense industry manufactures land, air, and sea weapons systems and is integrated within the European defense-industrial sector (2019 est.) |
| **Sri Lanka** | the Sri Lankan military inventory consists mostly of Chinese and Russian-origin equipment, as well as smaller amounts from Israel, the UK, and the US; since 2000, China, India, Israel, and the US have been the leading suppliers of arms to Sri Lanka (2019 est.) |
| **Sudan** | the SAF's inventory includes a mix of Chinese, Russian, Soviet, Ukrainian, and domestically-produced weapons systems; since 2010, the leading arms providers to the SAF are Belarus, China, Russia, and Ukraine; Sudan has a domestic arms industry that manufactures ammunition, small arms, and armored vehicles, largely based on older Chinese and Russian systems (2019 est.) |
| **Suriname** | the Suriname Army inventory includes a mix of equipment from several foreign suppliers, including Brazil, China, India, and the US; since 2010, Suriname has received small quantities of military hardware from Colombia, France, India, and the US (2019 est.) |
| **Sweden** | the inventory of the Swedish Armed Forces is comprised of domestically-produced and imported Western weapons systems; since 2010, the US is the leading supplier of military hardware to Sweden, followed by France and Germany; Sweden's defense industry is capable of providing most of the military's equipment requirements, including advanced aircraft and submarines (2019 est.) |
| **Switzerland** | the Swiss Armed Forces inventory includes a mix of domestically-produced and imported weapons systems; the US is the leading supplier of military armaments to Switzerland since 2010; the Swiss defense industry produces a range of military land vehicles (2019 est.) |
| **Syria** | the SAF's inventory is comprised mostly of Russian and Soviet-era equipment; since 2010, Russia has supplied nearly all of Syria's imported weapons systems, although China and Iran have also provided military equipment (2019 est.) |
| **Taiwan** | the Taiwan military is armed mostly with second-hand weapons and equipment provided by the US; Taiwan also has a domestic defense industry capable of upgrading some weapons systems and building surface naval craft and submarines (2019) |
| **Tajikistan** | the Tajikistan Armed Forces' inventory is comprised of older Russian and Soviet-era equipment; it has received limited quantities of weapons systems since 2010, most of which was secondhand material from Russia, followed by Belarus and China (2019 est.) |
| **Tanzania** | the TPDF inventory includes mostly Soviet-era and older Chinese equipment; since 2010, China is the leading supplier of arms to the TPDF (2019 est.) |
| **Thailand** | the RTARF has a diverse array of foreign-supplied weapons systems, including a large amount of obsolescent or second-hand US equipment; since 2015, the top suppliers are China, South Korea, Ukraine, and the US (2019 est.) |
| **Timor-Leste** | Timor-Leste Defense Force's limited inventory consists of equipment donated by other countries; the only known deliveries of major arms to Timor-Leste since 2010 are naval patrol craft from China and South Korea (2019 est.) |
| **Togo** | the FAT's small inventory is a mix of older Brazilian, British, French, German, Russian/Soviet, and US equipment; since 2010, France is the leading supplier of military hardware to Togo (2020) |
| **Tonga** | the Tonga military's inventory includes mostly light weapons and equipment from European (primarily the UK) countries and the US, as well as naval patrol vessels from Australia; Australia is the only supplier of military systems since 2010 (2019) |
| **Trinidad and Tobago** | the TTDF's ground force inventory includes only light weapons; the Coast Guard and Air Guard field mostly second-hand equipment from a mix of countries, including Australia, China, the Netherlands, the UK, and the US (2019 est.) |
| **Tunisia** | the Tunisian military's inventory includes mostly older or secondhand US and European equipment; since 2010, the Netherlands and US are the leading suppliers of arms to Tunisia (2019 est.) |
| **Turkey** | the Turkish Armed Forces inventory is mostly comprised of a mix of domestically-produced and Western weapons systems, although in recent years, Turkey has also acquired some Chinese, Russian, and South Korean equipment; since 2010, the US is the leading provider of armaments to Turkey, followed by Italy, South Korea, and Spain; Turkey has a robust defense industry capable of producing a range of weapons systems, including armored vehicles, naval vessels, and unmanned aerial platforms, although it is heavily dependent on Western technology (2020) |
| **Turkmenistan** | the inventory for Turkmenistan's military is comprised almost entirely of older Russian and Soviet-era weapons systems, although in recent years, Turkmenistan has opened itself up to Chinese and Western equipment; since 2010, China, Italy, Russia, and Turkey are the leading arms suppliers to Turkmenistan (2019 est.) |
| **Uganda** | the UPDF's inventory is mostly older Russian/Soviet-era equipment with a limited mix of more modern Russian- and Western-origin arms; since 2010, the leading suppliers of arms to the UPDF are Russia and Ukraine (2019) |
| **Ukraine** | the Ukrainian military is equipped mostly with older Russian and Soviet-era weapons systems; since 2010, it has imported limited quantities of weapons from several European countries, as well as Canada, the US, and the United Arab Emirates; Ukraine has a broad defense industry capable of building Soviet-era land systems and maintaining and upgrading Soviet-era combat aircraft, as well as missile and air defense systems (2019 est.) |
| **United Arab Emirates** | the UAE Armed Forces inventory is comprised of mostly modern imported equipment; since 2010, the UAE has acquired military equipment from more than 20 countries with the US as the leading supplier, followed by France and Russia (2019 est.) |
| **United Kingdom** | the inventory of the British military is comprised of a mix of domestically-produced and imported Western weapons systems; the US is the leading supplier of armaments to the UK since 2010; the UK defense industry is capable of producing a wide variety of air, land, and sea weapons systems (2019 est.) |
| **United States** | the US military's inventory is comprised almost entirely of domestically-produced weapons systems (some assembled with foreign components) along with a smaller mix of imported equipment from a variety of Western countries; since 2010, Germany and the UK are the leading suppliers, followed by Australia, Canada, France, the Netherlands, and Norway; the US defense industry is capable of designing, developing, maintaining, and producing the full spectrum of weapons systems (2019 est.) |
| **Uruguay** | the Armed Forces of Uruguay inventory includes a wide variety of older or second-hand equipment imported from a range of suppliers, including Brazil, Chile, Ecuador, France, Germany, Italy, Portugal, Russia, Spain, and the US (2019 est.) |
| **Uzbekistan** | the Uzbek Armed Forces use mainly Soviet-era equipment, although since 2010 they have received weapons and aircraft from a variety of sources, including China, France, Russia, Spain, Turkey, and the US (2019 est.) |
| **Venezuela** | the FANB inventory is mainly of Chinese and Russian origin with a smaller mix of equipment from Western countries such as France, Germany, Italy, the Netherlands, Spain, the UK, and the US; since 2010, China and Russia are the top suppliers of military hardware to Venezuela (2019 est.) |
| **Vietnam** | the PAVN is armed largely with weapons and equipment from Russia and the former Soviet Union; Russia remains the main supplier of newer PAVN military equipment, although in recent years Vietnam has begun diversifying its procurement with purchases from other countries including Belarus, India, Israel, and Ukraine (2019 est.) |
| **West Bank** | the Palestinian Authority Security Forces are armed mostly with small arms and light weapons, although since 2007, they have received limited amounts of heavier equipment from Jordan (armored personnel carriers) and Russia (armored personnel carriers and transport helicopters) (2019 est.) |
| **Yemen** | the inventory of the Yemeni Government forces consists primarily of Russian and Soviet-era equipment, although much of it has been lost in the current conflict; since 2010, it has received limited amounts of equipment from a variety of countries, including Belarus, Czechia, Jordan, Russia, Saudi Arabia, South Africa, Spain, UAE, Ukraine, and the US (2019 est.) |
| **Zambia** | the ZDF's inventory is largely comprised of Soviet-era and older Chinese- and Russian-origin equipment; since 2010, China is the leading supplier of arms to Zambia (2019 est.) |
| **Zimbabwe** | the ZDF inventory is comprised mostly of older Chinese- and Russian-origin equipment; since 2000, China is the leading arms supplier to the ZDF, although there are no recorded deliveries of weapons since 2006 (2019 est.) |

